GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "31000","Nebraska",4,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",44804786,46958266,49767676,52068660,52884641,56241293,58826394,61063543,63850574,68718017,72815547,71664168,75489582,84211642,86754229,87398705,92524041,96282140,94838024,97112011,101204153,104430185,111545028,121934669
 "31000","Nebraska",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1830158,1843774,1858886,1873369,1889916,1904449,1921360,1934360,1945367,1954927,1961455,1963692
 "31000","Nebraska",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26421,27545,29039,30275,30599,32348,33627,34666,36019,38531,40535,39535,41248,45674,46670,46653,48957,50556,49360,50204,52023,53419,56869,62095
 "31000","Nebraska",4,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",33762107,35720571,37537815,39445872,40292249,43103671,45493634,46918516,48301377,51487034,53532981,53579563,56453763,63172530,64108009,66290710,69818737,72188262,70383263,71646469,74148317,76187474,79650506,87310761
 "31000","Nebraska",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3855713,4061095,4241847,4412232,4573984,4741959,4956799,5220559,5616727,5846951,6043761,6055412,6268516,5732734,5898622,6760731,7097968,7387480,7589152,7942678,8214816,8517855,9013219,9577462
 "31000","Nebraska",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2005988,2110558,2202888,2283029,2359417,2443822,2565516,2702769,2901908,3059598,3174178,3203047,3250865,2650549,2749192,3594584,3769723,3925179,4055939,4247807,4446056,4600164,4869290,5152967
 "31000","Nebraska",4,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1849725,1950537,2038959,2129203,2214567,2298137,2391283,2517790,2714819,2787353,2869583,2852365,3017651,3082185,3149430,3166147,3328245,3462301,3533213,3694871,3768760,3917691,4143929,4424495
 "31000","Nebraska",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-714336,-799680,-867561,-874746,-902384,-937852,-944017,-940977,-856260,-947330,-979478,-956869,-898194,-963208,-998510,-968895,-936480,-1019914,-1067171,-1169238,-1122013,-1170666,-1183844,-1253272
 "31000","Nebraska",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",29192058,30859796,32428407,34158894,34815881,37423860,39592818,40756980,41828390,44692753,46509742,46567282,49287053,56476588,57210877,58561084,61784289,63780868,61726940,62534553,64811488,66498953,69453443,76480027
 "31000","Nebraska",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",10101766,10272066,11229112,11189655,10922768,11363712,11423900,12038513,13089015,14604372,15724069,14043719,14334145,15642556,17359546,16503643,17830395,18939978,19051095,19826631,20783432,21461552,21187946,21364062
 "31000","Nebraska",4,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",5510962,5826404,6110157,6720111,7145992,7453721,7809676,8268050,8933169,9420892,10581736,11053167,11868384,12092498,12183806,12333978,12909357,13561294,14059989,14750827,15609233,16469680,20903639,24090580
 "31000","Nebraska",4,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",24000636,25470909,27013847,27997991,28849063,29908674,31274516,32450903,34293258,36271668,37603434,37040382,37485365,38569308,40467271,41515889,43427003,45775133,46903734,48618396,50439707,52409885,54066389,57522394
 "31000","Nebraska",4,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",5215404,5546373,5921409,6310047,6825431,7240982,7660985,8147710,8390844,8757462,9062703,9256313,9121950,9374359,10140087,10205447,10866759,11066387,11315441,12004367,12927665,13261382,13137429,13574825
 "31000","Nebraska",4,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",3365679,3595836,3882450,4180844,4610864,4942845,5269702,5629920,5676025,5970109,6193120,6403948,6104299,6292174,6990657,7039300,7538514,7604086,7782228,8309496,9158905,9343691,8993500,9150330
 "31000","Nebraska",4,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",1849725,1950537,2038959,2129203,2214567,2298137,2391283,2517790,2714819,2787353,2869583,2852365,3017651,3082185,3149430,3166147,3328245,3462301,3533213,3694871,3768760,3917691,4143929,4424495
 "31000","Nebraska",4,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",4546067,4703289,4602559,5137834,4617755,5954015,6558133,6319903,5617275,6457904,6866844,7282868,9846448,15228863,13500651,14569374,15524975,15346742,12164088,11023706,10780945,10516207,12446688,16213542
 "31000","Nebraska",4,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1303790,1248015,1084866,1397616,672903,2210774,2322452,2590583,1159214,2219571,2504709,2161579,2656266,5920546,4027908,6230474,5109773,4574985,3244075,1449254,1253802,2121526,3935270,7192502
 "31000","Nebraska",4,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",3242277,3455274,3517693,3740218,3944852,3743241,4235681,3729320,4458061,4238333,4362135,5121289,7190182,9308317,9472743,8338900,10415202,10771757,8920013,9574452,9527143,8394681,8511418,9021040
 "31000","Nebraska",4,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1647169,1575201,1449998,1815365,1061640,2671564,2759148,2979524,1588961,2741647,3051452,2706908,3150596,6447238,4593193,6782058,5693339,5214770,3865642,2157196,1942915,2800550,4497829,7790351
 "31000","Nebraska",4,SAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",32114938,34145370,36087817,37630507,39230609,40432107,42734486,43938992,46712416,48745387,50481529,50872655,53303167,56725292,59514816,59508652,64125398,66973492,66517621,69489273,72205402,73386924,75152677,79520410
 "31000","Nebraska",4,SAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",26577251,28442290,30134806,31166584,32282837,33016538,34939147,35836311,38094971,39960077,41431000,41422821,43320968,46558536,49290903,49217332,53473125,55908855,55092288,57696951,60112070,60982788,62474401,66783631
 "31000","Nebraska",4,SAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",108188,107240,119943,123732,115584,96336,92673,115479,160009,154425,159033,181504,245501,256128,304088,305847,313303,320974,328615,320336,322802,341458,357153,422690
