GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "32000","Nevada",8,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",54324351,58824949,64571602,68116633,69843204,74483360,82663167,92687379,100318143,104595471,103056192,97267129,101307041,105105361,109347399,109870516,117372236,127116993,132058361,140516706,149789211,158923867,168587258,183083428
 "32000","Nevada",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2701967,2710520,2739941,2770049,2809771,2857017,2905604,2955631,3011627,3068943,3114071,3143991
 "32000","Nevada",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29314,30405,31986,32461,32130,33121,35232,38109,39767,40212,38836,36231,37494,38777,39909,39664,41773,44493,45450,47542,49737,51785,54137,58233
 "32000","Nevada",8,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",41805772,45862373,49672836,52541924,53831885,56641176,62867754,69780692,75566328,77594519,73776292,69109443,71517566,73058786,74125544,76088400,79651226,84726111,87672303,93397276,99753512,106552444,103647746,116353563
 "32000","Nevada",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",4785142,5085698,4986377,5291595,5481764,5567603,6092690,6695542,7751002,8179334,7698678,7418853,7311273,6915186,7274018,8005871,8811786,9392719,9841942,10185967,10869253,11720717,11823069,13495743
 "32000","Nevada",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2137785,2342022,2493540,2666427,2764600,2819416,3098593,3407232,3947256,4178969,3965272,3840275,3828213,3140067,3254077,4106441,4554992,4839619,5111148,5287139,5684233,6193454,6305769,7151218
 "32000","Nevada",8,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2647357,2743676,2492837,2625168,2717164,2748187,2994097,3288310,3803746,4000365,3733406,3578578,3483060,3775119,4019941,3899430,4256794,4553100,4730794,4898828,5185020,5527263,5517300,6344525
 "32000","Nevada",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-349767,-381954,-338160,-354243,-363573,-409759,-494280,-548835,-473923,-399793,-320538,-307701,-251780,-145368,-156773,-136244,-176874,-127618,-203999,-202232,-215036,-237364,163290,141490
 "32000","Nevada",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",36670863,40394721,44348299,46896086,47986548,50663814,56280784,62536315,67341403,69015392,65757076,61382889,63954513,65998232,66694753,67946285,70662566,75205774,77626362,83009077,88669223,94594363,91987967,102999310
 "32000","Nevada",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",12301966,12847626,14222373,14431424,14205422,15600712,17506344,20573764,22627455,24266117,23937601,20618908,20526056,22056062,25457624,24349078,27446455,30875862,32215267,34155658,36307193,37802954,37331482,37795134
 "32000","Nevada",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",5351522,5582602,6000930,6789123,7651234,8218834,8876039,9577300,10349285,11313962,13361515,15265332,16826472,17051067,17195022,17575153,19263215,21035357,22216732,23351971,24812795,26526550,39267809,42288984
 "32000","Nevada",8,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",29696889,32496714,35066884,36852313,37965503,40627048,45343776,50049957,54075727,57353712,57384305,51922380,50359542,51506997,53046889,54921178,57746085,61081860,64540011,68017808,72853658,76767329,74241768,84284286
 "32000","Nevada",8,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",6787163,7608357,7974891,8221047,8533107,9336195,10203617,11240543,11785444,12463984,12514528,12447315,12872349,12258785,12810745,12757901,14513898,15386649,15860492,16396355,16643627,17760460,17541301,19088205
 "32000","Nevada",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",4139806,4864681,5482054,5595879,5815943,6588008,7209520,7952233,7981698,8463619,8781122,8868737,9389289,8483666,8790804,8858471,10257104,10833549,11129698,11497527,11458607,12233197,12024001,12743680
 "32000","Nevada",8,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",2647357,2743676,2492837,2625168,2717164,2748187,2994097,3288310,3803746,4000365,3733406,3578578,3483060,3775119,4019941,3899430,4256794,4553100,4730794,4898828,5185020,5527263,5517300,6344525
 "32000","Nevada",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",5321720,5757302,6631061,7468564,7333275,6677933,7320361,8490192,9705157,7776823,3877459,4739748,8285675,9293004,8267910,8409321,7391243,8257602,7271800,8983113,10256227,12024655,11864677,12981072
 "32000","Nevada",8,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",33594,26925,45344,58846,25041,34381,63453,62986,58949,15325,71925,40836,69411,131847,23350,15412,114132,63742,-12668,21079,14379,107330,181025,104845
 "32000","Nevada",8,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",5288126,5730377,6585717,7409718,7308234,6643552,7256908,8427206,9646208,7761498,3805534,4698912,8216264,9161157,8244560,8393909,7277111,8193860,7284468,8962034,10241848,11917325,11683652,12876227
