GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "97000","Rocky Mountain",7,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",231641584,246464772,269911783,282691172,286676392,296149667,312694663,336666353,368734144,395225006,412916000,393820365,408126995,440397654,468046266,486655179,522936789,550866913,563546400,599075848,640642684,678596332,722806077,784253735
 "97000","Rocky Mountain",7,SAINC5N,20,"...","Population (persons) 2/","Number of persons",8918147,9094461,9268926,9430982,9567277,9675332,9807510,9972107,10189958,10406301,10609537,10793888,10949633,11089025,11230078,11386485,11539776,11721767,11915924,12094213,12268132,12427477,12577224,12734041
 "97000","Rocky Mountain",7,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25974,27101,29120,29975,29964,30609,31883,33761,36186,37979,38919,36485,37273,39715,41678,42740,45316,46995,47294,49534,52220,54605,57469,61587
 "97000","Rocky Mountain",7,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",176148454,190944907,209317848,218869981,222226316,227515081,240312247,256252376,278127089,294384237,300553960,286300685,294351058,311301944,329432211,351400950,374987840,390145154,397190690,423179641,452788961,481648045,499008111,546883212
 "97000","Rocky Mountain",7,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",19326786,20642280,22510443,23609045,24376881,25130816,26919090,28875921,31435449,33417622,34540043,33449711,34008337,32096131,33557639,39025411,41462132,43321473,44706162,47427108,50239944,53264053,55964969,61431126
 "97000","Rocky Mountain",7,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",9835452,10566876,11499327,12074469,12236076,12535989,13322069,14273111,15589230,16753229,17385842,16988277,17194062,14150936,14793704,19790823,21066383,22120424,23005120,24660441,26538698,28364621,29847065,32585354
 "97000","Rocky Mountain",7,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",9491334,10075404,11011116,11534576,12140805,12594827,13597021,14602810,15846219,16664393,17154201,16461434,16814275,17945195,18763935,19234588,20395749,21201049,21701042,22766667,23701246,24899432,26117904,28845772
 "97000","Rocky Mountain",7,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",698542,797858,857027,843389,834324,849880,880431,883778,857892,870696,928968,1046673,1224828,1627842,2254114,2553690,2824721,2652667,2455594,2673332,2832698,2942776,2774861,2998846
 "97000","Rocky Mountain",7,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",157520210,171100485,187664432,196104325,198683759,203234145,214273588,228260233,247549532,261837311,266942885,253897647,261567549,280833655,298128686,314929229,336350429,349476348,354940122,378425865,405381715,431326768,445818003,488450932
 "97000","Rocky Mountain",7,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",50370956,50392101,55449537,57050554,55736360,58844291,62513049,69643524,79368051,88377068,93671769,82217455,82249285,93851422,103834891,103344505,114222581,123570296,127154302,136038755,144750230,151058501,150067186,152450831
 "97000","Rocky Mountain",7,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",23750418,24972186,26797814,29536293,32256273,34071231,35908026,38762596,41816561,45010627,52301346,57705263,64310161,65712577,66082689,68381445,72363779,77820269,81451976,84611228,90510739,96211063,126920888,143351972
 "97000","Rocky Mountain",7,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",127635125,138045340,152762071,158114221,158901124,162347866,171569552,182597019,198141258,212700629,219792938,211347315,214096664,222925954,234836416,243475890,258647207,272652750,282189708,299484446,318729628,340192564,352862072,388397255
 "97000","Rocky Mountain",7,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",26800770,28826395,31854476,33955539,35118091,37115158,39575262,42568891,45542397,47792640,49428566,49335210,50118848,51344559,53064225,56951052,59243485,61204530,63014699,66792087,71552178,74596807,75964429,80951177
 "97000","Rocky Mountain",7,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",17309436,18750991,20843360,22420963,22977286,24520331,25978241,27966081,29696178,31128247,32274365,32873776,33304573,33399364,34300290,37716464,38847736,40003481,41313657,44025420,47850932,49697375,49846525,52105405
 "97000","Rocky Mountain",7,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",9491334,10075404,11011116,11534576,12140805,12594827,13597021,14602810,15846219,16664393,17154201,16461434,16814275,17945195,18763935,19234588,20395749,21201049,21701042,22766667,23701246,24899432,26117904,28845772
 "97000","Rocky Mountain",7,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",21712559,24073172,24701301,26800221,28207101,28052057,29167433,31086466,34443434,33890968,31332456,25618160,30135546,37031431,41531570,50974008,57097148,56287874,51986283,56903108,62507155,66858674,70181610,77534780
 "97000","Rocky Mountain",7,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1379023,1706538,1232151,1874524,985726,1172430,2079100,1928233,893992,1732498,1778422,619089,1803076,3258832,2712856,3443486,3594085,3964378,2572994,1376579,1679045,3101981,5805526,5512840
 "97000","Rocky Mountain",7,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",20333536,22366634,23469150,24925697,27221375,26879627,27088333,29158233,33549442,32158470,29554034,24999071,28332470,33772599,38818714,47530522,53503063,52323496,49413289,55526529,60828110,63756693,64376084,72021940
 "97000","Rocky Mountain",7,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",2392928,2739824,2382558,3060363,2313751,2366714,3372353,3380559,2310078,3413821,3381334,2368894,3354505,4793340,4534231,5493738,5622444,5621486,4498378,3489003,3761752,4632455,7889552,7722662
 "97000","Rocky Mountain",7,SAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",173755526,188205083,206935290,215809618,219912565,225148367,236939894,252871817,275817011,290970416,297172626,283931791,290996553,306508604,324897980,345907212,369365396,384523668,392692312,419690638,449027209,477015590,491118559,539160550
 "97000","Rocky Mountain",7,SAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",143247790,155828629,172314452,178630713,180011592,183028238,192649459,206269648,227116110,239857591,243048839,227547554,232842331,247698853,265575602,284971165,306240559,318969067,324395521,349003512,375142291,399996447,411042232,457177912
 "97000","Rocky Mountain",7,SAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",705626,699356,754363,761347,760862,734549,754122,757607,838871,744031,708375,751294,919145,894553,1012486,1103877,1154364,1219423,1190790,(D),1333400,1280060,(D),(D)
 "97000","Rocky Mountain",7,SAINC5N,101,"113","    Forestry and logging","Thousands of dollars",232660,224980,240194,221531,(D),(D),(D),253645,252779,211019,176658,157378,(D),(D),(D),249996,(D),249084,(D),223439,294639,240775,(D),(NA)
 "97000","Rocky Mountain",7,SAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",22016,23233,22611,17147,(D),(D),(D),10909,15957,17293,9100,6399,(D),(D),(D),34196,(D),42479,(D),(D),44145,47378,(D),(NA)
 "97000","Rocky Mountain",7,SAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",450950,451143,491558,522669,518116,499433,489286,493053,570135,515719,522617,587517,698067,702331,790082,819685,851574,927860,945954,981675,994616,991907,1100060,(NA)
