GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",143202039,148959188,158832306,166751573,171113439,176142717,184301578,191047148,202681226,212179238,220311550,216466285,222982662,235433754,246242279,247847355,258347784,269703881,274374657,284474755,297730128,308224378,324251976,345286470
 "55000","Wisconsin",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691995,5713164,5734069,5757204,5778371,5794088,5812379,5836461,5858766,5880193,5892323,5895908
 "55000","Wisconsin",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27031,27933,29556,30841,31425,32148,33424,34447,36338,37816,39055,38182,39175,41209,42944,43050,44709,46548,47205,48741,50818,52417,55030,58564
 "55000","Wisconsin",3,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",106642979,112950338,119592326,125490544,129844724,134033942,141059087,145210900,151724749,156850933,159747840,154508389,158402355,166823431,173651534,178433130,184180307,190950543,193691138,200193713,209194999,216254552,219291511,235129579
 "55000","Wisconsin",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",12475711,13251364,13900504,14201539,14588706,15072128,15875021,16520297,17405915,17983502,18551811,18027333,18413271,17234439,17766273,20542561,21173802,21905189,22322346,23301964,24068839,25020574,25760394,27777753
 "55000","Wisconsin",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6286963,6722525,7040503,7250837,7499215,7731918,8138505,8490752,9020009,9403053,9683605,9395973,9526283,7817784,8043216,10562156,10954057,11369512,11762288,12409805,13007673,13593961,14057888,15084390
 "55000","Wisconsin",3,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",6188748,6528839,6860001,6950702,7089491,7340210,7736516,8029545,8385906,8580449,8868206,8631360,8886988,9416655,9723057,9980405,10219745,10535677,10560058,10892159,11061166,11426613,11702506,12693363
 "55000","Wisconsin",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",2306161,2476947,2707407,2839029,2923698,2999240,3104977,3298509,3422673,3683261,3727634,3290744,3242556,3357213,3296359,3254216,3487068,3630237,3734508,3907154,3945088,4059030,3851063,4114760
 "55000","Wisconsin",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",96473429,102175921,108399229,114128034,118179716,121961054,128289043,131989112,137741507,142550692,144923663,139771800,143231640,152946205,159181620,161144785,166493573,172675591,175103300,180798903,189071248,195293008,197382180,211466586
 "55000","Wisconsin",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",29481642,28829109,31138917,31094537,29767917,30329114,31458853,32749049,37027879,39387144,41520962,37518088,37701657,41834231,45643030,44331100,47540142,50790236,52398219,54530204,56785649,58568882,58103234,58569653
 "55000","Wisconsin",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",17246968,17954158,19294160,21529002,23165806,23852549,24553682,26308987,27911840,30241402,33866925,39176397,42049365,40653318,41417629,42371470,44314069,46238054,46873138,49145648,51873231,54362488,68766562,75250231
 "55000","Wisconsin",3,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",78957245,83730825,88456938,90654202,93014858,96055554,100922657,103843620,108705179,113107377,115994305,110606812,112410739,116879505,121213348,124683037,129421665,135200099,138765438,143814624,150273891,155653269,156681618,169122199
 "55000","Wisconsin",3,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",18712598,19697896,21036386,22923183,23998136,25317435,26924278,28282220,29037529,30126453,31153087,32239626,31722577,33309622,34206524,34758532,35369888,35881763,36042362,37236084,39591092,40641646,40405212,42462582
 "55000","Wisconsin",3,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",12523850,13169057,14176385,15972481,16908645,17977225,19187762,20252675,20651623,21546004,22284881,23608266,22835589,23892967,24483467,24778127,25150143,25346086,25482304,26343925,28529926,29215033,28702706,29769219
 "55000","Wisconsin",3,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",6188748,6528839,6860001,6950702,7089491,7340210,7736516,8029545,8385906,8580449,8868206,8631360,8886988,9416655,9723057,9980405,10219745,10535677,10560058,10892159,11061166,11426613,11702506,12693363
 "55000","Wisconsin",3,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",8973136,9521617,10099002,11913159,12831730,12660953,13212152,13085060,13982041,13617103,12600448,11661951,14269039,16634304,18231662,18991561,19388754,19868681,18883338,19143005,19330016,19959637,22204681,23544798
 "55000","Wisconsin",3,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",736152,731117,209012,532108,397597,885469,1162719,961998,700005,1191119,829026,9776,988946,2193624,1815357,2145703,2081010,1835311,799761,718422,526471,692253,2590227,2087187
 "55000","Wisconsin",3,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",8236984,8790500,9889990,11381051,12434133,11775484,12049433,12123062,13282036,12425984,11771422,11652175,13280093,14440680,16416305,16845858,17307744,18033370,18083577,18424583,18803545,19267384,19614454,21457611
