GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "12000","Florida",5,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",9106091,10053169,10531577,11165384,12055913,12938925,14155383,15473371,16975610,18771743,21580573,25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84660155,99826771,115731189,125053376,138093067,153887607,168327413,182124030,197185189,216604769,241142909,257571430,268375219,284265992,301392581,317674941,341583501,363906819,385401971,416327815,436360727,472851789,497538688
 "12000","Florida",5,SAINC5S,20,"...","Population (persons) 2/","Number of persons",4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966
 "12000","Florida",5,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",1967,2091,2105,2130,2209,2299,2449,2599,2781,3007,3355,3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26883,27689,29466,30418
 "12000","Florida",5,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",6996469,7751533,8047945,8397738,9036706,9697238,10688834,11639414,12898681,14139823,16060899,18512591,20482394,22759450,26383815,30858942,33902229,35448104,38566185,43112474,49952283,57081858,65582791,73613200,78862333,87798013,97794239,107306156,116853195,128573183,141675440,151397294,161135722,168103932,180110993,192405715,203141223,216287300,230495530,244384467,265915440,284906081,308751767,327004403
 "12000","Florida",5,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",216508,282086,328968,343813,389018,448924,481316,515884,679824,809431,965677,1132486,1272457,1473193,1797755,2422176,2782052,2860146,3169655,3572233,4251409,5112218,5908692,7183121,7887175,8777683,10140896,11348096,12681145,13789158,15631167,16945032,17936124,18806435,20071158,21337109,22866726,24234830,25570521,27135374,29129738,30995595,33262318,35634392
 "12000","Florida",5,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",107304,131239,158934,162770,176185,213254,232345,250895,344943,422407,500360,578873,651373,752739,906316,1219268,1410729,1444014,1560931,1759380,2082473,2515560,2941120,3602512,3993668,4399228,4991727,5763602,6487356,7086228,8096745,8933764,9386288,9897115,10556789,11275752,12142419,12966706,13625564,14450352,15506665,16546164,17688776,18938962
 "12000","Florida",5,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",109204,150847,170034,181043,212833,235670,248971,264989,334881,387024,465317,553613,621084,720454,891439,1202908,1371323,1416132,1608724,1812853,2168936,2596658,2967572,3580609,3893507,4378455,5149169,5584494,6193789,6702930,7534422,8011268,8549836,8909320,9514369,10061357,10724307,11268124,11944957,12685022,13623073,14449431,15573542,16695430
 "12000","Florida",5,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1470,-1551,-1340,-1270,-1174,-1301,-1446,-1384,-1766,-2957,-4752,-19448,-22100,-16603,-13839,-12041,-2794,-10957,8046,19241,22092,12568,6101,116837,140423,166401,207801,253458,316727,377812,453753,534129,632789,677043,743389,793409,854049,921487,994336,1094691,1221176,1353094,1516255,1618404
 "12000","Florida",5,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",6778491,7467896,7717637,8052655,8646514,9247013,10206072,11122146,12217091,13327435,15090470,17360657,19187837,21269654,24572221,28424725,31117383,32577001,35404576,39559482,45722966,51982208,59680200,66546916,71115581,79186731,87861144,96211518,104488777,115161837,126498026,134986391,143832387,149974540,160783224,171862015,181128546,192973957,205919345,218343784,238006878,255263580,277005704,292988415
 "12000","Florida",5,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",1748100,1930002,2098609,2284133,2480885,2680960,2894694,3180192,3452718,3816396,4554566,5449656,6442844,7299090,8223106,9592904,11268290,12408007,13629681,15554797,18211934,21440956,26767566,33554798,36249192,39565095,45429540,49892176,53689927,56636863,62301502,74786535,79357190,79765423,79137653,82048779,85927837,93937054,100140875,107052772,116952011,117300428,127836432,130411821
