GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "93000","Great Lakes",3,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",80303909,85593768,88933535,91138475,96685177,101230543,108769545,118705576,129095556,135847266,148258013,162016453,170705346,183694680,200707947,224429140,243765554,263253058,289628254,321433802,356577578,392787569,425780552,464803916,486801253,512202883,565477871,600323939,632500058,664885862,712815807,767369624,810354132,830740648,890729131,930987691,987885479,1041548883,1099478726,1161498574,1234434647,1285398208,1370277374,1411718191
 "93000","Great Lakes",3,SAINC5S,20,"...","Population (persons) 2/","Number of persons",35578000,35928000,36290000,36616000,36927000,37357000,37868000,38405000,38951000,39347000,39645000,39904000,40319722,40622322,40824274,40946800,41036791,41105385,41186726,41353165,41510152,41610978,41693671,41647869,41492474,41366046,41393218,41417995,41455030,41589687,41720866,41872543,42091157,42495903,42902625,43274741,43589980,43923694,44239468,44493603,44727877,44969225,45216019,45401564
 "93000","Great Lakes",3,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",2257,2382,2451,2489,2618,2710,2872,3091,3314,3453,3740,4060,4234,4522,4916,5481,5940,6404,7032,7773,8590,9440,10212,11160,11732,12382,13661,14494,15257,15987,17085,18326,19252,19549,20762,21513,22663,23713,24853,26105,27599,28584,30305,31094
 "93000","Great Lakes",3,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",67859850,73041300,75756667,76360918,81258678,85192635,91594070,99991567,110426055,115191822,125518935,137737189,142141023,151576895,166367357,187270536,199943957,209215362,233051969,261170832,291861439,320190614,330931010,353205397,356860742,373925565,418231958,447918397,475008388,505374913,546714368,583202284,614233826,628701890,677078279,709437945,755063311,790288738,831262846,879059105,938584027,993297686,1054963925,1083764675
 "93000","Great Lakes",3,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2492273,3046012,3656635,3617986,4043709,4562420,4762816,4946905,6742403,7274026,7989293,9311388,9503175,10424212,12095358,15630524,17399800,17668699,20241954,22758332,26286274,29932237,30927698,35438743,36376870,38845049,44259971,48192425,51647010,54317960,60614448,64605490,68950461,72224951,76663048,81158164,87641581,92241911,95305482,99863961,104853850,110196318,114558783,116267169
 "93000","Great Lakes",3,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1092054,1300105,1549871,1542443,1658786,1918462,2006620,2135247,3078524,3513565,3917590,4484988,4603171,5036430,5696107,7320868,8193468,8382799,9320800,10356527,11804658,13608438,14319775,16606407,17147407,18009321,20068969,22522082,24312345,25870499,29032043,31526056,33604117,35384048,37359171,39531661,42831361,45362833,47118714,49799462,52539481,55482078,57922752,58987173
 "93000","Great Lakes",3,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1400219,1745907,2106764,2075543,2384923,2643958,2756196,2811658,3663879,3760461,4071703,4826400,4900004,5387782,6399251,8309656,9206332,9285900,10921154,12401805,14481616,16323799,16607923,18832336,19229463,20835728,24191002,25670343,27334665,28447461,31582405,33079434,35346344,36840903,39303877,41626503,44810220,46879078,48186768,50064499,52314369,54714240,56636031,57279996
 "93000","Great Lakes",3,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-112190,-125887,-123281,-111365,-115854,-113909,-121711,-132960,-145690,-134246,-143583,262376,245808,319194,366318,417405,511864,587464,718738,898899,1104787,1269415,1531808,1340356,1214529,1209179,1334976,1397161,1471506,1528229,1647189,1665308,1923052,1908295,2021069,2093503,2270612,2430451,2677212,2980947,3019799,3448769,3791831,4089370
 "93000","Great Lakes",3,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",65255387,69869401,71976751,72631567,77099115,80516306,86709543,94911702,103537962,107783550,117386059,128688177,132883656,141471877,154638317,172057417,183056021,192134127,213528753,239311399,266679952,291527792,301535120,319107010,321698401,336289695,375306963,401123133,424832884,452585182,487747109,520262102,547206417,558385234,602436300,630373284,669692342,700477278,738634576,782176091,836749976,886550137,944196973,971586876
 "93000","Great Lakes",3,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",9989512,10781631,11699400,12376738,13432078,14370785,15585571,16858987,18028386,19054437,20459099,21994449,24273749,26120361,28097243,31433963,35777609,39087839,41851201,46353090,51456010,57795271,69642143,84994074,96989565,103143919,115638647,120947420,125732868,128117354,137154845,152796087,160089644,160088860,164296338,170301538,183829697,199415735,212662437,226237308,242145286,237188767,254850922,252255705
 "93000","Great Lakes",3,SAINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",5059010,4942736,5257384,6130170,6153984,6343452,6474431,6934887,7529208,9009279,10412855,11333827,13547941,16102442,17972387,20937760,24931924,32031092,34248300,35769313,38441616,43464506,54603289,60702832,68113287,72769269,74532261,78253386,81934306,84183326,87913853,94311435,103058071,112266554,123996493,130312869,134363440,141655870,148181713,153085175,155539385,161659304,171229479,187875610
 "93000","Great Lakes",3,SAINC5S,50,"..."," Wages and salaries","Thousands of dollars",53415769,58079444,60305963,60179982,64188363,67478494,72729462,79288938,87130592,91563845,100364399,110153871,114415436,121023793,132045169,147543086,158491426,162865875,181586318,202216366,226701768,248699119,258625084,276476954,279169308,291167001,320306474,342191409,361765204,383824585,414523466,436923594,460488159,472080790,500341166,523574181,557944634,589698081,619114237,658379296,703086091,742124523,782688148,791356051
 "93000","Great Lakes",3,SAINC5S,60,"..."," Supplements to wages and salaries","Thousands of dollars",4679953,5253855,5798529,5856220,6514642,6969512,7615089,8371200,9945288,10278376,11339872,13201691,13875966,15445703,17883081,20375946,22270362,25035246,28495330,33374412,37959949,42507537,45657487,49706775,52559392,57361911,63539156,69458636,75796991,79783788,87732926,95204499,102676199,109142152,122389171,129491572,136484876,137944322,140337831,144419782,153601197,161846132,172741295,182319790
 "93000","Great Lakes",3,SAINC5S,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",3279734,3507948,3691765,3780677,4129719,4325554,4858893,5559542,6281409,6517915,7268169,8375291,8975962,10057921,11483830,12066290,13064030,15749346,17574176,20972607,23478333,26183738,29049564,30874439,33329929,36526183,39348154,43788293,48462326,51336327,56150521,62125065,67329855,72301249,83085294,87865069,91674656,91065244,92151063,94355283,101286828,107131892,116105264,125039794
 "93000","Great Lakes",3,SAINC5S,62,"...","  Employer contributions for government social insurance","Thousands of dollars",1400219,1745907,2106764,2075543,2384923,2643958,2756196,2811658,3663879,3760461,4071703,4826400,4900004,5387782,6399251,8309656,9206332,9285900,10921154,12401805,14481616,16323799,16607923,18832336,19229463,20835728,24191002,25670343,27334665,28447461,31582405,33079434,35346344,36840903,39303877,41626503,44810220,46879078,48186768,50064499,52314369,54714240,56636031,57279996
 "93000","Great Lakes",3,SAINC5S,70,"..."," Proprietors' income 8/","Thousands of dollars",9764128,9708001,9652175,10324716,10555673,10744629,11249519,12331429,13350175,13349601,13814664,14381627,13849621,15107399,16439107,19351504,19182169,21314241,22970321,25580054,27199722,28983958,26648439,27021668,25132042,25396653,34386328,36268352,37446193,41766540,44457976,51074191,51069468,47478948,54347942,56372192,60633801,62646335,71810778,76260027,81896739,89327031,99534482,110088834
 "93000","Great Lakes",3,SAINC5S,71,"...","  Farm proprietors' income","Thousands of dollars",2114960,1597736,1679478,2084772,1968866,1947610,1638689,2233196,2575574,2134750,2024203,2449767,2057203,2433549,2677619,4638448,3972362,5032047,3902734,3840711,3564269,4178025,2218165,2594486,1690098,-1299763,3238533,3789392,3397504,3924915,2107985,5634169,4313188,1897031,4279702,3272013,4204539,1486237,5096984,4593764,3346523,2440839,3123790,3332649
 "93000","Great Lakes",3,SAINC5S,72,"...","  Nonfarm proprietors' income","Thousands of dollars",7649168,8110265,7972697,8239944,8586807,8797019,9610830,10098233,10774601,11214851,11790461,11931860,11792418,12673850,13761488,14713056,15209807,16282194,19067587,21739343,23635453,24805933,24430274,24427182,23441944,26696416,31147795,32478960,34048689,37841625,42349991,45440022,46756280,45581917,50068240,53100179,56429262,61160098,66713794,71666263,78550216,86886192,96410692,106756185
 "93000","Great Lakes",3,SAINC5S,81,"[01-02]"," Farm earnings","Thousands of dollars",2425049,1914015,2014435,2446194,2352271,2364744,2044652,2631326,2971734,2535101,2431349,2869568,2517822,2899139,3168120,5213302,4660642,5818216,4815863,4817647,4505896,5223092,3316904,3683364,2925845,-119097,4408848,4963933,4487666,5011796,3363362,7031750,6004667,3605581,6123060,5203525,6083233,3336412,6936496,6588983,5574657,4552727,5392111,5654984
 "93000","Great Lakes",3,SAINC5S,82,"..."," Nonfarm earnings","Thousands of dollars",65434801,71127285,73742232,73914724,78906407,82827891,89549418,97360241,107454321,112656721,123087586,134867621,139623201,148677756,163199237,182057234,195283315,203397146,228236106,256353185,287355543,314967522,327614106,349522033,353934897,374044662,413823110,442954464,470520722,500363117,543351006,576170534,608229159,625096309,670955219,704234420,748980078,786952326,824326350,872470122,933009370,988744959,1049571814,1078109691
 "93000","Great Lakes",3,SAINC5S,90,"...","  Private nonfarm earnings","Thousands of dollars",58069542,63456610,65515660,65021050,69498658,72864564,78789649,85801412,94570799,98805844,107604168,117718694,120270903,127123515,139628630,156517204,167800443,172842751,195612338,221383774,248984587,273343329,282239678,300507973,301106494,318245468,354376913,379362257,402847824,429069421,466832284,494113581,519243036,529914014,568080570,596939892,637699823,671993457,705379370,749645987,805724251,854152844,907060123,925992712
 "93000","Great Lakes",3,SAINC5S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",165919,167713,184014,184612,216331,215699,242349,259171,274143,290727,331627,374685,390812,447378,490295,539594,594598,624845,715389,661411,812217,952684,1079429,1124274,1196629,1363143,1569248,1591373,1625422,2064546,2176911,2282723,2539987,2654503,2816222,2910167,3083949,3192049,3353631,3635781,4013143,4528146,4773943,5176619
 "93000","Great Lakes",3,SAINC5S,110,"07","    Agricultural services","Thousands of dollars",157632,160156,177026,177212,208216,207616,233352,249783,263730,277333,317764,362563,373434,428881,469455,513919,562763,593411,672627,634182,781246,916352,1033303,1080376,1184446,1283022,1461450,1502870,1535262,2021628,2114764,2226785,2476734,2589193,2754080,2842428,2988389,3115191,3293114,3566454,3905822,4390436,4639178,(NA)
 "93000","Great Lakes",3,SAINC5S,120,"...","    Forestry and fishing","Thousands of dollars",8287,7557,6988,7400,8115,8083,8997,9388,10413,13394,13863,12122,17378,18497,20840,25675,31835,31434,42762,27229,30971,36332,46126,43898,12183,80121,107798,88503,90160,42918,62147,55938,63253,65310,62142,67739,95560,76858,60517,69327,107321,137710,134765,(NA)
 "93000","Great Lakes",3,SAINC5S,121,"08","     Forestry","Thousands of dollars",2593,2140,2668,3107,3741,3975,4636,4854,5428,8083,9011,7459,10969,12544,13972,16871,18968,19200,26377,13141,16336,17621,24899,31108,4023,68108,98509,67387,55444,10355,30041,28818,38097,39682,35356,40241,64270,43150,23621,27888,65059,93725,91593,(NA)
 "93000","Great Lakes",3,SAINC5S,122,"...","     Fishing","Thousands of dollars",5694,5417,4320,4293,4374,4108,4361,4534,4985,5311,4852,4663,6409,5953,6868,8804,12867,12234,16385,14088,14635,18711,21227,12790,8160,12013,9289,21116,34716,32563,32106,27120,25156,25628,26786,27498,31290,33708,36896,41439,42262,43985,43172,(NA)
 "93000","Great Lakes",3,SAINC5S,200,"B","   Mining","Thousands of dollars",506063,528505,547295,528748,533024,541270,568389,587497,605407,657394,717131,760671,820238,805446,978394,1099030,1448094,1814926,2031071,2452393,2540739,3063117,3633288,3862280,3852070,3161933,3546300,3599865,2460333,2813594,3097401,3089947,2908498,2580583,2536693,2459151,2684252,2638215,2769430,2950434,3149088,3105443,3353226,3678518
 "93000","Great Lakes",3,SAINC5S,210,"10","    Metal mining","Thousands of dollars",61634,59966,74444,65870,64923,61606,69143,70207,76201,78309,79471,82782,84076,83128,88959,101379,130791,147951,126073,164943,206935,229071,201675,213813,117949,91824,83702,74637,126889,163573,320985,361516,135034,79398,49890,45052,170054,224070,162820,145329,320689,290597,293903,(NA)
 "93000","Great Lakes",3,SAINC5S,220,"12","    Coal mining","Thousands of dollars",168710,180244,175635,161174,166991,170534,173286,181860,198440,214743,221316,257313,308638,318333,394374,437637,546269,741174,820581,1054253,1123120,1407764,1421043,1379759,1637577,1513861,1663374,1575346,1209358,1069380,1488245,1311833,1362217,1414328,1268976,1115427,1179214,1037846,1026525,1027880,1038038,1001326,825522,(NA)
 "93000","Great Lakes",3,SAINC5S,230,"13","    Oil and gas extraction","Thousands of dollars",112545,112005,115330,121431,119457,124834,129327,130187,115161,146140,195510,187591,180236,144855,221464,260259,443508,586430,722423,834183,754114,932128,1522237,1790062,1654204,1096372,1291793,1420185,615293,1021214,645871,745900,717924,431925,495472,569167,533524,557591,675497,825871,780340,784773,1161004,(NA)
 "93000","Great Lakes",3,SAINC5S,240,"14","    Nonmetallic minerals, except fuels","Thousands of dollars",163174,176290,181886,180273,181653,184296,196633,205243,215605,218202,220834,232985,247288,259130,273597,299755,327526,339371,361994,399014,456570,494154,488333,478646,442340,459876,507431,529697,508793,559427,642300,670698,693323,654932,722355,729505,801460,818708,904588,951354,1010021,1028747,1072797,(NA)
 "93000","Great Lakes",3,SAINC5S,300,"C","   Construction","Thousands of dollars",4115737,4304041,4393219,4425490,4513569,4814645,5355441,6045839,6775489,7208219,8013184,9113145,8927668,9486240,10138608,11218619,11740434,11621873,13249482,14854818,17291336,18976694,18689263,17775123,16975593,17409169,19950162,21871774,24421393,27055929,30206398,32427304,34535549,33679978,34747535,36821208,40673857,42816488,46069821,49412738,53692496,59831501,65151006,67441740
 "93000","Great Lakes",3,SAINC5S,310,"15","    General building contractors","Thousands of dollars",1071060,1138798,1132487,1132095,1166159,1207477,1372043,1566644,1773914,1886171,2100206,2377492,2276061,2328720,2460356,2777651,2909920,2730414,3202190,3618805,4300081,4717005,4512064,3976495,3603378,3974289,4696957,5008639,6018582,6741948,7635580,7589311,8094363,7780305,7952350,8356741,9286470,9687959,10534938,11229162,12122327,13561440,14684169,(NA)
 "93000","Great Lakes",3,SAINC5S,320,"16","    Heavy construction contractors","Thousands of dollars",686976,693669,702298,679019,688126,730057,805954,897498,1028779,1107242,1234789,1320316,1335107,1544056,1461133,1584606,1697637,1812287,1995258,2291413,2738176,3198377,2953531,3040878,3116792,2901750,3000081,2944522,2922513,3169943,3261296,3546374,3773743,3627109,3857579,3980797,4232259,4272022,4476231,4731679,5217089,5561695,6108230,(NA)
 "93000","Great Lakes",3,SAINC5S,330,"17","    Special trade contractors","Thousands of dollars",2357701,2471574,2558434,2614376,2659284,2877111,3177444,3581697,3972796,4214806,4678189,5415337,5316500,5613464,6217119,6856362,7132877,7079172,8052034,8944600,10253079,11061312,11223668,10757750,10255423,10533130,12253124,13918613,15480298,17144038,19309522,21291619,22667443,22272564,22937606,24483670,27155128,28856507,31058652,33451897,36353080,40708366,44358607,(NA)
 "93000","Great Lakes",3,SAINC5S,400,"D","   Manufacturing","Thousands of dollars",26081507,29265959,30084495,28998341,31753098,33275905,35997608,39492993,43868964,44537337,48484830,52860849,51957075,53624933,59569437,68131997,71769144,70614744,81068368,93327971,104281770,113543241,113018100,120898282,115626877,119928637,135127160,143162792,147802878,150563405,162433067,167892623,170402364,170577682,181738308,190057287,203484701,209687377,212652145,221538860,229799279,238754827,245812844,237584064
 "93000","Great Lakes",3,SAINC5S,410,"...","    Durable goods manufacturing","Thousands of dollars",18569050,21214797,21796499,20633029,22974467,24220753,26431096,29368809,32896635,33076975,36058892,39377946,38079041,39280071,44162745,51309122,53730814,52112821,60355500,69780222,78257854,85173376,83807339,89624769,83130994,85546329,97646699,103548690,106104917,106674277,115234502,118287343,118160369,116672320,124552676,130760815,141842443,146186847,147733793,153914110,159026336,165718065,170990104,162773842
 "93000","Great Lakes",3,SAINC5S,413,"24","     Lumber and wood products","Thousands of dollars",285787,323832,313077,299261,318862,344078,364156,394747,432774,428071,464077,499527,492996,540914,620039,698366,720459,804560,950298,1124595,1313714,1435181,1346943,1389369,1322950,1503290,1682663,1838026,2060853,2310493,2662185,2762713,2739218,2726567,3003173,3283302,3648775,3739058,3868486,4027490,4241306,4549914,4592006,(NA)
 "93000","Great Lakes",3,SAINC5S,417,"25","     Furniture and fixtures","Thousands of dollars",497074,529489,535569,514180,546858,560301,588845,645737,747696,733546,781356,852145,816817,832990,940432,1086190,1123962,995518,1148562,1274215,1406363,1509536,1608585,1719934,1700432,1841520,2115431,2259365,2396276,2662293,2922721,3121070,3221346,3195077,3480116,3736500,4053506,4263461,4406587,4795655,5182417,5430988,5880269,(NA)
 "93000","Great Lakes",3,SAINC5S,420,"32","     Stone, clay, and glass products","Thousands of dollars",883087,989301,998740,969725,1009911,1045758,1118135,1182331,1275587,1278025,1378536,1526080,1558092,1655453,1844194,2035582,2135251,2160754,2458673,2735752,3033037,3290274,3285864,3427026,3283333,3370694,3684218,3799338,3899123,4059202,3956648,4068951,4157158,4038935,4376536,4618442,4875007,5082797,5293163,5493405,5674571,6056800,6124702,(NA)
 "93000","Great Lakes",3,SAINC5S,423,"33","     Primary metal industries","Thousands of dollars",2904445,3420206,3527973,3354963,3693609,3864167,4309759,4714349,5116317,5002267,5373475,5956289,5783198,5877736,6691940,7950672,8784494,8058806,9235888,10571681,11911768,13018619,12372471,13439940,11564190,10978927,11874260,11497270,11234125,11786814,13058627,13485500,13255466,12660013,13972608,14186689,15208615,14749352,14729420,15285457,15363255,15490086,15620310,(NA)
 "93000","Great Lakes",3,SAINC5S,426,"34","     Fabricated metal products","Thousands of dollars",2505694,2882187,2966273,2770306,3046121,3239456,3578579,3994754,4377410,4424242,4930931,5367902,5245794,5412021,6101992,7030987,7268651,7528453,8740828,10127459,11298202,12201097,11848188,12691988,11771570,12397223,14205896,15363042,15737786,15898635,17045248,17420013,17428926,17186498,18159527,19149133,21055458,22011448,22424850,23354093,23735732,24944751,25722067,(NA)
 "93000","Great Lakes",3,SAINC5S,429,"35","     Industrial machinery and equipment","Thousands of dollars",3743272,4384011,4449276,4255963,4811747,5096253,5772961,6415721,7486601,7625429,7832921,8658601,8618976,8012153,9186854,10788286,12070539,11903825,13028649,14813792,16811013,18937033,19868370,21025586,18832305,17169891,19811644,20714778,20584696,21477218,23703400,25043324,25364769,24944825,25733644,27562304,30264056,31487133,32341421,34239150,34661373,34906881,35240777,(NA)
 "93000","Great Lakes",3,SAINC5S,432,"36","     Electronic and other electric equipment","Thousands of dollars",2456609,2871241,2953954,2994618,3261164,3241675,3439169,3817894,4368801,4517671,4759945,5211317,5222481,5298363,5560835,6407603,6612198,6082922,6906760,7906976,8775890,9399626,9579465,10289031,10010593,10479044,11853083,12100770,12341796,12319207,12041764,12445972,12566235,12648306,13387832,14380971,15560400,15441266,15685321,16429727,16707425,17696380,18787762,(NA)
 "93000","Great Lakes",3,SAINC5S,435,"371","     Motor vehicles and equipment","Thousands of dollars",3411635,3829828,4120173,3656443,4327807,4785360,5153956,5962648,6442395,6158453,7374030,7916630,7129007,8513463,9821030,11533016,10994375,10674050,13521149,16168908,17976446,19073046,17166384,18408213,17408474,20139388,23699172,26637054,27914330,25968991,28965939,28499697,27639246,27290513,30191392,31650783,34758665,36438058,35694896,36061775,38247507,40815123,42402676,(NA)
 "93000","Great Lakes",3,SAINC5S,438,"372-379","     Other transportation equipment","Thousands of dollars",924289,938766,852326,780292,833833,880528,918667,1005328,1219820,1335808,1425823,1490560,1394629,1397922,1531521,1693387,1759723,1864770,2057867,2418657,2837262,3289728,3560004,3797829,3769069,3979905,4595609,4963124,5357530,5383166,4787867,4898367,4958549,4954493,4667017,4437923,4313674,4651442,4639308,4937008,5361167,5792473,6192240,(NA)
 "93000","Great Lakes",3,SAINC5S,441,"38","     Instruments and related products","Thousands of dollars",366654,411897,435109,427953,449050,465621,462235,483277,575277,610592,687906,783075,785588,788626,835089,956150,1047454,1134428,1300296,1512996,1653553,1733337,1843302,2028905,2052852,2273654,2554614,2758456,2857448,2959479,4010527,4406935,4594408,4733789,5115898,5161028,5305311,5505559,5620398,6055430,6539938,6782743,7390059,(NA)
 "93000","Great Lakes",3,SAINC5S,444,"39","     Miscellaneous manufacturing industries","Thousands of dollars",428237,455368,476367,469949,496832,509895,544880,570934,618934,642235,678839,701375,693719,711042,790116,868161,950414,904735,1006530,1125191,1240606,1285899,1327763,1406948,1415226,1412793,1570109,1617467,1720954,1848779,2079576,2134801,2235048,2293304,2464933,2593740,2798976,2817273,3029943,3234920,3311645,3251926,3037236,(NA)
 "93000","Great Lakes",3,SAINC5S,447,"...","     Ordnance 9/","Thousands of dollars",162267,178671,167662,139376,178673,187661,179754,181089,235023,320636,371053,414445,337744,239388,238703,260722,263294,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "93000","Great Lakes",3,SAINC5S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",7512457,8051162,8287996,8365312,8778631,9055152,9566512,10124184,10972329,11460362,12425938,13482903,13878034,14344862,15406692,16822875,18038330,18501923,20712868,23547749,26023916,28369865,29210761,31273513,32495883,34382308,37480461,39614102,41697961,43889128,47198565,49605280,52241995,53905362,57185632,59296472,61642258,63500530,64918352,67624750,70772943,73036762,74822740,74810222
 "93000","Great Lakes",3,SAINC5S,453,"20","     Food and kindred products","Thousands of dollars",2236183,2316552,2361558,2361672,2415132,2453089,2566556,2655623,2794367,2901232,3063774,3278391,3495906,3667347,3834677,4065871,4427396,4758926,5222962,5725669,6218912,6710199,7092160,7532196,7879910,7954451,8202020,8411685,8728431,9060738,9542949,9733771,10423679,10824251,11479955,11696120,11905093,12136479,12537220,12907708,13566227,13783745,14083497,(NA)
 "93000","Great Lakes",3,SAINC5S,456,"21","     Tobacco products","Thousands of dollars",12692,12568,12998,11965,12279,12300,12573,12304,11921,9767,9458,9108,9345,9939,10933,10111,10263,11015,10992,12591,15146,16050,15643,16945,17323,18360,20819,19449,18108,20052,19332,18139,18601,18382,20143,19108,20607,22352,22958,23270,29721,34141,37563,(NA)
 "93000","Great Lakes",3,SAINC5S,459,"22","     Textile mill products","Thousands of dollars",136481,163561,154089,143421,146337,151630,149455,158728,171826,165656,181301,195023,185213,191777,210894,220941,205357,205634,231747,261685,266368,271344,259861,258561,263582,292400,307838,317883,332565,343553,389467,389660,418343,418058,431728,438501,455485,430260,412642,449764,(D),440682,(D),(NA)
 "93000","Great Lakes",3,SAINC5S,462,"23","     Apparel and other textile products","Thousands of dollars",360977,383369,396322,401422,431004,447059,472110,511109,549941,557220,642405,663793,617531,659312,723375,808496,811991,767877,928708,1070582,1164812,1185594,1082436,1170280,1160770,1277806,1469299,1599944,1700704,1682587,1794965,1808183,1694084,1645927,1605982,1707971,1866930,1915782,1972734,1969332,2034767,2155412,2175651,(NA)
 "93000","Great Lakes",3,SAINC5S,465,"26","     Paper and allied products","Thousands of dollars",839870,930651,969845,1002571,1067186,1112030,1169737,1234026,1335043,1395155,1491684,1626828,1669275,1703731,1852501,2032682,2169716,2160683,2525811,2800218,3116354,3372470,3560394,3824556,3991223,4222769,4599275,4827775,5161866,5389023,5663628,5883097,6229818,6376463,6830962,7049449,7298736,7511506,7659633,7965017,8158249,8316667,8521499,(NA)
