GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "21000","Kentucky",5,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",4623198,4862602,5022016,5346005,5677786,5967887,6225454,6749598,7379420,7987572,8731440,9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454717,29871559,33237716,35402015,36755022,41061960,42815517,44018975,46497318,50573350,54363695,57673405,60843249,65547256,68128162,71608306,75054417,79620527,84542128,89452395,93315383,100691406,104126894
 "21000","Kentucky",5,SAINC5S,20,"...","Population (persons) 2/","Number of persons",2961000,2999000,3041000,3054000,3079000,3096000,3129000,3140000,3147000,3172000,3195000,3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132
 "21000","Kentucky",5,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",1561,1621,1651,1750,1844,1928,1990,2150,2345,2518,2733,3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22445,23224,24868,25596
 "21000","Kentucky",5,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",3774579,3976501,4061639,4234468,4573153,4849666,5032822,5484610,6087749,6588531,7230563,7921774,8450879,9180222,10214500,11544541,12867920,13589288,15371828,17430475,19546990,21839279,22749629,24858226,25688514,26293695,29863190,31124849,31876688,34206540,37605240,40081811,42389611,44288348,48270644,50386137,53110657,54927398,58007891,61686584,65425209,69459277,74352005,76453440
 "21000","Kentucky",5,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",142362,168762,184197,184651,208777,240402,245178,257745,338674,400195,445995,509229,547013,614611,713437,918858,1060043,1122078,1290588,1451425,1685793,1944370,2058845,2391613,2525652,2653414,3000058,3217940,3452793,3681713,4098338,4407170,4818327,5093474,5519863,5885555,6331031,6634681,6898290,7298839,7747591,8257424,8524750,8743239
 "21000","Kentucky",5,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",65073,73220,82834,84184,92481,108976,113726,119594,163846,199112,220816,250655,270359,299984,343841,437748,504943,538641,601307,672806,772229,896327,962457,1128063,1199840,1246146,1379999,1526825,1651523,1783448,2003969,2201674,2396554,2547387,2736519,2899614,3133811,3314639,3455821,3670677,3876479,4105370,4299045,4465680
 "21000","Kentucky",5,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",77289,95542,101363,100467,116296,131426,131452,138151,174828,201083,225179,258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705,4277559
 "21000","Kentucky",5,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",75540,89210,89312,81087,83710,83462,90895,96270,104173,79374,86236,162374,153178,96685,90372,44467,17042,10349,-17991,5511,28260,20782,51702,16067,10144,33254,2470,-4370,21423,4276,-6475,-42489,-31687,-37952,-254871,-245233,-328077,-330180,-314007,-315008,-187520,-271795,-294600,-443465
 "21000","Kentucky",5,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",3707757,3896949,3966754,4130904,4448086,4692726,4878539,5323135,5853248,6267710,6870804,7574919,8057044,8662296,9591435,10670150,11824919,12477559,14063249,15984561,17889457,19915691,20742486,22482680,23173006,23673535,26865602,27902539,28445318,30529103,33500427,35632152,37539597,39156922,42495910,44255349,46451549,47962537,50795594,54072737,57490098,60930058,65532655,67266736
 "21000","Kentucky",5,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",536411,572405,626219,660470,725784,770944,817315,847896,899350,973799,1017490,1192749,1373017,1505492,1647200,1862848,2175885,2417994,2649783,2981723,3376844,3835353,4660622,5716059,6729811,7128335,7967861,8396035,8749463,8911070,9578422,10496831,11123570,11441059,11803091,12170383,12882876,13889681,14842947,15692621,16791305,16648953,18250587,18433537
 "21000","Kentucky",5,SAINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",379030,393248,429043,554631,503916,504217,529600,578567,626822,746063,843146,944038,1104788,1298263,1441136,1719542,2051383,2583638,2831327,2967641,3177704,3703673,4468451,5038977,5499198,5953152,6228497,6516943,6824194,7057145,7494501,8234712,9010238,10245268,11248255,11702430,12273881,13202199,13981986,14776770,15170992,15736372,16908164,18426621
 "21000","Kentucky",5,SAINC5S,50,"..."," Wages and salaries","Thousands of dollars",2659741,2821641,2916035,2983718,3253644,3475936,3683673,3982349,4457839,4834596,5373820,5904669,6361352,6877175,7531996,8481299,9413537,10033210,11253124,12596042,14271094,16009619,16962353,18390272,19027562,19697048,21528816,22688392,23669855,25404700,27133433,28755797,30824972,32008428,34542519,36024338,38114358,40210708,42333865,45181475,48094952,51148699,53945947,55555240
 "21000","Kentucky",5,SAINC5S,60,"..."," Supplements to wages and salaries","Thousands of dollars",283970,310873,327158,339447,375611,408939,426308,472604,554580,633427,696727,773385,855732,982488,1124479,1322186,1535827,1718513,1994093,2278002,2589785,2970271,3153403,3439418,3681948,3964476,4378900,4741656,5163991,5539429,5890403,6469097,7044968,7523391,8613732,9204335,9687462,9726108,9905854,10300705,10738779,11664923,12647743,13457333
 "21000","Kentucky",5,SAINC5S,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",206681,215331,225795,238980,259315,277513,294856,334453,379752,432344,471548,514811,579078,667861,754883,841076,980727,1135076,1304812,1499383,1676221,1922228,2057015,2175868,2356136,2557208,2758841,3050541,3362721,3641164,3796034,4263601,4623195,4977304,5830388,6218394,6490242,6406066,6463385,6672543,6867667,7512869,8422038,9179774
 "21000","Kentucky",5,SAINC5S,62,"...","  Employer contributions for government social insurance","Thousands of dollars",77289,95542,101363,100467,116296,131426,131452,138151,174828,201083,225179,258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705,4277559
 "21000","Kentucky",5,SAINC5S,70,"..."," Proprietors' income 8/","Thousands of dollars",830868,843987,818446,911303,943898,964791,922841,1029657,1075330,1120508,1160016,1243720,1233795,1320559,1558025,1741056,1918556,1837565,2124611,2556431,2686111,2859389,2633873,3028536,2979004,2632171,3955474,3694801,3042842,3262411,4581404,4856917,4519671,4756529,5114393,5157464,5308837,4990582,5768172,6204404,6591478,6645655,7758315,7440867
 "21000","Kentucky",5,SAINC5S,71,"...","  Farm proprietors' income","Thousands of dollars",326466,298925,281640,352445,348971,348148,241985,310096,310501,309685,307413,367878,327474,341427,439041,499950,560609,384655,457007,562182,477470,536116,407776,783814,715243,58358,953094,713431,500804,590793,621391,970244,923084,931971,1118128,919666,983601,514755,954895,949705,795833,553253,1276098,817605
