GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "22000","Louisiana",5,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",5266440,5503398,5591241,5818576,6157821,6563643,7016335,7601835,8410260,9225277,10105617,10765877,11663035,12715230,13912080,15528477,17651808,19875142,22415528,25031404,28630805,32478004,37368848,43084374,46379689,48422536,51504460,53629661,53695136,53932056,56881207,60326085,64880918,68408285,73263960,76872654,81905818,85953266,89776927,94400601,99070805,101467683,107310631,114917421
 "22000","Louisiana",5,SAINC5S,20,"...","Population (persons) 2/","Number of persons",3155000,3208000,3260000,3287000,3345000,3377000,3446000,3496000,3550000,3581000,3603000,3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875
 "22000","Louisiana",5,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",1669,1716,1715,1770,1841,1944,2036,2174,2369,2576,2805,2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22312,22746,23997,25663
 "22000","Louisiana",5,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",4345707,4517179,4567441,4716784,4994472,5346905,5756104,6250192,7051309,7721472,8497760,8944387,9481933,10289849,11307680,12683588,14268033,15851607,18156692,20415897,23564665,26814726,30286083,34649671,36188144,36614450,38792241,39642216,38870623,39174330,41678179,43616233,47215795,49664354,52820698,54938897,58215839,61065513,64101011,67854770,71525160,73947489,78158188,83629559
 "22000","Louisiana",5,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",139755,158861,185372,187493,207977,245787,261702,285570,388930,432435,489437,568661,591555,657611,756693,960060,1117582,1242685,1453806,1626699,1932527,2276998,2593577,3176956,3376480,3378249,3663380,3775180,3646400,3608668,4013986,4273434,4759649,5134617,5381050,5633953,6083492,6383912,6695520,7087815,7529900,7650556,7906080,8344845
 "22000","Louisiana",5,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",64115,74297,85767,86960,92445,110033,118744,130417,183035,213522,240355,285144,297856,329122,372115,472115,553225,613726,701249,773626,908907,1079931,1248724,1545835,1643667,1627926,1727571,1844520,1809012,1810145,2026875,2204092,2447019,2654824,2777384,2932524,3180244,3349335,3483481,3697330,3922603,4001730,4126046,4377263
 "22000","Louisiana",5,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",75640,84564,99605,100533,115532,135754,142958,155153,205895,218913,249082,283517,293699,328489,384578,487945,564357,628959,752557,853073,1023620,1197067,1344853,1631121,1732813,1750323,1935809,1930660,1837388,1798523,1987111,2069342,2312630,2479793,2603666,2701429,2903248,3034577,3212039,3390485,3607297,3648826,3780034,3967582
 "22000","Louisiana",5,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-2621,-1839,-1434,-785,-111,-221,-461,-413,2888,4820,4014,7891,6237,-7326,-20318,-36801,-54198,-82669,-111806,-137933,-184010,-233828,-336457,-351490,-331164,-311829,-301808,-273227,-218753,-185235,-166191,-132680,-110807,-126492,-124464,-128651,-148157,-176421,-203885,-218457,-236281,-216713,-229986,-272042
 "22000","Louisiana",5,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",4203331,4356479,4380635,4528506,4786384,5100897,5493941,5964209,6665267,7293857,8012337,8383617,8896615,9624912,10530669,11686727,13096253,14526253,16591080,18651265,21448128,24303900,27356049,31121225,32480500,32924372,34827053,35593809,35005470,35380427,37498002,39210119,42345339,44403245,47315184,49176293,51984190,54505180,57201606,60548498,63758979,66080220,70022122,75012672
 "22000","Louisiana",5,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",685399,736064,774637,804125,867195,927588,968146,1039431,1103185,1179015,1242917,1420831,1612407,1771934,1931049,2155832,2580452,2908634,3126417,3477420,4025685,4581691,5720503,7172877,8373930,9212978,10133004,10987788,10952485,10717253,11162298,12125168,12630167,12680257,12953458,13389033,14097389,15443279,16283125,17264699,18498810,18136606,19600182,19621100
 "22000","Louisiana",5,SAINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",377710,410855,435969,485945,504242,535158,554248,598195,641808,752405,850363,961429,1154013,1318384,1450362,1685918,1975103,2440255,2698031,2902719,3156992,3592413,4292296,4790272,5525259,6285186,6544403,7048064,7737181,7834376,8220907,8990798,9905412,11324783,12995318,14307328,15824239,16004807,16292196,16587404,16813016,17250857,17688327,20283649
 "22000","Louisiana",5,SAINC5S,50,"..."," Wages and salaries","Thousands of dollars",3331268,3442363,3506493,3587702,3817014,4062599,4411883,4852976,5460229,5998755,6593071,7041650,7431175,7954696,8702515,9604508,10795628,12117919,13850723,15509086,18018194,20422285,23628769,27185533,28478806,28216473,29630540,30085709,28987149,29018745,30711285,31992864,34607727,36636912,38369760,39752611,42210173,44567590,46537338,49692000,53105054,54055815,56101018,58748984
 "22000","Louisiana",5,SAINC5S,60,"..."," Supplements to wages and salaries","Thousands of dollars",322128,336552,351302,371031,409264,443475,477384,525039,621359,681531,758031,827425,904299,1014435,1158606,1310420,1518540,1828318,2121549,2477859,2903921,3369780,3910464,4562560,4908005,5128155,5426166,5698737,5757485,5822005,6163170,6657392,7371705,7996157,8882934,9265373,9722267,9988907,10312181,10550185,11019241,11550723,12225216,13383096
