GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "23000","Maine",1,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1761298,1840997,1952398,1977369,2054399,2122231,2292678,2474313,2629834,2760699,2940025,3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589911,9653484,10651560,11580973,12472953,13786735,14893299,16123204,17490913,19277248,21011342,21870390,22249656,23324829,24094940,25085736,26179272,27653140,29169522,31232562,32656992,35107378,37058391
 "23000","Maine",1,SAINC5S,20,"...","Population (persons) 2/","Number of persons",944000,957000,975000,995000,994000,993000,993000,997000,999000,1004000,994000,992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692
 "23000","Maine",1,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",1866,1924,2002,1987,2067,2137,2309,2482,2632,2750,2958,3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24805,25779,27491,28824
 "23000","Maine",1,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",1425787,1499794,1609618,1615003,1674894,1718953,1855826,1989442,2138112,2229974,2407473,2607894,2810078,2969143,3255441,3661270,3990858,4157357,4868702,5273194,5862016,6487721,7121544,7700701,8148360,8809468,9786303,10628148,11570257,12730956,14153301,15258172,15803548,15724966,16424299,16941590,17598285,18046764,18855746,19898487,21468191,23055161,24661701,26114648
 "23000","Maine",1,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",52127,60454,69615,72701,78434,87409,91987,92517,118522,137641,157295,180898,193312,210923,241501,301519,337683,357085,422343,461329,531086,606699,668035,770546,831194,909957,1042971,1131501,1238971,1356049,1542866,1649797,1788092,1803220,1905000,2015561,2130058,2207592,2272931,2398631,2543703,2683491,2815262,2949232
 "23000","Maine",1,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",23225,26699,31070,32735,33909,38225,41290,42550,56921,68571,76865,81303,86803,94247,105432,132408,149508,157630,179411,195958,224332,257560,288514,337141,369500,399177,445641,506284,566213,628045,724996,799882,871738,893709,944556,996885,1055330,1106010,1141504,1205515,1278554,1357252,1419889,1518398
 "23000","Maine",1,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",28902,33755,38545,39966,44525,49184,50697,49967,61601,69070,80430,99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834
 "23000","Maine",1,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-22536,-27534,-31598,-32858,-33582,-34044,-34341,-32241,-35880,-37525,-41058,-24881,-20317,-19397,-22100,-12608,-7825,-21220,-24426,-26025,-24597,-17952,-14455,-48232,-46072,-33070,-26230,-4829,35131,59093,72722,72128,70826,88181,132019,191266,250854,317818,371221,444789,518681,584388,701159,712421
 "23000","Maine",1,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1351124,1411806,1508405,1509444,1562878,1597500,1729498,1864684,1983710,2054808,2209120,2402115,2596449,2738823,2991840,3347143,3645350,3779052,4421933,4785840,5306333,5863070,6439054,6881923,7271094,7866441,8717102,9491818,10366417,11434000,12683157,13680503,14086282,14009927,14651318,15117295,15719081,16156990,16954036,17944645,19443169,20956058,22547598,23877837
 "23000","Maine",1,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",268980,281641,292157,301227,319351,344061,379353,417260,435998,457557,452219,522050,589996,645410,705585,776016,880785,974157,1047753,1180846,1317646,1464888,1739225,2088650,2467212,2614431,2968467,3178946,3450352,3697261,4087597,4630482,4770216,4769371,4841065,4936127,5137406,5561175,5926775,6231519,6648547,6409546,6937820,7124718
