GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "26000","Michigan",3,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",17119510,18126035,18884004,18956987,20319333,21691531,23774166,26375153,28764087,29991814,33160649,36067948,37361665,40643958,45132028,50382867,53913200,57745117,64457792,72465620,80772906,88478725,94684397,101254248,104816500,111577181,123177165,133599143,142047588,147561422,157523158,169629265,177393177,181414249,192235076,202432450,217745440,230305875,242218472,254938948,270129905,283339665,302000579,307220858
 "26000","Michigan",3,SAINC5S,20,"...","Population (persons) 2/","Number of persons",7667000,7767000,7834000,7893000,7933000,8058000,8187000,8357000,8512000,8630000,8696000,8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120
 "26000","Michigan",3,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",2233,2334,2411,2402,2561,2692,2904,3156,3379,3475,3813,4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10230,10995,11499,12332,13612,14720,15562,16061,17089,18332,19051,19298,20280,21219,22687,23801,24821,25990,27430,28629,30344,30749
 "26000","Michigan",3,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",14325264,15414812,16077706,15770792,17046660,18360007,20138469,22399460,24778057,25453031,28268739,31053554,31215857,33780971,37815703,42744540,44449729,45628575,52169065,59680666,67245392,73059701,73724958,77683770,77086747,82152288,92105831,101661226,108879441,113472437,122203943,129956424,135296923,137453224,146873075,154813193,166532317,175984730,184289237,193514989,207438191,220800626,235948679,237795063
 "26000","Michigan",3,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",560402,694808,824441,785770,888354,1038220,1076818,1121856,1571542,1652209,1853950,2205995,2195894,2449798,2904860,3799625,4082063,4090501,4793951,5491416,6390538,7194074,7174240,8185708,8240709,8953546,10356353,11665567,12550722,12895962,14305289,15142477,16052725,16558631,17546506,18603367,20421089,21539159,22020148,23098688,24260305,25630699,26849398,26634050
 "26000","Michigan",3,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",225025,275070,331348,316102,347144,410299,435190,468369,693603,776879,894374,1032961,1035079,1153085,1319683,1727193,1869717,1879478,2144742,2432760,2785244,3177968,3229458,3726956,3767182,4033925,4561366,5273067,5730757,5995431,6694816,7247563,7699499,7997743,8411257,8910950,9811709,10438270,10840687,11421555,11989518,12752311,13336593,13380836
 "26000","Michigan",3,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",335377,419738,493093,469668,541210,627921,641628,653487,877939,875330,959576,1173034,1160815,1296713,1585177,2072432,2212346,2211023,2649209,3058656,3605294,4016106,3944782,4458752,4473527,4919621,5794987,6392500,6819965,6900531,7610473,7894914,8353226,8560888,9135249,9692417,10609380,11100889,11179461,11677133,12270787,12878388,13512805,13253214
 "26000","Michigan",3,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",30076,34387,36716,38022,41482,44411,48956,54291,63047,67882,76340,104867,112466,105491,113492,139789,139763,149194,190571,216985,260185,292210,337067,377986,380669,413273,479201,501029,488401,506772,514604,512000,458021,487610,552159,627613,753572,796815,822503,909221,992850,1080484,1098060,1188640
 "26000","Michigan",3,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",13794938,14754391,15289981,15023044,16199788,17366198,19110607,21331895,23269562,23868704,26491129,28952426,29132429,31436664,35024335,39084704,40507429,41687268,47565685,54406235,61115039,66157837,66887785,69876048,69226707,73612015,82228679,90496688,96817120,101083247,108413258,115325947,119702219,121382203,129878728,136837439,146864800,155242386,163091592,171325522,184170736,196250411,210197341,212349653
 "26000","Michigan",3,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",2141157,2298798,2482351,2601918,2815122,2997958,3297931,3567529,3877187,4121545,4357449,4556776,5013591,5368971,5789901,6372734,7253053,7982507,8569340,9514251,10575098,11847601,13970167,16732565,19240855,20665442,23457468,25051788,26300996,27014609,28807606,32337262,33887991,33551127,34305855,35613041,40604466,43108433,45570428,48127955,50712553,49317711,52760025,51396295
 "26000","Michigan",3,SAINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",1183415,1072846,1111672,1332025,1304423,1327375,1365628,1475729,1617338,2001565,2312071,2558746,3215645,3838323,4317792,4925429,6152718,8075342,8322767,8545134,9082769,10473287,13826445,14645635,16348938,17299724,17491018,18050667,18929472,19463566,20302294,21966056,23802967,26480919,28050493,29981970,30276174,31955056,33556452,35485471,35246616,37771543,39043213,43474910
 "26000","Michigan",3,SAINC5S,50,"..."," Wages and salaries","Thousands of dollars",11311014,12297152,12871109,12501190,13540370,14636973,16061824,17937955,19656107,20351103,22679952,24900897,25164893,27111922,30162596,34128907,35470173,35805471,41050282,46642105,52622293,57351604,57680294,60966818,60132841,63593630,70652302,77899950,83073273,86695736,93085075,98275315,102151560,103145265,109232997,114797106,124341280,132149084,139053421,146790512,156280307,165325888,174162418,171959344
 "26000","Michigan",3,SAINC5S,60,"..."," Supplements to wages and salaries","Thousands of dollars",1149200,1237868,1364682,1333647,1520074,1672681,1835788,2104439,2578725,2556806,2867622,3357946,3381730,3884866,4530536,5204343,5446017,6155533,7095254,8437182,9750258,10750638,11317975,12017266,12556472,13769367,15358496,17308347,19140414,19265916,21569556,22768825,24250569,25499877,28625016,30052084,31747464,32139391,32493815,33110438,35018981,36998045,40567069,41536411
 "26000","Michigan",3,SAINC5S,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",813823,818130,871589,863979,978864,1044760,1194160,1450952,1700786,1681476,1908046,2184912,2220915,2588153,2945359,3131911,3233671,3944510,4446045,5378526,6144964,6734532,7373193,7558514,8082945,8849746,9563509,10915847,12320449,12365385,13959083,14873911,15897343,16938989,19489767,20359667,21138084,21038502,21314354,21433305,22748194,24119657,27054264,28283197
 "26000","Michigan",3,SAINC5S,62,"...","  Employer contributions for government social insurance","Thousands of dollars",335377,419738,493093,469668,541210,627921,641628,653487,877939,875330,959576,1173034,1160815,1296713,1585177,2072432,2212346,2211023,2649209,3058656,3605294,4016106,3944782,4458752,4473527,4919621,5794987,6392500,6819965,6900531,7610473,7894914,8353226,8560888,9135249,9692417,10609380,11100889,11179461,11677133,12270787,12878388,13512805,13253214
 "26000","Michigan",3,SAINC5S,70,"..."," Proprietors' income 8/","Thousands of dollars",1865050,1879792,1841915,1935955,1986216,2050353,2240857,2357066,2543225,2545122,2721165,2794711,2669234,2784183,3122571,3411290,3533539,3667571,4023529,4601379,4872841,4957459,4726689,4699686,4397434,4789291,6095033,6452929,6665754,7510785,7549312,8912284,8894794,8808082,9015062,9964003,10443573,11696255,12742001,13614039,16138903,18476693,21219192,24299308
 "26000","Michigan",3,SAINC5S,71,"...","  Farm proprietors' income","Thousands of dollars",240664,157551,172884,226837,200570,217081,210552,193003,264590,189137,213605,265698,244971,211752,324008,451452,521983,454137,341192,412979,343479,360093,341359,323198,192107,10847,337175,443373,285130,454029,326478,678302,391612,259025,306751,278813,104222,235514,136106,86283,59467,290280,-6907,-29047
 "26000","Michigan",3,SAINC5S,72,"...","  Nonfarm proprietors' income","Thousands of dollars",1624386,1722241,1669031,1709118,1785646,1833272,2030305,2164063,2278635,2355985,2507560,2529013,2424263,2572431,2798563,2959838,3011556,3213434,3682337,4188400,4529362,4597366,4385330,4376488,4205327,4778444,5757858,6009556,6380624,7056756,7222834,8233982,8503182,8549057,8708311,9685190,10339351,11460741,12605895,13527756,16079436,18186413,21226099,24328355
 "26000","Michigan",3,SAINC5S,81,"[01-02]"," Farm earnings","Thousands of dollars",298995,221698,239559,299710,275405,299719,295266,273581,349233,276245,303963,351276,340612,309815,426526,561336,649155,577870,477596,558938,509856,545115,536433,515185,409703,221852,551191,663243,492711,665339,585150,980828,776320,666572,756847,736620,563125,695079,618083,608485,627895,820702,607208,564117
 "26000","Michigan",3,SAINC5S,82,"..."," Nonfarm earnings","Thousands of dollars",14026269,15193114,15838147,15471082,16771255,18060288,19843203,22125879,24428824,25176786,27964776,30702278,30875245,33471156,37389177,42183204,43800574,45050705,51691469,59121728,66735536,72514586,73188525,77168585,76677044,81930436,91554640,100997983,108386730,112807098,121618793,128975596,134520603,136786652,146116228,154076573,165969192,175289651,183671154,192906504,206810296,219979924,235341471,237230946
 "26000","Michigan",3,SAINC5S,90,"...","  Private nonfarm earnings","Thousands of dollars",12396453,13520100,14051211,13519673,14723341,15847586,17444106,19558212,21544371,22160121,24536472,26889712,26573112,28645019,32049165,36362789,37427466,37995241,44163691,50981154,57811432,62614379,62288751,65767649,64631675,69287195,78167937,86667606,92951861,96504104,104268651,110242264,114150518,115185711,122961514,130092300,141319291,150198006,157690603,165847282,179313874,190697845,204149901,204462812
 "26000","Michigan",3,SAINC5S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",29977,28860,32942,30953,36051,37184,44186,47753,52913,56606,62396,68651,75735,86980,92440,101240,111604,118906,135154,133633,167557,189404,205159,205697,206573,235539,274010,293276,318840,382559,424411,447749,488013,508754,536323,557604,629325,661540,713892,773903,886390,1010465,1071741,1158918
 "26000","Michigan",3,SAINC5S,110,"07","    Agricultural services","Thousands of dollars",26773,26336,30608,28479,33410,34495,41164,44567,49343,52037,57509,64818,70591,81469,85978,93393,101833,107652,120857,124994,157833,177669,190344,190892,201341,209320,234761,259857,287383,372474,404068,429624,466889,486410,514717,534585,596039,636098,693461,751043,847359,960348,1022167,(NA)
 "26000","Michigan",3,SAINC5S,120,"...","    Forestry and fishing","Thousands of dollars",3204,2524,2334,2474,2641,2689,3022,3186,3570,4569,4887,3833,5144,5511,6462,7847,9771,11254,14297,8639,9724,11735,14815,14805,5232,26219,39249,33419,31457,10085,20343,18125,21124,22344,21606,23019,33286,25442,20431,22860,39031,50117,49574,(NA)
 "26000","Michigan",3,SAINC5S,121,"08","     Forestry","Thousands of dollars",1304,689,858,978,1115,1227,1441,1513,1698,2537,2838,2292,3297,3717,4373,5137,5975,6829,8978,4762,6122,6716,9009,10834,2745,22659,37132,27482,24064,5607,13143,12210,15538,16266,14383,15087,24192,14938,9289,10552,25473,35138,34714,(NA)
