GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "37000","North Carolina",5,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",6738297,7217093,7617564,8064406,8661178,9109741,9868298,10671117,11855066,12817203,14135674,15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43908313,49246957,55496710,59420072,64644452,73126172,79020157,85194512,91884496,100589475,109693130,116522487,121893315,132674908,141458338,150582582,161486709,172816700,185687858,198667149,208586318,222325779,228555910
 "37000","North Carolina",5,SAINC5S,20,"...","Population (persons) 2/","Number of persons",4376000,4458000,4573000,4663000,4707000,4742000,4802000,4863000,4896000,4952000,5004000,5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122
 "37000","North Carolina",5,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",1540,1619,1666,1729,1840,1921,2055,2194,2421,2588,2825,3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25440,26239,27510,27838
 "37000","North Carolina",5,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",5801532,6237246,6583409,6895165,7390543,7787700,8430802,9112520,10279659,11117276,12301122,13695429,14664748,15905718,18116555,20658487,22351164,23353015,26189154,28734374,32665309,35982494,39233002,43471565,45591010,49846549,56766941,61550281,66665936,72743723,79617455,85519255,90451887,93714590,102592310,108938643,116287949,123190745,130549061,140497574,150625445,159949078,170461725,174113335
 "37000","North Carolina",5,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",213855,257267,306570,314427,346622,411813,435339,467306,616969,715527,826161,899596,971110,1101758,1308568,1677889,1900990,1977755,2272099,2513226,2920385,3389734,3716782,4380076,4634635,5172677,5969047,6588701,7293905,7869376,8838251,9490095,10256596,10747215,11649212,12434952,13398810,14227993,14926161,15977772,17206594,18335210,19427808,20100040
 "37000","North Carolina",5,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",99144,114541,141333,147322,158202,188967,202665,217662,297454,353428,398086,445354,482025,542867,635069,820243,933541,969839,1083707,1190324,1378784,1610023,1785717,2127014,2287689,2515309,2842704,3239543,3614822,3937906,4460474,4868311,5247344,5533830,5968314,6380100,6910684,7400280,7757739,8307389,8928190,9531203,10088939,10403048
 "37000","North Carolina",5,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",114711,142726,165237,167105,188420,222846,232674,249644,319515,362099,428075,454242,489085,558891,673499,857646,967449,1007916,1188392,1322902,1541601,1779711,1931065,2253062,2346946,2657368,3126343,3349158,3679083,3931470,4377777,4621784,5009252,5213385,5680898,6054852,6488126,6827713,7168422,7670383,8278404,8804007,9338869,9696992
 "37000","North Carolina",5,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",9390,9462,9646,9991,10778,11069,11758,11162,10581,10232,12488,18497,19725,15197,9120,7355,12783,15004,13834,18878,17892,7712,11309,-29399,-40452,-59240,-94751,-157153,-219014,-300830,-363143,-417745,-457585,-440165,-464485,-481263,-546374,-617799,-682007,-759649,-737812,-806853,-920846,-930337
 "37000","North Carolina",5,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",5597067,5989441,6286485,6590729,7054699,7386956,8007221,8656376,9673271,10411981,11487449,12814330,13713363,14819157,16817107,18987953,20462957,21390264,23930889,26240026,29762816,32600472,35527529,39062090,40915923,44614632,50703143,54804427,59153017,64573517,70416061,75611415,79737706,82527210,90478613,96022428,102342765,108344953,114940893,123760153,132681039,140807015,150113071,153082958
 "37000","North Carolina",5,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",740905,797283,874406,949718,1054232,1127987,1237648,1335494,1443649,1546385,1667193,1936486,2269516,2468455,2745400,3148156,3657705,4030034,4403054,4960740,5658693,6374963,7821669,9636583,10936201,11875176,13808083,14978975,16214448,17090701,19096735,21714541,23111093,23641811,24787135,26301772,28331615,30837190,33660322,36509539,39561356,39717519,42186473,41969216
