GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "38000","North Dakota",4,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1170366,1085596,1210253,1109242,1554904,1448231,1440731,1677209,1697119,1699091,1778337,1990570,2102372,2424204,2887407,4036830,3998170,4181464,4101883,4261106,5357868,5507412,5269899,6899449,7453236,7831128,8458262,8740885,8869920,9133063,8466566,9482678,10256587,10388057,11391699,11547525,12547582,12570634,14065748,13771145,15077563,15272287,16623223,16961221
 "38000","North Dakota",4,SAINC5S,20,"...","Population (persons) 2/","Number of persons",606000,618000,634000,641000,637000,644000,649000,649000,647000,626000,621000,621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062
 "38000","North Dakota",4,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",1931,1757,1909,1730,2441,2249,2220,2584,2623,2714,2864,3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8445,8053,10462,11141,11573,12429,12912,13248,13814,12920,14671,16084,16340,17849,18009,19460,19404,21627,21196,23285,23705,25892,26541
 "38000","North Dakota",4,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",955552,874934,989381,894454,1290429,1193265,1173202,1376891,1397417,1387507,1431306,1635476,1697577,1959279,2373485,3449296,3326785,3384488,3250475,3277555,4284296,4324493,3766068,5008975,5209040,5528819,5973109,6151885,6202601,6524523,5923751,6675182,7363324,7550161,8446587,8499799,9421916,9215390,10588494,10069888,11295046,11554251,12600120,12856596
 "38000","North Dakota",4,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",30856,33899,40702,43151,47418,56298,59135,61690,74084,88922,94957,102137,114696,128946,147359,189342,224187,256032,293514,302537,353571,411981,450289,532573,576432,613251,652117,677884,697767,727000,794183,839677,932765,1002204,1064376,1145865,1220547,1269860,1327100,1374237,1438540,1478456,1549851,1591339
 "38000","North Dakota",4,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",16409,16430,20560,22317,23387,27732,29604,30862,38000,48667,50337,55114,60716,66442,73451,97324,115928,131847,145655,141350,164074,191653,210135,248299,268693,280981,297365,322388,336781,352170,386400,415409,458298,491548,515695,545072,580787,594265,619980,650246,675752,704608,733229,782989
 "38000","North Dakota",4,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",14447,17469,20142,20834,24031,28566,29531,30828,36084,40255,44620,47023,53980,62504,73908,92018,108259,124185,147859,161187,189497,220328,240154,284274,307739,332270,354752,355496,360986,374830,407783,424268,474467,510656,548681,600793,639760,675595,707120,723991,762788,773848,816622,808350
 "38000","North Dakota",4,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-10050,-11005,-11526,-11632,-14015,-14367,-16813,-17326,-16299,-16357,-16105,-55167,-57603,-60440,-63911,-67452,-79034,-83125,-96637,-102515,-112909,-129926,-145433,-166081,-168070,-170711,-170382,-169562,-167959,-168182,-175189,-180173,-184171,-190934,-205941,-225383,-240512,-261844,-293990,-320970,-343995,-370431,-403890,-432205
 "38000","North Dakota",4,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",914646,830030,937153,839671,1228996,1122600,1097254,1297875,1307034,1282228,1320244,1478172,1525278,1769893,2162215,3192502,3023564,3045331,2860324,2872503,3817816,3782586,3170346,4310321,4464538,4744857,5150610,5304439,5336875,5629341,4954379,5655332,6246388,6357023,7176270,7128551,7960857,7683686,8967404,8374681,9512511,9705364,10646379,10833052
 "38000","North Dakota",4,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",183200,177161,190198,179140,231652,227565,239200,265066,266875,269795,293739,329877,365423,406302,449376,533923,619024,715953,777040,881988,986633,1111538,1374911,1758017,2056923,2050144,2196907,2256411,2246217,2157898,2159066,2353034,2431770,2425591,2443521,2552202,2685512,2876761,3005872,3214729,3355761,3262685,3504633,3591255
 "38000","North Dakota",4,SAINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",72520,78405,82902,90431,94256,98066,104277,114268,123210,147068,164354,182521,211671,248009,275816,310405,355582,420180,464519,506615,553419,613288,724642,831111,931775,1036127,1110745,1180035,1286828,1345824,1353121,1474312,1578429,1605443,1771908,1866772,1901213,2010187,2092472,2181735,2209291,2304238,2472211,2536914
