GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "34000","New Jersey",2,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",14608757,15708149,16552918,17395696,18718579,19646810,21063708,22629137,24502929,26393992,28966953,32504175,35294519,38078118,41394930,45063192,48945152,52877698,57408891,62802139,69699071,77362778,87046739,97264551,105090396,113438476,125567163,134573708,144070388,155341299,170597669,183042974,192163514,195933413,210510235,217595981,225284514,239164930,253062255,269605875,287264744,300654040,330613568,341787737
 "34000","New Jersey",2,SAINC5S,20,"...","Population (persons) 2/","Number of persons",5890000,6015000,6103000,6265000,6376000,6531000,6660000,6767000,6851000,6928000,7005000,7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671
 "34000","New Jersey",2,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",2480,2611,2712,2777,2936,3008,3163,3344,3577,3810,4135,4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34663,35965,39216,40245
 "34000","New Jersey",2,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",11689692,12636270,13269109,13818229,14755444,15387673,16318743,17470700,19056339,20386004,22236201,24174456,26102139,27901715,30447671,33538166,36008650,37745885,41379924,45540642,51062212,56574936,61889637,67762531,72341216,78978762,88003116,95483970,103321187,113281477,125530226,132290164,138126371,139677857,149410971,155419250,161986059,169746173,178344003,188811959,201798426,213357244,234153627,242111326
 "34000","New Jersey",2,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",469174,556737,660179,694706,771044,869484,881064,934512,1212125,1346179,1534633,1828909,1958328,2170286,2484459,3130999,3460896,3543703,3932759,4315581,4987449,5747596,6317104,7368483,7997290,8983120,10427213,11395386,12408210,13524602,15223856,15871219,16024155,16532974,17490599,18116326,19137986,19893511,20744622,21524218,22685478,23765518,25554912,26592891
 "34000","New Jersey",2,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",203120,244660,293131,306064,328090,383788,396847,423562,565684,646682,734278,837469,905100,1002366,1116312,1395567,1554720,1617516,1734717,1901704,2185664,2538417,2836461,3332829,3650418,4023730,4568085,5185183,5769132,6418699,7294127,7777989,7879921,8245548,8664966,8849684,9356350,9841912,10370285,10716891,11448130,12065743,12938158,13490987
 "34000","New Jersey",2,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",266054,312077,367048,388642,442954,485696,484217,510950,646441,699497,800355,991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904
 "34000","New Jersey",2,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",692153,776976,862869,919981,1021447,1096471,1213358,1323462,1521841,1686552,1893623,3164643,3117383,3212732,3417929,3513450,3682897,3887311,4061394,4419691,4992087,5706509,6657721,7275032,7760315,8101185,8526060,8951592,9537121,10071146,10488232,10338068,10353627,10312123,12065743,12251278,12233991,13365611,15321480,18081616,19596251,21496265,24547035,25181393
 "34000","New Jersey",2,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",11912671,12856509,13471799,14043504,15005847,15614660,16651037,17859650,19366055,20726377,22595191,25510190,27261194,28944161,31381141,33920617,36230651,38089493,41508559,45644752,51066850,56533849,62230254,67669080,72104241,78096827,86101963,93040176,100450098,109828021,120794602,126757013,132455843,133457006,143986115,149554202,155082064,163218273,172920861,185369357,198709199,211087991,233145750,240699828
 "34000","New Jersey",2,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",1849547,1996874,2185075,2328102,2634176,2872943,3207783,3483990,3751626,4025189,4407811,4781488,5344069,5857186,6350552,7011146,7867014,8450628,9047140,9928579,10943538,12278719,15035028,18615086,20951402,22349670,25917721,27334258,28752794,30153725,33447988,38759162,40376381,40227721,40760272,41119504,42899171,46776215,50039138,53371604,56840667,56526774,62206197,61890154
