GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "41000","Oregon",8,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3748632,4053733,4191816,4350819,4621548,4866676,5236322,5680933,6118379,6487168,7062587,7832186,8537112,9382814,10511429,11845440,13431788,14919665,16821714,18812438,21563442,24392255,27030379,29169608,30006197,31906148,34585003,36320768,38221702,40194469,43775754,48095052,51940747,54674252,58477046,62590764,67029794,72165942,77845034,82657354,87241012,90336969,97354718,99975868
 "41000","Oregon",8,SAINC5S,20,"...","Population (persons) 2/","Number of persons",1718000,1746000,1772000,1787000,1818000,1853000,1888000,1937000,1969000,1979000,2004000,2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937
 "41000","Oregon",8,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",2182,2322,2366,2435,2542,2626,2773,2933,3107,3278,3524,3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9461,10234,10933,11260,12026,12970,13590,14243,14881,15969,17235,18159,18670,19546,20452,21475,22663,23974,25015,26023,26617,28386,28829
 "41000","Oregon",8,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",3056578,3346598,3463225,3539196,3778190,4011860,4327933,4708254,5136965,5383462,5876230,6451132,6820919,7436758,8424168,9547742,10650830,11446752,13099136,14778338,17108354,19383962,20793402,21578295,21368509,22543438,24707450,26037285,27743866,29649019,32817237,35571130,38896205,40985069,44088746,47210961,50731563,53961431,58664779,63045723,67000387,70515926,76476184,77901978
 "41000","Oregon",8,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",144872,179865,207310,210994,232191,266307,270712,275643,352323,392423,444220,481639,504549,568523,679157,879530,1002415,1056493,1234226,1420375,1692653,1986729,2126674,2368934,2402861,2558039,2890156,3070160,3250533,3437803,3930997,4271754,4791442,5106449,5459133,5830201,6321839,6789293,7451883,7909560,8365892,8725945,9417230,9449281
 "41000","Oregon",8,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",49534,61399,74207,74046,80478,95233,101013,106364,148165,174612,195354,213020,224787,250587,294686,381029,438857,467851,526282,602915,708248,835185,906541,1024672,1054962,1108318,1219213,1351988,1455652,1567906,1821112,2035545,2285773,2461834,2606651,2771280,3016495,3254116,3474714,3718687,3930829,4132997,4404028,4500813
 "41000","Oregon",8,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",95338,118466,133103,136948,151713,171074,169699,169279,204158,217811,248866,268619,279762,317936,384471,498501,563558,588642,707944,817460,984405,1151544,1220133,1344262,1347899,1449721,1670943,1718172,1794881,1869897,2109885,2236209,2505669,2644615,2852482,3058921,3305344,3535177,3977169,4190873,4435063,4592948,5013202,4948468
 "41000","Oregon",8,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-10925,-14574,-17651,-19318,-22491,-27247,-32576,-38489,-42338,-46483,-54422,-82114,-62621,-51560,-45092,-50145,-58141,-31127,-15348,-74227,-127911,-177529,-217995,-268456,-257869,-246265,-285586,-314956,-370778,-433401,-501016,-561788,-618066,-682910,-779518,-874978,-941139,-1119283,-1354772,-1540332,-1663632,-1757016,-1998797,-2110990
 "41000","Oregon",8,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",2900781,3152159,3238264,3308884,3523508,3718306,4024645,4394122,4742304,4944556,5377588,5887379,6253749,6816675,7699919,8618067,9590274,10359132,11849562,13283736,15287790,17219704,18448733,18940905,18707779,19739134,21531708,22652169,24122555,25777815,28385224,30737588,33486697,35195710,37850095,40505782,43468585,46052855,49858124,53595831,56970863,60032965,65060157,66341707
 "41000","Oregon",8,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",564966,615634,649653,690204,738679,777581,827592,872395,928727,1009706,1084527,1282718,1478707,1633995,1789065,2014736,2345680,2659633,2901014,3289530,3831403,4432294,5325519,6461395,7051754,7603368,8340094,8737388,9079144,9219499,9859408,11274095,11839214,12153438,12476431,13380894,14524756,16102043,17334900,18098710,18871446,17897814,19245187,18981770
 "41000","Oregon",8,SAINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",282885,285940,303899,351731,359361,370789,384085,414416,447348,532906,600472,662089,804656,932144,1022445,1212637,1495834,1900900,2071138,2239172,2444249,2740257,3256127,3767308,4246664,4563646,4713201,4931211,5020003,5197155,5531122,6083369,6614836,7325104,8150520,8704088,9036453,10011044,10652010,10962813,11398703,12406190,13049374,14652391
 "41000","Oregon",8,SAINC5S,50,"..."," Wages and salaries","Thousands of dollars",2220016,2443618,2559095,2617297,2805961,3001657,3256078,3561069,3856683,4051087,4445214,4867891,5171189,5607998,6289418,7092135,7840080,8431015,9596898,10914604,12625323,14329989,15354951,16054435,15971955,16615362,17978070,18854384,19914787,21335539,23435321,25408235,27653906,28980447,30906900,32842772,35408538,38340754,41679478,45225579,47926280,50950564,55205663,55728283
 "41000","Oregon",8,SAINC5S,60,"..."," Supplements to wages and salaries","Thousands of dollars",215705,251743,277149,293319,314090,351728,373920,398082,453708,485118,557785,637273,696032,801766,951515,1106283,1255999,1440471,1673462,1990241,2350700,2715501,2949836,3193179,3326328,3612070,3983499,4301566,4658383,4958835,5513460,6166324,6876848,7413951,8325405,8849894,9406545,9791789,10527747,11029834,11707717,12171219,13542037,14318377
 "41000","Oregon",8,SAINC5S,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",120367,133277,144046,156371,162377,180654,204221,228803,249550,267307,308919,368654,416270,483830,567044,607782,692441,851829,965518,1172781,1366295,1563957,1729703,1848917,1978429,2162349,2312556,2583394,2863502,3088938,3403575,3930115,4371179,4769336,5472923,5790973,6101201,6256612,6550578,6838961,7272654,7578271,8528835,9369909
 "41000","Oregon",8,SAINC5S,62,"...","  Employer contributions for government social insurance","Thousands of dollars",95338,118466,133103,136948,151713,171074,169699,169279,204158,217811,248866,268619,279762,317936,384471,498501,563558,588642,707944,817460,984405,1151544,1220133,1344262,1347899,1449721,1670943,1718172,1794881,1869897,2109885,2236209,2505669,2644615,2852482,3058921,3305344,3535177,3977169,4190873,4435063,4592948,5013202,4948468
