GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "53000","Washington",8,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",6588310,6994768,7247987,7609329,8203071,8393935,8787343,9465122,10693342,11710427,13034813,14235772,15036667,15838561,17079016,19236035,21826702,24719584,27398764,30411983,35366608,40755502,46241935,51391260,54606379,58281463,62431081,66376252,70875837,75031208,81724088,90313168,99151181,106188886,114759017,120676876,126855369,134146303,144246155,155513933,170274853,180875799,193410020,198030996
 "53000","Washington",8,SAINC5S,20,"...","Population (persons) 2/","Number of persons",2773000,2821000,2855000,2882000,2942000,2955000,2961000,2967000,3057000,3174000,3270000,3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722
 "53000","Washington",8,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",2376,2480,2539,2640,2788,2841,2968,3190,3498,3689,3986,4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11130,12133,12769,13553,14373,15085,15917,16556,17613,19028,20222,21129,22237,22860,23600,24475,25898,27405,29513,30958,32723,33084
 "53000","Washington",8,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",5353824,5706235,5875588,6150142,6674979,6815246,7083584,7614008,8840346,9641581,10725225,11684589,11831246,12254123,13319572,15158100,17064432,19018341,21322278,23909276,28178693,32521273,35850813,39163355,40424144,42690278,45595238,48337212,52215548,55899477,61412272,67129271,74602228,80050897,87402767,91302448,95244987,99389450,106532882,115626713,128638260,139694124,148773616,151171177
 "53000","Washington",8,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",239517,281481,313280,327495,357714,394876,394285,417539,592936,688058,770385,908827,911359,978715,1114784,1434928,1656005,1837154,2136936,2456833,2973069,3561299,3898199,4585056,4812246,5113987,5647155,6086761,6584809,7024733,7929320,8669433,9822715,10637496,11580257,12079083,12803680,13403631,14014304,14810180,16245428,17001737,18407022,18148607
 "53000","Washington",8,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",84734,103539,120071,126238,138194,154480,155827,162150,246600,292897,325972,374954,380858,408114,456489,589919,687177,765408,859618,964757,1152714,1386952,1543841,1841274,1956988,2058018,2216878,2496607,2743142,2950202,3371750,3777738,4297958,4670719,5030938,5172897,5516089,5832364,6189957,6770439,7368796,7847343,8400551,8318550
 "53000","Washington",8,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",154783,177942,193209,201257,219520,240396,238458,255389,346336,395161,444413,533873,530501,570601,658295,845009,968828,1071746,1277318,1492076,1820355,2174347,2354358,2743782,2855258,3055969,3430277,3590154,3841667,4074531,4557570,4891695,5524757,5966777,6549319,6906186,7287591,7571267,7824347,8039741,8876632,9154394,10006471,9830057
 "53000","Washington",8,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",16553,20897,25522,28915,34523,42403,52189,62826,71789,83008,99402,89185,63391,60936,71073,87215,130176,200099,248694,231530,271725,484229,577205,431047,467701,493775,543988,572083,616416,672368,756656,845370,918220,990244,1101109,1195883,1249854,1407309,1627109,1785610,1891989,1958446,2281047,2375974
 "53000","Washington",8,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",5130860,5445651,5587830,5851562,6351788,6462773,6741488,7259295,8319199,9036531,10054242,10864947,10983278,11336344,12275861,13810387,15538603,17381286,19434036,21683973,25477349,29444203,32529819,35009346,36079599,38070066,40492071,42822534,46247155,49547112,54239608,59305208,65697733,70403645,76923619,80419248,83691161,87393128,94145687,102602143,114284821,124650833,132647641,135398544
 "53000","Washington",8,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",988549,1064796,1146156,1194363,1284606,1332982,1414923,1542908,1685574,1845298,2029522,2293883,2618338,2831220,3018697,3414672,3936376,4431040,4802754,5418333,6301716,7296189,8795618,10670235,12101396,13192834,14561020,15619100,16213043,16621805,17830224,20411674,21807502,22593084,23283553,24679988,26767864,29232103,31740940,33867347,36196289,35239227,38347479,37515499
 "53000","Washington",8,SAINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",468901,484321,514001,563404,566677,598180,630932,662919,688569,828598,951049,1076942,1435051,1670997,1784458,2010976,2351723,2907258,3161974,3309677,3587543,4015110,4916498,5711679,6425384,7018563,7377990,7934618,8415639,8862291,9654256,10596286,11645946,13192157,14551845,15577640,16396344,17521072,18359528,19044443,19793743,20985739,22414900,25116953
 "53000","Washington",8,SAINC5S,50,"..."," Wages and salaries","Thousands of dollars",4036806,4301757,4447286,4678730,5083429,5188635,5393713,5808564,6724178,7384833,8275505,9015425,9177709,9395778,10049394,11276445,12614502,14022855,15773673,17809240,20890368,24323855,26948640,29709306,30719740,31689519,33487073,35569396,38104891,40853958,44376327,48532368,53781835,57338835,62165464,64059983,67208547,71124687,76726723,84753565,93722306,103080733,109279037,109689454
 "53000","Washington",8,SAINC5S,60,"..."," Supplements to wages and salaries","Thousands of dollars",416005,451668,479137,513393,557016,595225,620073,672641,825688,930704,1070470,1239457,1286765,1395693,1565214,1822566,2097067,2473226,2820070,3305619,3902914,4595020,5119934,5864725,6312062,6886735,7553357,8163286,8811850,9326008,10260189,11483749,12936472,14126139,15804853,16787444,17364156,17868425,18368271,19223021,21018811,21964491,23628616,24576837
 "53000","Washington",8,SAINC5S,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",261222,273726,285928,312136,337496,354829,381615,417252,479352,535543,626057,705584,756264,825092,906919,977557,1128239,1401480,1542752,1813543,2082559,2420673,2765576,3120943,3456804,3830766,4123080,4573132,4970183,5251477,5702619,6592054,7411715,8159362,9255534,9881258,10076565,10297158,10543924,11183280,12142179,12810097,13622145,14746780
 "53000","Washington",8,SAINC5S,62,"...","  Employer contributions for government social insurance","Thousands of dollars",154783,177942,193209,201257,219520,240396,238458,255389,346336,395161,444413,533873,530501,570601,658295,845009,968828,1071746,1277318,1492076,1820355,2174347,2354358,2743782,2855258,3055969,3430277,3590154,3841667,4074531,4557570,4891695,5524757,5966777,6549319,6906186,7287591,7571267,7824347,8039741,8876632,9154394,10006471,9830057
 "53000","Washington",8,SAINC5S,70,"..."," Proprietors' income 8/","Thousands of dollars",901013,952810,949165,958019,1034534,1031386,1069798,1132803,1290480,1326044,1379250,1429707,1366772,1462652,1704964,2059089,2352863,2522260,2728535,2794417,3385411,3602398,3782239,3589324,3392342,4114024,4554808,4604530,5298807,5719511,6775756,7113154,7883921,8585923,9432450,10455021,10672284,10396338,11437888,11650127,13897143,14648900,15865963,16904886
 "53000","Washington",8,SAINC5S,71,"...","  Farm proprietors' income","Thousands of dollars",152230,157527,179003,164701,189807,184109,152884,181611,263728,236209,243403,284898,218641,276113,392322,614630,719039,695731,479837,361046,489313,445841,552840,556061,404968,713180,666458,386774,713969,729408,602217,682088,625527,686541,954511,1103504,750033,673984,1035103,579416,710072,344030,562523,399419
 "53000","Washington",8,SAINC5S,72,"...","  Nonfarm proprietors' income","Thousands of dollars",748783,795283,770162,793318,844727,847277,916914,951192,1026752,1089835,1135847,1144809,1148131,1186539,1312642,1444459,1633824,1826529,2248698,2433371,2896098,3156557,3229399,3033263,2987374,3400844,3888350,4217756,4584838,4990103,6173539,6431066,7258394,7899382,8477939,9351517,9922251,9722354,10402785,11070711,13187071,14304870,15303440,16505467
 "53000","Washington",8,SAINC5S,81,"[01-02]"," Farm earnings","Thousands of dollars",222552,232597,255955,246542,270947,274505,250586,270586,365680,327269,340659,397547,346075,391334,506543,756057,890608,906386,753689,604493,753814,739520,860916,862707,766537,1065972,1024181,752501,1059537,1083779,1019594,1155747,1209802,1281348,1541691,1744113,1428581,1468309,1942563,1549185,1730258,1497941,1737231,1572561
 "53000","Washington",8,SAINC5S,82,"..."," Nonfarm earnings","Thousands of dollars",5131272,5473638,5619633,5903600,6404032,6540741,6832998,7343422,8474666,9314312,10384566,11287042,11485171,11862789,12813029,14402043,16173824,18111955,20568589,23304783,27424879,31781753,34989897,38300648,39657607,41624306,44571057,47584711,51156011,54815698,60392678,65973524,73392426,78769549,85861076,89558335,93816406,97921141,104590319,114077528,126908002,138196183,147036385,149598616
 "53000","Washington",8,SAINC5S,90,"...","  Private nonfarm earnings","Thousands of dollars",4018212,4332703,4417831,4623163,5026099,5116135,5323367,5749710,6711242,7323825,8079896,8679579,8578860,8745440,9578598,10842827,12184388,13660031,15781381,18133714,21738744,25413543,27799430,30353406,31189505,32547573,34813216,37040984,40153791,43222257,47840575,52525805,58634204,62554015,68150745,71016132,74589881,77821429,83662684,92342921,104180829,114265723,121591038,122477541
 "53000","Washington",8,SAINC5S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",45168,44054,39949,44111,52466,50820,56753,62414,71395,79182,77502,82446,93331,100995,116893,143594,168622,172742,231806,233275,334768,398087,465357,371950,350505,452967,420955,623480,819137,890085,1084924,1158564,1335307,1335713,1262556,1183485,1269035,1246249,1195163,1225571,1368033,1589378,1707006,1844764
 "53000","Washington",8,SAINC5S,110,"07","    Agricultural services","Thousands of dollars",11495,11520,12142,12777,15906,16547,19280,20775,23447,26559,31851,39468,39176,45198,55919,60676,70349,79864,89984,95292,127137,149281,181501,204324,214647,219382,242927,237804,248140,349876,358297,386615,465805,499957,527126,559479,588747,604476,616128,677326,748110,840735,909683,(NA)
 "53000","Washington",8,SAINC5S,120,"...","    Forestry and fishing","Thousands of dollars",33673,32534,27807,31334,36560,34273,37473,41639,47948,52623,45651,42978,54155,55797,60974,82918,98273,92878,141822,137983,207631,248806,283856,167626,135858,233585,178028,385676,570997,540209,726627,771949,869502,835756,735430,624006,680288,641773,579035,548245,619923,748643,797323,(NA)
 "53000","Washington",8,SAINC5S,121,"08","     Forestry","Thousands of dollars",3164,2701,3395,4352,5487,5973,6653,6986,8316,11658,12741,11449,13068,14716,18173,21995,25984,25875,30417,18688,21319,23591,33842,41156,27096,66664,80965,63960,58558,30134,64258,78836,107854,104116,100249,100749,167380,103901,50135,59915,158380,221735,213292,(NA)
 "53000","Washington",8,SAINC5S,122,"...","     Fishing","Thousands of dollars",30509,29833,24412,26982,31073,28300,30820,34653,39632,40965,32910,31529,41087,41081,42801,60923,72289,67003,111405,119295,186312,225215,250014,126470,108762,166921,97063,321716,512439,510075,662369,693113,761648,731640,635181,523257,512908,537872,528900,488330,461543,526908,584031,(NA)
 "53000","Washington",8,SAINC5S,200,"B","   Mining","Thousands of dollars",12151,12894,13796,14516,14942,15815,15217,16532,16836,18512,20094,21288,22831,23350,29590,33944,49308,61545,79037,96196,104639,128677,182536,200705,195883,131229,147201,167745,97681,147326,181597,182262,188522,208884,201675,181199,210798,206585,230233,254285,247691,247434,268362,268304
 "53000","Washington",8,SAINC5S,210,"10","    Metal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11161,(D),(D),(D),(D),(D),52972,51618,42012,47689,45861,(D),43282,40705,43504,43627,(NA)
 "53000","Washington",8,SAINC5S,220,"12","    Coal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),41778,(D),(D),(D),(D),(D),65234,60058,50533,53719,49348,(D),58418,(D),(D),53617,(NA)
 "53000","Washington",8,SAINC5S,230,"13","    Oil and gas extraction","Thousands of dollars",928,790,898,1177,1103,1604,1627,1551,884,2400,4825,4587,4232,1658,6421,7359,16692,24737,38061,42411,33254,44231,93485,107473,98939,39415,52265,71779,11840,50761,27309,15746,17082,15391,8125,6820,8726,5094,7731,12027,(D),(D),14634,(NA)
 "53000","Washington",8,SAINC5S,240,"14","    Nonmetallic minerals, except fuels","Thousands of dollars",6133,6545,7217,7594,8151,8793,8547,9818,11140,11605,10915,11820,12453,13350,14502,15089,16839,17120,20286,24883,34629,40317,42064,39946,41121,40771,43623,43027,38228,40348,52488,60705,65864,75287,81874,81834,100664,106282,130783,140558,147288,146306,156484,(NA)
