GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "54000","West Virginia",5,SAINC5S,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2927951,3028703,3075721,3117232,3255646,3400126,3628098,3877820,4115264,4360551,4622812,4944141,5511837,6051556,6700698,7333218,8128736,9186126,10241128,11457287,12752672,14222561,15632663,17051166,18069361,18550227,19940683,20765614,21261444,21785013,23237559,24600986,26186226,27308245,29404386,30498832,31820522,32894704,34208841,35630179,37123018,38114073,40327673,42791913
 "54000","West Virginia",5,SAINC5S,20,"...","Population (persons) 2/","Number of persons",1845000,1855000,1853000,1828000,1809000,1796000,1797000,1786000,1775000,1769000,1763000,1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481
 "54000","West Virginia",5,SAINC5S,30,"...","Per capita personal income (dollars) 3/","Dollars",1587,1633,1660,1705,1800,1893,2019,2171,2318,2465,2622,2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8011,8726,9268,9537,10344,10890,11295,11728,12697,13618,14608,15182,16277,16780,17480,18037,18767,19587,20447,21037,22317,23754
 "54000","West Virginia",5,SAINC5S,35,"..."," Earnings by place of work","Thousands of dollars",2487674,2584097,2629037,2615274,2718677,2833566,3011207,3214902,3477468,3671300,3877393,4173345,4567817,4954108,5474485,5928148,6513675,7240391,8154161,9215356,10301395,11370381,12085492,12760919,13097919,12968021,14034160,14568500,14758277,15160082,16278383,16957114,18147757,18782216,19981593,20767488,21853206,22433881,23089726,23975949,24934470,25907045,27406301,28659645
 "54000","West Virginia",5,SAINC5S,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",113719,135418,155095,153036,167937,185615,173168,184331,244148,267894,298311,323431,349685,394920,454649,567826,647589,710757,818832,917593,1058367,1212117,1310531,1483588,1571511,1570721,1737026,1827922,1921373,1992005,2190267,2309620,2502353,2662533,2839568,3058984,3205308,3351520,3454383,3548056,3720719,3826208,4141034,4114559
 "54000","West Virginia",5,SAINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",46152,53363,58732,58643,60652,69219,72107,76455,105108,117776,131775,142838,155038,173692,198740,244567,277962,308308,347281,382795,432875,503163,545696,625461,663588,655701,708138,769115,812463,848214,941398,1016011,1092446,1156771,1214268,1271219,1361382,1428790,1458561,1506546,1544870,1604918,1658166,1754041
 "54000","West Virginia",5,SAINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",67567,82055,96363,94393,107285,116396,101061,107876,139040,150118,166536,180593,194647,221228,255909,323259,369627,402449,471551,534798,625492,708954,764835,858127,907923,915020,1028888,1058807,1108910,1143791,1248869,1293609,1409907,1505762,1625300,1787765,1843926,1922730,1995822,2041510,2175849,2221290,2482868,2360518
 "54000","West Virginia",5,SAINC5S,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-20793,-20331,-20373,-20139,-19015,-17941,-16640,-12631,-10139,-8188,1543,-73255,-75085,-90351,-102475,-104949,-119499,-124430,-152524,-185047,-214500,-227046,-249993,-226731,-169860,-145077,-112395,-107393,-85597,-25753,8070,95027,92065,74295,133929,131571,180606,223668,234396,392467,438830,500815,625245,772281
 "54000","West Virginia",5,SAINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",2353162,2428348,2453569,2442099,2531725,2630010,2821399,3017940,3223181,3395218,3580625,3776659,4143047,4468837,4917361,5255373,5746587,6405204,7182805,8112716,9028528,9931218,10524968,11050600,11356548,11252223,12184739,12633185,12751307,13142324,14096186,14742521,15737469,16193978,17275954,17840075,18828504,19306029,19869739,20820360,21652581,22581652,23890512,25317367
 "54000","West Virginia",5,SAINC5S,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",273781,297399,317987,331220,356470,391194,421579,449080,458538,473277,498332,568605,647033,712179,785855,891538,1038407,1180367,1300355,1469332,1641251,1853428,2271485,2797485,3200856,3406586,3781390,3983922,4103745,4114360,4362255,4815258,5042168,5034960,5158784,5238397,5468215,5829307,6157572,6441506,6797645,6679508,7149782,7213464
