GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",12860420,13131468,13895673,14887161,15706888,16525463,17454324,18583530,19594372,20784282,21811104,22537046,23172470,24468439,25735371,26358319,27135635,27821562,27192776,27170977,28304604,29118560,28804763,29728437
 "02000","Alaska",8,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",10328924,10482804,11077295,11733847,12324298,12794870,13460848,14256293,15122617,16103298,17038036,17532551,17998133,18772293,19588221,19949098,20515254,21225799,20517759,20400051,21049725,21816645,21536143,22376422
 "02000","Alaska",8,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",2531496,2648664,2818378,3153314,3382590,3730593,3993476,4327237,4471755,4680984,4773068,5004495,5174337,5696146,6147150,6409221,6620381,6595763,6675017,6770926,7254879,7301915,7268620,7352015
 "02000","Alaska",8,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1715139,1824247,1957926,2255768,2440345,2758592,2954565,3210193,3255517,3433433,3493230,3702353,3836082,4251711,4595889,4804301,5052669,5018706,5163569,5257282,5724649,5729419,5699779,5709155
 "02000","Alaska",8,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",816357,824417,860452,897546,942245,972001,1038911,1117044,1216238,1247551,1279838,1302142,1338255,1444435,1551261,1604920,1567712,1577057,1511448,1513644,1530230,1572496,1568841,1642860
 "02000","Alaska",8,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",43020,43785,45193,47488,49154,51054,52937,55398,57143,59983,62122,64305,65756,68278,70513,72062,74163,75683,75344,76060,79506,81213,86730,(NA)
 "02000","Alaska",8,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",7516,10057,6863,6898,6836,6051,6362,6098,6268,6423,13225,19110,18926,18222,20370,20393,20864,19342,20666,25477,23552,23391,24269,25947
 "02000","Alaska",8,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",12852904,13121411,13888810,14880263,15700052,16519412,17447962,18577432,19588104,20777859,21797879,22517936,23153544,24450217,25715001,26337926,27114771,27802220,27172110,27145500,28281052,29095169,28780494,29702490
 "02000","Alaska",8,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",8196413,8343826,8909807,9620112,9999707,10433491,11088767,11834434,12517040,13413718,14148571,14352543,14703649,15526601,16411930,17212376,17746214,18390941,17506757,17338347,17997528,18786065,18269050,19180966
 "02000","Alaska",8,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",70798,73893,74845,(D),45284,45050,42284,43346,35288,30707,28316,28326,40061,59876,49690,53292,55884,54621,49696,48064,48910,56396,(D),(D)
 "02000","Alaska",8,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",56664,58117,59287,38554,34694,33267,(D),29600,25010,19837,16425,16051,(D),(D),23143,23387,24813,23390,22617,(D),18927,23200,24843,(NA)
 "02000","Alaska",8,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",11910,14058,13493,(D),(D),7765,8445,9151,(D),(D),(D),6643,14949,32152,21249,24063,25215,24389,20903,21639,(D),24558,23616,(NA)
 "02000","Alaska",8,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",(T),(T),(T),(D),(D),4018,(D),4595,(D),(D),(D),5632,(D),(D),5298,5842,5856,6842,6176,(D),(D),8638,(D),(NA)
 "02000","Alaska",8,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1044433,910659,1059339,(D),1118412,1016638,1086216,1201957,1474133,1731554,2020696,2068315,2120319,2251480,2502123,2640100,2825745,2816596,2271909,2104231,2213586,2291006,2124127,1999917
 "02000","Alaska",8,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",421035,395320,418356,468902,463208,401027,432962,464851,516401,609332,711972,755126,762780,809579,926540,1003770,1116370,1140103,982294,944319,1019052,1030538,976881,(NA)
 "02000","Alaska",8,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",116148,107852,113512,(D),115775,121598,120501,141767,179078,205330,244924,231133,273837,310900,356649,375065,374216,383871,387076,399353,428083,423609,465881,(NA)
 "02000","Alaska",8,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",507250,407487,527471,623602,539429,494013,532753,595339,778654,916892,1063800,1082056,1083702,1131001,1218934,1261265,1335159,1292622,902539,760559,766451,836859,681365,(NA)
 "02000","Alaska",8,SAINC6N,300,"22","   Utilities","Thousands of dollars",104827,108772,113151,132202,151266,153632,159772,165753,173072,179787,196592,210853,230851,251590,249928,273793,268372,283968,288909,280552,307598,320263,370395,408267
 "02000","Alaska",8,SAINC6N,400,"23","   Construction","Thousands of dollars",809331,838049,861444,943121,1046066,1158288,1221917,1341646,1348407,1402535,1452932,1432468,1438396,1415191,1500218,1585944,1737419,1840866,1606244,1451747,1580593,1691141,1644257,1688369
 "02000","Alaska",8,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",253557,259506,248612,262288,302792,372420,374210,421144,411083,457230,444291,427361,416313,429623,421247,437770,446940,454798,392834,369465,418116,472279,480709,(NA)
 "02000","Alaska",8,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",214824,196201,216648,244219,243644,267416,298069,330512,361890,341169,363347,375893,378415,343281,389414,452839,548448,621743,541645,477713,527932,561504,527204,(NA)
 "02000","Alaska",8,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",340950,382342,396184,436614,499630,518452,549638,589990,575434,604136,645294,629214,643668,642287,689557,695335,742031,764325,671765,604569,634545,657358,636344,(NA)
 "02000","Alaska",8,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",510886,501958,493145,519100,493375,548668,576263,633286,662949,696281,673744,661797,685675,737781,801876,887198,881186,937223,912617,903964,897656,946868,(D),(D)
 "02000","Alaska",8,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",85377,83379,84883,(D),(D),91816,98176,110958,115748,132183,139699,136414,124917,124578,159098,171007,158537,173931,154379,150031,152047,155273,(D),(D)
 "02000","Alaska",8,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",25419,21171,18380,19966,12752,10670,13008,13971,(D),21312,22254,16422,(D),(D),(D),(D),34525,40201,31636,25049,18918,16897,15939,(NA)
 "02000","Alaska",8,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",17528,19617,21309,23481,23567,27685,26042,28397,(D),25135,23728,23629,22852,19999,21192,21321,21491,23811,21594,21485,21230,19112,21481,(NA)
 "02000","Alaska",8,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),2054,1564,1579,2034,1390,1107,1286,1148,942,876,913,875,1175,(NA)
 "02000","Alaska",8,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",17387,16565,19223,18396,18771,20662,22556,24776,26405,(D),(D),29472,26249,34513,41960,46876,35961,36060,28543,27375,30331,35481,32175,(NA)
 "02000","Alaska",8,SAINC6N,515,"333","     Machinery manufacturing","Thousands of dollars",(T),(T),(T),2214,3948,3254,2363,3100,3606,4010,5418,6106,5363,5994,6408,6044,6462,9052,6918,7519,6587,7379,7771,(NA)
 "02000","Alaska",8,SAINC6N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),6082,7083,8368,9405,(D),(D),(D),12451,(D),(D),(D),(D),10451,13019,15290,15017,(NA)
 "02000","Alaska",8,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",(T),(T),(T),604,492,803,1376,1530,2405,2742,2281,2015,(D),(D),(D),1633,(D),1122,1090,(D),1092,(D),(D),(NA)
 "02000","Alaska",8,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2139,2309,2402,(D),2607,(D),(D),(D),(NA)
 "02000","Alaska",8,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",(T),(T),(T),8055,9678,(D),12048,14922,13795,21566,23764,(D),28275,(D),(D),(D),26614,(D),(D),37141,(D),(D),(D),(NA)
 "02000","Alaska",8,SAINC6N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",(T),(T),(T),3546,3715,4463,5316,6281,6896,6706,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAINC6N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",(T),(T),(T),7075,7557,8643,9292,10060,10365,11067,12071,(D),10256,9444,8732,10462,11412,11278,10128,10476,11965,11653,9933,(NA)
 "02000","Alaska",8,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",425509,418579,408262,(D),(D),456852,478087,522328,547201,564098,534045,525383,560758,613203,642778,716191,722649,763292,758238,753933,745609,791595,758455,827009
 "02000","Alaska",8,SAINC6N,531,"311","     Food manufacturing","Thousands of dollars",311378,327099,317275,316641,299788,349125,369853,407324,422541,442241,419659,414964,452782,500527,526472,591130,594621,628828,623955,629236,617626,655644,615857,(NA)
 "02000","Alaska",8,SAINC6N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",15558,(T),(T),5112,3881,4774,5597,6096,5601,7696,8412,8634,10564,11316,13749,16456,19475,21193,22260,23433,25567,30007,26168,(NA)
 "02000","Alaska",8,SAINC6N,533,"313","     Textile mills","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),375,(D),(D),(D),(NA)
 "02000","Alaska",8,SAINC6N,534,"314","     Textile product mills","Thousands of dollars",(T),(T),(T),910,1739,(D),2464,3216,3411,3389,3223,3011,2839,3132,3340,3683,4047,3863,3374,3360,3726,2062,1760,(NA)
 "02000","Alaska",8,SAINC6N,535,"315","     Apparel manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),154,156,421,(D),209,238,162,188,(D),(D),(D),221,275,301,(D),(D),142,408,(NA)
 "02000","Alaska",8,SAINC6N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),76,(D),(D),232,(D),410,589,716,839,813,(D),949,(NA)
 "02000","Alaska",8,SAINC6N,537,"322","     Paper manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAINC6N,538,"323","     Printing and related support activities","Thousands of dollars",16959,17557,17931,18154,17970,17785,17036,16993,17544,17731,18444,16435,15706,16622,17138,17309,17500,16772,16653,16406,17059,16588,13385,(NA)
 "02000","Alaska",8,SAINC6N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",50569,39161,41664,51908,47636,47559,50099,53652,65824,62185,64716,69664,66331,70512,71248,76474,76269,80873,79723,69409,70455,(D),91005,(NA)
 "02000","Alaska",8,SAINC6N,541,"325","     Chemical manufacturing","Thousands of dollars",17535,18315,16293,(D),(D),(D),(D),29094,25128,23225,11152,4011,4264,4038,3919,3797,3339,4060,3820,5105,5110,5090,4761,(NA)
 "02000","Alaska",8,SAINC6N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAINC6N,600,"42","   Wholesale trade","Thousands of dollars",284536,278567,284826,313956,321915,325301,347915,373066,387423,408735,419537,411679,410849,428821,431118,462086,462375,484347,471774,473931,501136,520104,504935,517547
