GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "13000","Georgia",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",145047996,156309897,168912242,174497339,177196957,183538367,193514707,204364777,216196971,226829431,228848955,221326055,223540347,231854834,240124418,248959871,262348736,276596810,288133649,301516475,315357634,330156649,335386152,366489421
 "13000","Georgia",5,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",121166254,130922882,141824901,145820293,146630131,150824647,158364432,167388833,177133954,186674049,188018370,178941842,180994228,187600952,195336726,200728603,212152512,224272631,235011888,246785741,257880651,271065899,275344151,302403153
 "13000","Georgia",5,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",23881742,25387015,27087341,28677046,30566826,32713720,35150275,36975944,39063017,40155382,40830585,42384213,42546119,44253882,44787692,48231268,50196224,52324179,53121761,54730734,57476983,59090750,60042001,64086268
 "13000","Georgia",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15873415,16784275,17879800,19082590,20829282,22699271,23941881,25416099,26919622,27791992,27958042,29884892,29803747,31007833,31041997,34001370,35332298,36726356,37035884,38087031,40234411,41072863,41461123,43618493
 "13000","Georgia",5,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",8008327,8602740,9207541,9594456,9737544,10014449,11208394,11559845,12143395,12363390,12872543,12499321,12742372,13246049,13745695,14229898,14863926,15597823,16085877,16643703,17242572,18017887,18580878,20467775
 "13000","Georgia",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",36915,38661,40870,42332,43479,45269,47036,48580,50306,52106,53059,54315,55496,57019,58239,59277,60740,62314,63269,64900,66746,68520,72761,(NA)
 "13000","Georgia",5,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",300499,264275,279336,354386,331608,298248,347620,399333,330710,431432,465808,353485,347610,310493,486429,367229,442599,424513,430348,473492,379804,379261,388689,414102
 "13000","Georgia",5,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",144747497,156045622,168632906,174142953,176865349,183240119,193167087,203965444,215866261,226397999,228383147,220972570,223192737,231544341,239637989,248592642,261906137,276172297,287703301,301042983,314977830,329777388,334997463,366075319
 "13000","Georgia",5,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",118903895,128975340,139921825,143133819,143218709,146964463,155210736,163947690,173827874,182555323,182168255,173670116,174130297,182236015,190583587,199735269,211807715,224153034,235239559,246757426,259391087,272725577,276320905,306035243
 "13000","Georgia",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",412065,414638,434054,448073,416321,419545,482961,487490,556145,545803,534993,553072,567465,579200,610312,630062,672724,712131,739101,716834,739433,755293,849576,1009256
 "13000","Georgia",5,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",232119,222294,223232,240421,222845,220987,258269,264606,298408,298487,274927,266215,270279,271888,273820,283987,299194,309363,310478,287553,289286,291835,329656,(NA)
 "13000","Georgia",5,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",14887,19803,27621,24468,11385,11971,15330,14957,16611,17090,16591,18044,17453,18496,19541,19610,21714,21928,21021,21574,22156,22023,27958,(NA)
 "13000","Georgia",5,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",165059,172541,183201,183184,182091,186587,209362,207927,241126,230226,243475,268813,279733,288816,316951,326465,351816,380840,407602,407707,427991,441435,491962,(NA)
 "13000","Georgia",5,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",424547,427951,436682,432176,410592,430585,445165,446026,472115,489763,392715,328304,332561,329802,335582,353842,371365,385822,425436,447906,464442,461089,464003,508412
