GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",17300263,18572459,20492890,20938800,21574822,22358707,23954381,25743689,28400561,29987880,29951034,28612208,28925254,29316012,30084259,31780505,33037448,34667628,36583373,39482128,42242145,44568449,47460121,52938910
 "16000","Idaho",7,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",14010223,15090399,16650453,16997504,17443471,17984513,19243198,20653884,22715341,24022764,23953403,22800335,22944997,23460862,24151200,25253641,26661307,27890206,29439250,31583774,33813334,35728819,38231122,42934278
 "16000","Idaho",7,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",3290040,3482060,3842437,3941296,4131351,4374194,4711183,5089805,5685220,5965116,5997631,5811873,5980257,5855150,5933059,6526864,6376141,6777422,7144123,7898354,8428811,8839630,9228999,10004632
 "16000","Idaho",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1988523,2126281,2366275,2450153,2604758,2784076,3026423,3268368,3660059,3861880,3903508,3753564,3752419,3622743,3656065,4199652,3999868,4309709,4564858,5155418,5595184,5901165,5968295,6311088
 "16000","Idaho",7,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1301517,1355779,1476162,1491143,1526593,1590118,1684760,1821437,2025161,2103236,2094123,2058309,2227838,2232407,2276994,2327212,2376273,2467713,2579265,2742936,2833627,2938465,3260704,3693544
 "16000","Idaho",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",30638,31987,33917,34279,35201,36233,37843,39313,41598,42899,43331,44043,45010,45355,46127,47591,48207,49252,50340,52659,54607,55771,59865,(NA)
 "16000","Idaho",7,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",351361,355541,396580,407335,459077,418978,464962,533150,532923,645306,612146,670697,598466,594110,672448,753996,777729,606657,705364,809656,798971,577692,797473,849024
 "16000","Idaho",7,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",16948902,18216918,20096310,20531465,21115745,21939729,23489419,25210539,27867638,29342574,29338888,27941511,28326788,28721902,29411811,31026509,32259719,34060971,35878009,38672472,41443174,43990757,46662648,52089886
 "16000","Idaho",7,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",13126667,14133351,15755294,15970775,16318152,16925344,18117002,19648432,22032687,23295766,23052583,21495649,21828086,22326967,22908607,24355191,25562794,26979546,28568540,30974866,33339370,35584168,37976675,43246191
 "16000","Idaho",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",229113,224663,223254,208398,219328,223976,257246,255973,276510,273918,265677,256926,267428,276440,283262,302766,325054,350810,357911,372703,391555,396946,447039,550874
 "16000","Idaho",7,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",95053,95476,90691,86586,89981,82782,102197,99373,100285,102632,83621,61771,69029,75308,72117,81851,84726,89426,88282,86970,91962,87612,92196,(NA)
 "16000","Idaho",7,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),779,1051,1266,1654,2240,2933,2630,2354,2220,1943,1959,2017,2366,3066,3228,2697,3041,3313,3269,4058,(NA)
 "16000","Idaho",7,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",133184,127917,131091,121033,128296,139928,153395,154360,173292,168656,179702,192935,196456,199173,209128,218549,237262,258156,266932,282692,296280,306065,350785,(NA)
 "16000","Idaho",7,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",127772,114925,114655,96698,85575,96917,108233,121956,150739,181391,201980,151546,185372,209656,228128,232459,217979,200026,208009,196360,198717,209216,226289,283305
 "16000","Idaho",7,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),1598,2450,(D),4355,4921,4860,5736,4734,5680,6199,4989,6324,3654,1143,859,(NA)
 "16000","Idaho",7,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",125003,112159,110880,93329,82058,92754,102442,115539,140956,164746,174228,136510,159561,176545,187765,192474,174658,158144,174800,171361,168120,184949,201643,(NA)
 "16000","Idaho",7,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),8185,14195,(D),10681,20890,28251,34627,35251,37641,35683,28220,18675,26943,23124,23787,(NA)
 "16000","Idaho",7,SAINC6N,300,"22","   Utilities","Thousands of dollars",90250,91548,95783,119410,178095,140833,142599,146843,169839,174448,195630,191088,279813,292788,288715,308903,323304,340848,356758,362614,380856,387844,427002,422631
 "16000","Idaho",7,SAINC6N,400,"23","   Construction","Thousands of dollars",1151140,1275577,1391163,1490662,1433490,1454235,1594269,1850717,2219912,2466921,2146135,1642981,1548723,1462433,1486885,1603586,1704324,1852739,2083701,2336234,2623221,2973297,3286297,3935159
 "16000","Idaho",7,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",251585,270189,301270,351586,339428,349129,363376,440775,554084,582221,505689,374886,341569,331016,330873,368969,404589,447711,499743,578320,668836,748266,816589,(NA)
 "16000","Idaho",7,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",278980,304710,330739,347469,352831,307894,320430,374166,415669,555547,433043,377440,379228,339175,344982,315688,302784,280118,295922,325574,355260,444413,515531,(NA)
