GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",17510798,18473198,19821457,20638701,21615021,22880957,23951155,24806731,26109031,26894276,27229969,26218484,27259653,27624740,28301247,29165799,30493610,31732515,32500443,33682792,34609816,35680733,35863297,38539159
 "44000","Rhode Island",1,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",14274936,15051651,16137163,16763538,17443303,18452237,19217766,19811576,20801315,21408215,21669683,20912097,21481423,22013852,22662023,23449465,24578247,25614194,26210948,27177091,27902839,28799137,28943577,31240924
 "44000","Rhode Island",1,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",3235862,3421547,3684294,3875163,4171718,4428720,4733389,4995155,5307716,5486061,5560286,5306387,5778230,5610888,5639224,5716334,5915363,6118321,6289495,6505701,6706977,6881596,6919720,7298235
 "44000","Rhode Island",1,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2036688,2176657,2362776,2519605,2787658,2970786,3204240,3400808,3631310,3781945,3841770,3598344,4006132,3790664,3756861,3780571,3899463,4009307,4143517,4309621,4469685,4585519,4627298,4819145
 "44000","Rhode Island",1,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1199174,1244890,1321518,1355558,1384060,1457934,1529149,1594347,1676406,1704116,1718516,1708043,1772098,1820224,1882363,1935763,2015900,2109014,2145978,2196080,2237292,2296077,2292422,2479090
 "44000","Rhode Island",1,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",36578,37896,39828,41395,43332,45563,47358,49054,51394,52939,54730,55142,57507,58112,59276,60271,62036,63527,64539,66348,67437,68969,75450,(NA)
 "44000","Rhode Island",1,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",13073,11941,13968,14738,18316,16579,16141,13195,15349,18073,17224,16453,15860,13574,19623,20190,21522,18004,20184,16287,15056,12674,12652,13399
 "44000","Rhode Island",1,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",17497725,18461257,19807489,20623963,21596705,22864378,23935014,24793536,26093682,26876203,27212745,26202031,27243793,27611166,28281624,29145609,30472088,31714511,32480259,33666505,34594760,35668059,35850645,38525760
 "44000","Rhode Island",1,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",14172075,14918211,15978400,16637508,17377997,18390504,19212273,19939371,21038180,21630171,21849014,20902048,21695374,22057040,22746783,23563537,24740546,25839138,26387027,27354262,28112852,28955151,29056929,31500828
 "44000","Rhode Island",1,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",24496,26911,30735,(D),(D),24639,27762,26196,29676,27973,26470,27601,(D),(D),31045,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",(T),(T),(T),97,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),148,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44000","Rhode Island",1,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",18825,21164,25069,(D),22368,22035,24615,23391,26775,25408,23982,25015,27750,27168,28064,25988,26544,27749,29514,(D),30617,(D),(D),(NA)
 "44000","Rhode Island",1,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",(T),(T),3407,2379,2487,(D),(D),(D),(D),(D),(D),(D),(D),(D),2833,2941,(D),(D),(D),(D),(D),(D),4778,(NA)
 "44000","Rhode Island",1,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",11138,11931,12938,(D),(D),10756,10977,14049,16089,17271,15507,12231,(D),(D),12507,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,(NA)
 "44000","Rhode Island",1,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",(T),9027,9639,(D),11545,9939,(D),13989,16030,17001,15311,(D),11607,(D),(D),12262,14295,15155,15094,(D),(D),(D),(D),(NA)
 "44000","Rhode Island",1,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,(NA)
 "44000","Rhode Island",1,SAINC6N,300,"22","   Utilities","Thousands of dollars",101005,94494,116553,(D),(D),113343,102299,107194,121290,118713,127984,132058,139512,142224,130984,139976,141066,145235,157658,161331,181927,178693,188328,199256
 "44000","Rhode Island",1,SAINC6N,400,"23","   Construction","Thousands of dollars",715312,835038,906322,963790,(D),1156648,1173237,1236121,1337906,1353642,1302452,1142750,1066767,1054445,1097105,1115262,1161978,1231932,1335804,(D),1486273,1597530,1585629,1799378
 "44000","Rhode Island",1,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",177580,203334,218035,237804,261034,277362,299697,328386,342677,346343,341228,287176,265917,264505,278236,299033,305418,320432,335881,349666,369918,394294,397205,(NA)
 "44000","Rhode Island",1,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",103821,101752,98427,112368,(D),159706,162917,158133,158783,159061,151934,139966,146375,143993,157774,162190,168117,171246,178025,(D),202788,230619,241468,(NA)
 "44000","Rhode Island",1,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",433911,529952,589860,613618,629805,719580,710623,749602,836446,848238,809290,715608,654475,645947,661095,654039,688443,740254,821898,846348,913567,972617,946956,(NA)
 "44000","Rhode Island",1,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",3005887,3080816,3203955,3254729,3135110,3053362,3108022,3091423,3093907,3162925,3027318,2685837,2728031,2762403,2751997,2842728,2965737,3058454,3013719,3098158,3148540,3166521,3166757,3376413
 "44000","Rhode Island",1,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",2004179,2054771,2170123,2253231,2128928,2033266,(D),2074366,2055213,2094887,2015514,1788684,1808419,1836049,1820733,1876256,1943335,1987722,1942734,2015785,2100588,2106206,2056764,2193067
 "44000","Rhode Island",1,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",27786,29841,33990,34471,(D),37581,(D),(D),(D),33711,(D),31861,27117,28701,30680,32779,(D),26473,(D),(D),29629,32247,(D),(NA)
 "44000","Rhode Island",1,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",47427,52288,55033,46599,44059,41028,34015,36454,40934,38621,37471,35384,37758,40031,40185,40635,45890,44738,44413,45307,49160,52184,52564,(NA)
 "44000","Rhode Island",1,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",138594,149519,144682,124228,106536,100036,97632,94259,(D),(D),(D),(D),101371,(D),114115,118199,110446,(D),(D),(D),(D),108462,104417,(NA)
 "44000","Rhode Island",1,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",432612,432820,450712,423867,402964,372349,376968,375140,377048,367319,355296,317999,326331,331447,336838,335813,355348,351690,319575,331452,314211,310497,288988,(NA)
 "44000","Rhode Island",1,SAINC6N,515,"333","     Machinery manufacturing","Thousands of dollars",169534,166115,174824,161666,136954,131754,137456,138208,138568,134317,128258,111715,116400,123683,129869,130458,136619,143266,158827,159362,160003,154751,147064,(NA)
 "44000","Rhode Island",1,SAINC6N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",294553,316983,371045,364646,342962,352807,386641,362412,362833,355805,354413,330166,329839,310866,309159,310111,306763,303002,326365,344986,372619,421741,427355,(NA)
 "44000","Rhode Island",1,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",114638,131900,140284,171442,(D),163360,161368,165516,148904,170116,124883,115446,110666,121357,114165,136996,133023,(D),115329,129773,131646,132229,(D),(NA)
 "44000","Rhode Island",1,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",30981,22690,12718,(D),(D),(D),(D),(D),(D),7343,6970,5252,(D),(D),(D),(D),(D),(D),9498,(D),(D),20147,19054,(NA)
 "44000","Rhode Island",1,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",117502,127458,140557,(D),(D),(D),(D),(D),(D),(D),(D),228745,(D),(D),(D),(D),335852,368938,343268,(D),(D),423426,422316,(NA)
 "44000","Rhode Island",1,SAINC6N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",65907,74104,76046,71026,75535,75659,83072,86586,88687,87816,(D),(D),66792,66480,64452,67239,78230,81790,82192,77374,75314,73201,78205,(NA)
 "44000","Rhode Island",1,SAINC6N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",564645,551053,570232,666253,618566,546488,546189,553307,551989,554813,532332,448700,449247,454478,404713,407568,407314,422168,407366,398985,401169,377321,358194,(NA)
 "44000","Rhode Island",1,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",1001708,1026045,1033832,1001498,1006182,1020096,(D),1017057,1038694,1068038,1011804,897153,919612,926354,931264,966472,1022402,1070732,1070985,1082373,1047952,1060315,1109993,1183346
 "44000","Rhode Island",1,SAINC6N,531,"311","     Food manufacturing","Thousands of dollars",87043,93387,97104,102984,104502,103662,101038,101341,105663,110734,114586,114078,121569,122031,126191,133997,144684,153800,167720,168363,163090,169669,192229,(NA)
 "44000","Rhode Island",1,SAINC6N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",33865,36810,36733,38039,37251,33685,35881,35812,32823,34080,34516,33546,35317,34901,15264,17105,19714,22936,25404,27325,31963,35614,35403,(NA)
 "44000","Rhode Island",1,SAINC6N,533,"313","     Textile mills","Thousands of dollars",245658,230657,223826,194010,185450,176709,167647,(D),(D),(D),132289,(D),(D),(D),(D),(D),(D),114190,(D),(D),(D),115831,114748,(NA)
 "44000","Rhode Island",1,SAINC6N,534,"314","     Textile product mills","Thousands of dollars",41121,42711,45000,44452,41684,41898,34263,27854,27701,26773,25738,21325,22556,24552,26331,27352,28953,28859,27598,28098,29006,26723,25197,(NA)
 "44000","Rhode Island",1,SAINC6N,535,"315","     Apparel manufacturing","Thousands of dollars",9492,9410,11299,(D),(D),(D),7183,7325,7879,7241,6616,3714,3228,2268,2610,2319,(D),(D),1673,1889,4693,4969,(D),(NA)
 "44000","Rhode Island",1,SAINC6N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",(T),12262,11781,11230,(D),7269,(D),6294,(D),(D),(D),(D),5373,(D),4244,(D),(D),5204,5115,5014,4793,(D),5652,(NA)
