GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "51000","Virginia",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",135572141,146109437,159515753,166940057,170796899,180821636,195046404,207827722,217628822,229355617,235869956,236466616,241654499,247353660,254584149,259346006,266063922,278184841,284784560,296099110,307276428,319895301,328102025,349438384
 "51000","Virginia",5,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",112115317,120992031,132384492,138736575,140653883,147673610,158766228,169084477,178943852,188715664,193712827,191514951,196438818,202093437,208182170,210447707,215898310,225622206,231103566,240807008,250362092,261660989,268530499,287352064
 "51000","Virginia",5,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",23456824,25117406,27131261,28203482,30143016,33148026,36280176,38743245,38684970,40639953,42157129,44951665,45215681,45260223,46401979,48898299,50165612,52562635,53680994,55292102,56914336,58234312,59571526,62086320
 "51000","Virginia",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15705931,16811347,18152545,18740497,20402134,22846356,24961808,26673036,25901429,27422777,28541014,31270766,31027480,30466061,31077087,33313310,34325940,36017008,36969072,37881106,39168914,39856588,40614342,41826554
 "51000","Virginia",5,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",7750893,8306059,8978716,9462985,9740882,10301670,11318368,12070209,12783541,13217176,13616115,13680899,14188201,14794162,15324892,15584989,15839672,16545627,16711922,17410996,17745422,18377724,18957184,20259766
 "51000","Virginia",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",38077,40032,42493,44393,45587,48123,50801,53081,54878,57362,59060,61183,62726,63724,64837,65693,66977,68705,69226,71322,73383,75465,81281,(NA)
 "51000","Virginia",5,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",193754,200903,184405,220210,268337,297400,292208,238094,265763,317186,300174,279168,276746,237207,335482,339218,369344,304554,341379,346278,320736,260936,257445,272686
 "51000","Virginia",5,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",135378387,145908534,159331348,166719847,170528562,180524236,194754196,207589628,217363059,229038431,235569782,236187448,241377753,247116453,254248667,259006788,265694578,277880287,284443181,295752832,306955692,319634365,327844580,349165698
 "51000","Virginia",5,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",101787898,110573023,121505129,127296510,127842961,134748721,145400064,155709930,162886908,171207999,174926566,173239434,176115615,181236575,187485441,191376259,196080458,206036725,210552981,220249769,230994036,241522653,247467754,266687028
 "51000","Virginia",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",169892,172353,169984,146285,141582,148200,173718,167390,182210,189058,185713,194298,195543,199662,216609,223096,248047,287381,304481,316114,334477,317385,342396,405569
 "51000","Virginia",5,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",102968,101333,92551,78600,73277,74016,89111,84192,89336,92413,87112,85295,87267,87225,96879,99499,117449,125748,125871,130639,130096,129226,140072,(NA)
 "51000","Virginia",5,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",6716,6406,6524,3987,4800,5215,7080,7098,7403,8646,8830,9402,8879,8937,10151,9486,10582,10041,11350,12292,24460,23850,23788,(NA)
 "51000","Virginia",5,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",60208,64614,70909,63698,63505,68969,77527,76100,85471,87999,89771,99601,99397,103500,109579,114111,120016,151592,167260,173183,179921,164309,178536,(NA)
 "51000","Virginia",5,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",462344,440285,458772,499711,462974,463565,509104,553236,624075,607769,671434,631804,694897,752549,745309,676930,637310,578487,480738,520335,553309,547219,464625,490888
 "51000","Virginia",5,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",25616,30161,25313,23149,20323,13007,14136,23907,24865,28030,40745,49755,53178,54934,53831,51487,52373,47279,36926,31286,30327,21696,20347,(NA)
 "51000","Virginia",5,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",414161,385936,404429,436831,398587,400843,437110,458770,492962,474308,507979,481506,546281,593572,597237,558596,511815,461820,393418,434035,461663,462317,393299,(NA)
 "51000","Virginia",5,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",22567,24188,29030,39731,44064,49715,57858,70559,106248,105431,122710,100543,95438,104043,94241,66847,73122,69388,50394,55014,61319,63206,50979,(NA)
 "51000","Virginia",5,SAINC6N,300,"22","   Utilities","Thousands of dollars",777208,810359,818812,1036370,1091045,1054444,1087498,1134335,1290983,1334077,1420525,1465385,1482405,1487646,1404965,1441231,1522980,1538731,1603846,1582540,1735200,1763864,1868533,1833484
 "51000","Virginia",5,SAINC6N,400,"23","   Construction","Thousands of dollars",7202899,7951104,8912011,9310976,9417616,9958156,11211746,12284366,12910743,12974885,12361098,10859758,10772848,10543721,10589749,10785663,11228418,11975838,12455866,13443442,14146200,15134845,15732232,17238273
 "51000","Virginia",5,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",1713811,1899679,2141080,2270777,2368037,2502103,2960181,3353766,3584117,3442085,3181916,2645557,2494988,2425932,2412954,2493874,2632471,2773626,2900162,3184584,3355791,3649448,3847351,(NA)
 "51000","Virginia",5,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1225533,1330147,1500440,1540492,1484621,1555787,1686406,1833294,1831142,1834536,1779042,1674362,1837197,1905984,1905648,1848324,1924307,2034679,2049523,2191907,2377977,2347557,2476711,(NA)
 "51000","Virginia",5,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",4263555,4721278,5270491,5499707,5564958,5900266,6565159,7097306,7495484,7698264,7400140,6539839,6440663,6211805,6271147,6443465,6671640,7167533,7506181,8066951,8412432,9137840,9408170,(NA)
 "51000","Virginia",5,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",15310405,15153172,15720565,16308454,15828930,15951733,16296551,16589827,16550299,16875899,16610320,15561055,15539980,15640119,16019124,16281389,16969911,17486133,17042837,17597353,18619700,19162869,19375874,20219657
 "51000","Virginia",5,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",8617573,8387511,8813685,9431950,8975679,9021850,9406798,9714974,9871710,10195243,9995180,9290545,9224884,9534933,9857127,10069353,10575150,11001334,10490386,10954285,11612616,11965591,12033614,12355100
 "51000","Virginia",5,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",651051,697529,704298,684958,703484,740707,788743,853258,847475,799388,708949,574522,567083,573920,582438,627484,674451,694645,711325,742032,757607,783394,823244,(NA)
 "51000","Virginia",5,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",419447,451329,490742,510684,506278,518764,563493,612062,625387,655372,611257,509619,472759,475261,459562,468508,505022,542195,566867,579647,587958,607415,626421,(NA)
 "51000","Virginia",5,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",365555,393263,408639,394886,364400,339925,355226,366820,384892,406004,392197,318523,271588,297533,311057,304540,283233,296482,307501,322618,332144,331445,336488,(NA)
 "51000","Virginia",5,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",807569,875938,948900,1004788,1034773,1080759,1133796,1087555,1113326,1152328,1170003,1085743,1136426,1196890,1236914,1245421,1271024,1328616,1322007,1354605,1381236,1374190,1395439,(NA)
 "51000","Virginia",5,SAINC6N,515,"333","     Machinery manufacturing","Thousands of dollars",918177,947758,968657,990619,1005173,1035675,1067726,1109140,1145169,1208760,1280631,1237423,1244740,1285965,1262383,1205802,1239337,1397410,1156516,1161137,1164416,1155340,1150209,(NA)
 "51000","Virginia",5,SAINC6N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",1524810,1387662,1449749,1617636,1303416,1270020,1211517,1259154,1403710,1474053,1510902,1355387,1316087,1292639,1330739,1307940,1383756,1416897,1391128,1533548,1649985,1702766,1852549,(NA)
 "51000","Virginia",5,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",523671,503113,528909,539218,489284,480029,479791,510008,539817,580282,605653,615485,630378,632601,644758,661998,671019,709755,701785,722153,738663,750832,702777,(NA)
 "51000","Virginia",5,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",1130260,872100,853744,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "51000","Virginia",5,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",1198461,1150616,1346525,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "51000","Virginia",5,SAINC6N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",744469,751675,740495,733868,702847,701017,726582,745680,719258,664379,580791,492882,448735,427502,426085,436316,441380,469674,478618,515126,515343,493723,461728,(NA)
 "51000","Virginia",5,SAINC6N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",334103,356528,373027,371749,371524,372504,398532,417204,420487,450439,450759,454005,471852,459590,475711,481771,519051,569651,595168,629708,695071,709745,682956,(NA)
 "51000","Virginia",5,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",6692832,6765661,6906880,6876504,6853251,6929883,6889753,6874853,6678589,6680656,6615140,6270510,6315096,6105186,6161997,6212036,6394761,6484799,6552451,6643068,7007084,7197278,7342260,7864557
 "51000","Virginia",5,SAINC6N,531,"311","     Food manufacturing","Thousands of dollars",1081989,1127285,1151208,1171141,1230252,1289103,1345443,1312335,1278975,1314232,1345877,1386221,1416884,1404451,1437517,1489248,1525923,1575844,1628685,1684682,1780766,1820785,1943100,(NA)
 "51000","Virginia",5,SAINC6N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",678672,705087,740744,779639,807879,792305,728278,730785,725507,613153,647600,645640,644125,562427,595731,607811,614897,636979,638462,694305,725696,742461,794609,(NA)
 "51000","Virginia",5,SAINC6N,533,"313","     Textile mills","Thousands of dollars",612008,598916,595951,531366,512104,468660,430681,365534,285845,257086,226916,175752,179063,178573,178069,181465,189483,187977,178670,183326,177375,175268,157125,(NA)
 "51000","Virginia",5,SAINC6N,534,"314","     Textile product mills","Thousands of dollars",107873,117792,127105,124500,133837,144377,159626,154065,158574,175128,177856,159677,156359,150592,139823,130601,132553,131368,132771,132688,140663,139506,134136,(NA)
 "51000","Virginia",5,SAINC6N,535,"315","     Apparel manufacturing","Thousands of dollars",435968,319048,277904,191189,172439,140166,113860,105496,84789,67627,67853,53351,50531,48676,50504,52689,55832,54820,57090,58516,60958,57672,50946,(NA)
 "51000","Virginia",5,SAINC6N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",8541,10182,12292,10183,10235,10370,6448,6279,5997,7313,7917,9116,8528,8302,8009,9569,8918,8779,7630,6596,7493,6986,8962,(NA)
 "51000","Virginia",5,SAINC6N,537,"322","     Paper manufacturing","Thousands of dollars",778496,793473,808480,812831,783423,785114,784533,787600,783719,762376,754582,698027,657335,573950,590885,600944,630474,652036,647710,661719,698493,722018,720753,(NA)
 "51000","Virginia",5,SAINC6N,538,"323","     Printing and related support activities","Thousands of dollars",772474,803305,818010,812647,773660,766883,776075,783510,773815,788901,749993,641091,604524,586785,563975,555006,554835,548373,549726,550154,550493,556083,506232,(NA)
 "51000","Virginia",5,SAINC6N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",45660,49880,51823,58569,58443,60294,63322,68623,78207,82506,79400,82100,84934,53124,55441,55393,64407,65524,63237,53335,55211,114728,114795,(NA)
 "51000","Virginia",5,SAINC6N,541,"325","     Chemical manufacturing","Thousands of dollars",1234362,1247511,1294759,1331784,1306066,1358154,1361521,1387706,1396786,1489419,1484041,1460996,1489969,1496446,1494937,1460137,1513107,1471450,1481309,1455525,1607497,1661633,1719819,(NA)
 "51000","Virginia",5,SAINC6N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",936789,993182,1028604,1052655,1064913,1114457,1119966,1172920,1106375,1122915,1073105,958539,1022844,1041860,1047106,1069173,1104332,1151649,1167161,1162222,1202439,1200138,1191783,(NA)
