GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "01000","Alabama",5,SAINC6S,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",3298599,3526802,3697497,3790265,4004521,4250861,4669306,5090711,5613576,5953752,6492880,7158981,7688637,8341789,9244949,10377468,11591391,12510719,14147983,15860952,17973458,19908313,21681416,23534946,24497852,26255050,28817913,31228820,33277597,35501550,38076230,40406178,43148568,45276367,48736305,50867112,53561430,56042581,58182545,61170272,64315160,67298370,69928639,72064289
 "01000","Alabama",5,SAINC6S,5,"..."," Wages and salaries","Thousands of dollars",3003560,3204787,3346824,3422064,3606233,3818118,4199131,4593931,5031497,5309492,5786029,6347816,6786634,7298361,8049959,9017810,10044231,10723389,12098401,13500537,15294538,16890020,18332264,19786163,20466314,21828864,23946136,25882503,27444304,29316229,31390146,33112347,35263994,36823951,39239403,40953828,43183005,45579212,47482734,50101304,52742568,55189942,57239267,58650321
 "01000","Alabama",5,SAINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",295039,322015,350673,368201,398288,432743,470175,496780,582079,644260,706851,811165,902003,1043428,1194990,1359658,1547160,1787330,2049582,2360415,2678920,3018293,3349152,3748783,4031538,4426186,4871777,5346317,5833293,6185321,6686084,7293831,7884574,8452416,9496902,9913284,10378425,10463369,10699811,11068968,11572592,12108428,12689372,13413968
 "01000","Alabama",5,SAINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",224362,237530,252235,265106,277860,291182,328054,354077,392456,434072,472358,538937,611116,713490,805581,858143,967534,1165617,1317578,1537725,1723252,1930532,2183956,2406190,2626572,2888748,3112773,3479823,3819185,4077033,4361211,4867004,5253686,5683309,6529290,6775924,7045703,6985401,7100262,7296502,7595583,7981718,8415821,9031453
 "01000","Alabama",5,SAINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",70677,84485,98438,103095,120428,141561,142121,142703,189623,210188,234493,272228,290887,329938,389409,501515,579626,621713,732004,822690,955668,1087761,1165196,1342593,1404966,1537438,1759004,1866494,2014108,2108288,2324873,2426827,2630888,2769107,2967612,3137360,3332722,3477968,3599549,3772466,3977009,4126710,4273551,4382515
 "01000","Alabama",5,SAINC6S,9,"...","Average compensation per job (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5890,6308,6824,7336,7910,8683,9465,10349,11159,12194,13314,14574,15927,16974,17980,18983,20099,21022,21742,22630,23477,24645,25777,27204,27813,28841,29451,30246,31209,32248,33530,34811,36246
 "01000","Alabama",5,SAINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",33259,39249,37225,37745,38790,38757,38187,35406,45243,43606,43380,49042,47647,45319,44834,54398,56327,66734,79880,75137,100041,104345,102949,94705,104185,102608,105129,110078,105397,109709,117843,122606,137892,128375,118669,134666,131008,136072,130298,139933,147279,135732,147715,195029
 "01000","Alabama",5,SAINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",3265340,3487553,3660272,3752520,3965731,4212104,4631119,5055305,5568333,5910146,6449500,7109939,7640990,8296470,9200115,10323070,11535064,12443985,14068103,15785815,17873417,19803968,21578467,23440241,24393667,26152442,28712784,31118742,33172200,35391841,37958387,40283572,43010676,45147992,48617636,50732446,53430422,55906509,58052247,61030339,64167881,67162638,69780924,71869260
 "01000","Alabama",5,SAINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",2390834,2582628,2677073,2703268,2880367,3083659,3402004,3770626,4163943,4381405,4782295,5292055,5605731,5993580,6710230,7635138,8562681,9162518,10473288,11865511,13491950,15018213,16232500,17614790,18169393,19507257,21646678,23403541,25135172,27000808,29015709,30830360,32871526,34261129,37024425,38839465,40965419,43093145,45120172,47738597,50295193,52656934,54675501,56037209
 "01000","Alabama",5,SAINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",7682,7949,7747,8234,8799,9239,9977,11199,11970,12891,14146,17401,19145,22711,25163,35018,37622,36911,44360,42351,59925,63768,73988,89481,87599,99935,113355,118971,126084,133391,136783,148367,165640,177386,190855,205356,227002,240181,252597,258092,278839,307379,313228,329875
 "01000","Alabama",5,SAINC6S,110,"07","    Agricultural services","Thousands of dollars",4238,4323,4628,4953,5078,5722,6018,7002,7929,8670,9363,11224,12693,14546,14784,18446,19558,18073,22496,24113,35933,34576,44477,45105,49626,63209,74891,83775,95174,105718,109316,118611,132169,143668,152848,167678,(D),201425,213176,215875,232907,258610,262711,(NA)
 "01000","Alabama",5,SAINC6S,120,"...","    Forestry and fishing","Thousands of dollars",3444,3626,3119,3281,3721,3517,3959,4197,4041,4221,4783,6177,6452,8165,10379,16572,18064,18838,21864,18238,23992,29192,29511,44376,37973,36726,38464,35196,30910,27673,27467,29756,33471,33718,38007,37678,(D),38756,39421,42217,45932,48769,50517,(NA)
 "01000","Alabama",5,SAINC6S,121,"08","     Forestry","Thousands of dollars",1991,2262,2118,2275,2503,2202,2631,2485,2259,2219,2521,3429,3840,4221,4696,5939,7428,5738,6314,5519,8372,9599,12074,23305,20229,18262,19742,19487,20310,20718,(D),25408,28651,29284,36634,36346,(D),37479,38220,40748,44132,46873,49072,(NA)
 "01000","Alabama",5,SAINC6S,122,"...","     Fishing","Thousands of dollars",1453,1364,1001,1006,1218,1315,1328,1712,1782,2002,2262,2748,2612,3944,5683,10633,10636,13100,15550,12719,15620,19593,17437,21071,17744,18464,18722,15709,10600,6955,(D),4348,4820,4434,1373,1332,1274,1277,1201,1469,1800,1896,1445,(NA)
 "01000","Alabama",5,SAINC6S,200,"B","   Mining","Thousands of dollars",66966,69591,75029,65821,58165,52709,57313,58436,57166,63452,64396,72563,82927,81708,97626,109300,139561,220903,253619,280550,330159,423418,477657,488289,548050,477434,519965,554753,510020,500489,487190,512891,591559,578198,534962,539987,563433,611471,636784,655986,594815,564685,555534,552376
 "01000","Alabama",5,SAINC6S,210,"10","    Metal mining","Thousands of dollars",15318,13954,15338,12490,9772,6234,6361,5040,5307,5668,5472,5226,6094,2714,1870,1567,1547,1016,954,993,903,988,914,1296,1187,1327,1667,1206,(D),(D),1280,(D),2454,2664,3466,3276,3843,4020,3948,4614,5206,5747,6809,(NA)
 "01000","Alabama",5,SAINC6S,220,"12","    Coal mining","Thousands of dollars",43038,46696,50186,42672,37502,35674,39859,41157,39666,44789,45573,52264,61637,62302,76561,86667,112213,181418,207828,229668,268884,347660,395527,387766,445652,377775,404745,434604,396420,388107,361481,360674,397087,388945,351812,351793,369622,416733,436958,425713,339044,310618,296975,(NA)
 "01000","Alabama",5,SAINC6S,230,"13","    Oil and gas extraction","Thousands of dollars",2055,2117,1575,1761,2450,2687,2316,2539,2164,2436,2830,4554,4224,6049,7766,8080,10623,13803,17597,20372,26718,34571,37735,50552,50345,46718,53443,56341,(D),(D),(D),(D),104831,94232,(D),83451,82618,80522,(D),86783,101717,90221,85992,(NA)
 "01000","Alabama",5,SAINC6S,240,"14","    Nonmetallic minerals, except fuels","Thousands of dollars",6555,6824,7930,8898,8441,8114,8777,9700,10029,10559,10521,10519,10972,10643,11429,12986,15178,24666,27240,29517,33654,40199,43481,48675,50866,51614,60110,62602,63505,66073,(D),(D),87187,92357,(D),101467,107350,110196,(D),138876,148848,158099,165758,(NA)
 "01000","Alabama",5,SAINC6S,300,"C","   Construction","Thousands of dollars",165615,177745,182189,177039,178083,199997,255657,291395,333830,324372,343856,386818,392841,434208,489446,622946,749097,802169,904594,1045980,1151729,1158230,1217120,1183758,1153541,1207824,1302080,1523789,1645434,1716397,1892421,1969334,2222600,2202462,2204062,2251304,2454027,2621322,2948820,3150311,3350236,3633623,3840571,3967802
 "01000","Alabama",5,SAINC6S,310,"15","    General building contractors","Thousands of dollars",58576,62536,58164,58421,63056,69595,89577,113989,138815,129113,130969,147102,142118,152100,175260,239554,289424,309704,341754,387077,423883,437175,486250,435916,423364,382881,435502,537127,562891,537119,601695,590858,673355,687537,670256,645472,688515,728190,862317,919290,990161,1023212,1074797,(NA)
 "01000","Alabama",5,SAINC6S,320,"16","    Heavy construction contractors","Thousands of dollars",45757,48986,61223,55181,48386,51826,71683,71097,76884,74632,78900,82866,86504,106039,106038,130356,153363,162700,208545,254859,235668,225936,230461,242554,257200,256334,262547,309849,336142,379119,408111,458367,498549,451704,438111,426787,483805,480532,487484,507353,542121,575534,631506,(NA)
 "01000","Alabama",5,SAINC6S,330,"17","    Special trade contractors","Thousands of dollars",61282,66223,62802,63437,66641,78576,94397,106309,118131,120627,133987,156850,164219,176069,208148,253036,306310,329765,354295,404044,492178,495119,500409,505288,472977,568609,604031,676813,746401,800159,882615,920109,1050696,1063221,1095695,1179045,1281707,1412600,1599019,1723668,1817954,2034877,2134268,(NA)
 "01000","Alabama",5,SAINC6S,400,"D","   Manufacturing","Thousands of dollars",999574,1072534,1098042,1100530,1219140,1295691,1419655,1603841,1764786,1857475,2050763,2290807,2374698,2490611,2753427,3081172,3420298,3534746,4058620,4635829,5229578,5916033,6293857,6895860,6726730,7250434,8138025,8568730,9021962,9572649,10203165,10723695,11079269,11390595,12276192,12635919,13162292,13460720,13553551,13984131,14279823,14582814,14675763,14459894
 "01000","Alabama",5,SAINC6S,410,"...","    Durable goods manufacturing","Thousands of dollars",567297,588003,596887,587467,657451,709617,771009,885021,959617,996846,1089144,1232342,1259487,1309589,1429224,1604509,1793352,1830670,2095266,2441150,2830979,3267126,3380609,3686868,3467234,3687158,4273548,4553753,4743839,4984652,5430184,5693785,5890881,6006819,6446087,6666519,7109471,7333916,7482841,7783201,7990339,8304503,8387556,8234791
 "01000","Alabama",5,SAINC6S,413,"24","     Lumber and wood products","Thousands of dollars",57274,63169,61444,57520,63722,67721,72478,78758,84871,91660,104646,120401,119390,129913,151428,174810,185840,188343,241111,288903,335894,383051,374802,392390,378079,449785,520903,542174,550483,593655,624014,632144,655069,659078,757891,850251,(D),(D),(D),1112708,1162078,1203194,1158945,(NA)
 "01000","Alabama",5,SAINC6S,417,"25","     Furniture and fixtures","Thousands of dollars",7483,9015,8750,9591,11604,12560,15441,17349,20534,22270,25654,30419,30681,34788,43389,50791,49887,42682,56615,64787,82947,89492,97246,111460,113607,128235,151616,166400,185012,199934,201044,213866,217464,222031,252613,280546,309684,310092,307757,310649,328833,343028,343933,(NA)
 "01000","Alabama",5,SAINC6S,420,"32","     Stone, clay, and glass products","Thousands of dollars",36034,38425,37771,38309,38196,39449,44024,48581,50389,52914,57604,64869,70017,74199,85505,90285,101854,104514,120611,143261,162076,176571,185147,194257,184993,199181,213116,227920,241794,261964,270721,266737,255375,253455,268861,278633,309079,339065,361807,380086,386881,398209,416968,(NA)
 "01000","Alabama",5,SAINC6S,423,"33","     Primary metal industries","Thousands of dollars",273229,289952,306035,302761,315653,324542,352754,374803,401649,421046,447745,481875,481839,506899,566036,621232,696659,684992,764087,870042,994188,1079016,1053576,1104607,889458,765358,832847,849221,848069,890672,1018784,1043828,1056396,1030287,1182330,1149552,1228617,1239918,1246878,1335955,1323726,1333243,1355687,(NA)
 "01000","Alabama",5,SAINC6S,426,"34","     Fabricated metal products","Thousands of dollars",59657,61967,64718,65011,66800,71578,75547,84337,94404,106937,121373,140358,149379,156785,178590,207363,232782,253683,290852,335655,369687,426843,450819,499264,482429,481786,539465,541923,555954,564844,589480,681437,704933,707927,741007,737144,791091,809258,827370,854934,861464,936351,937092,(NA)
 "01000","Alabama",5,SAINC6S,429,"35","     Industrial machinery and equipment","Thousands of dollars",21748,20942,24051,30683,37252,40502,47738,56282,64996,65815,69706,83725,88235,87702,92254,109567,141936,141332,151422,178732,214219,255025,280495,310827,298220,354054,440433,512780,546791,621132,767618,848982,900554,961192,967831,1029826,1102299,1113487,1143964,1190615,1255515,1238433,1197991,(NA)
 "01000","Alabama",5,SAINC6S,432,"36","     Electronic and other electric equipment","Thousands of dollars",17119,20301,19735,19401,22875,21179,23363,27048,32912,34418,44825,59241,72131,74552,81949,92559,106613,113655,145647,178096,225765,279590,298193,349966,386442,490954,574150,610121,646368,664902,647096,634618,653670,695907,769968,830513,877729,917840,942482,946524,938087,903124,958893,(NA)
 "01000","Alabama",5,SAINC6S,435,"371","     Motor vehicles and equipment","Thousands of dollars",11032,14416,15805,8181,9436,11017,13711,18708,22791,22770,25191,29405,29143,29549,33850,44236,52552,47326,60556,91082,116827,151985,159335,189187,168577,228844,329533,381496,414587,390179,440519,429929,415138,415118,473032,506234,568953,586676,583483,611991,690265,790475,780953,(NA)
 "01000","Alabama",5,SAINC6S,438,"372-379","     Other transportation equipment","Thousands of dollars",78261,64183,52818,48784,64660,82612,71038,104983,107781,104373,110981,152560,165461,164547,146053,170828,175031,203446,198459,204342,228676,322323,364576,406116,431995,430034,485437,538081,576723,609901,642560,695116,774914,798012,765504,739989,(D),(D),(D),731005,735779,819944,894366,(NA)
 "01000","Alabama",5,SAINC6S,441,"38","     Instruments and related products","Thousands of dollars",406,432,448,618,968,1625,1546,2065,2851,3903,5474,6044,6757,7189,9579,15192,18165,24049,30614,44037,54400,50249,50975,59146,63664,70627,78509,70333,75254,83744,106446,102777,105826,115141,122074,120295,119918,126532,126470,129566,137203,156753,162987,(NA)
 "01000","Alabama",5,SAINC6S,444,"39","     Miscellaneous manufacturing industries","Thousands of dollars",4613,5087,5225,6178,6788,7545,8241,9696,12189,13099,14679,16945,18154,19302,20267,23912,27739,26648,35292,42213,46300,52981,65445,69648,69770,88300,107539,113304,102804,103725,121902,144351,151542,148671,144976,143536,154101,158740,170671,179168,170508,181749,179741,(NA)
 "01000","Alabama",5,SAINC6S,447,"...","     Ordnance 4/","Thousands of dollars",441,114,87,430,19497,29287,45128,62411,64250,57641,61266,46500,28300,24164,20324,3734,4294,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "01000","Alabama",5,SAINC6S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",432277,484531,501155,513063,561689,586074,648646,718820,805169,860629,961619,1058465,1115211,1181022,1324203,1476663,1626946,1704076,1963354,2194679,2398599,2648907,2913248,3208992,3259496,3563276,3864477,4014977,4278123,4587997,4772981,5029910,5188388,5383776,5830105,5969400,6052821,6126804,6070710,6200930,6289484,6278311,6288207,6225103
 "01000","Alabama",5,SAINC6S,453,"20","     Food and kindred products","Thousands of dollars",78945,85425,89915,94603,100232,104068,111296,119250,129835,139071,154020,167936,178476,179460,196889,208249,227000,243708,271039,300199,326205,364563,404505,442744,454138,471370,509720,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1039852,1097674,1109791,(NA)
 "01000","Alabama",5,SAINC6S,456,"21","     Tobacco products","Thousands of dollars",1475,1935,2418,2474,2587,2649,3318,3266,3293,3974,4523,4474,4274,4482,4744,5080,6080,6588,7233,8415,8147,7971,9297,10212,10076,6936,7626,7546,8046,11734,11254,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),22154,(D),(NA)
