GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "09000","Connecticut",1,SAINC6S,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",4556263,4931448,5178408,5411061,5800467,6125309,6534380,7025244,7904724,8540446,9200724,10124120,10723003,11058523,12072968,13417635,14622774,15202697,16393809,18172070,20473019,23216032,26056261,28730460,30970065,33368997,37299257,40703452,44392738,49069606,53908346,56692343,58555926,59156917,61501850,63373240,65061999,68000212,71337189,76938490,82083870,86893617,93731576,97473476
 "09000","Connecticut",1,SAINC6S,5,"..."," Wages and salaries","Thousands of dollars",4204450,4526772,4733604,4940781,5288697,5563682,5935051,6376432,7123015,7701506,8259442,9056945,9580507,9836242,10652406,11802804,12819275,13184953,14169047,15580560,17496135,19762686,22147341,24267534,26032828,27949151,31253757,34056346,37073889,41055175,45115703,47170117,48671206,48935033,50576294,51894304,53432964,56049223,59094922,64087294,68510384,72496956,78195987,80744831
 "09000","Connecticut",1,SAINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",351813,404676,444804,470280,511770,561627,599329,648812,781709,838940,941282,1067175,1142496,1222281,1420562,1614831,1803499,2017744,2224762,2591510,2976884,3453346,3908920,4462926,4937237,5419846,6045500,6647106,7318849,8014431,8792643,9522226,9884720,10221884,10925556,11478936,11629035,11950989,12242267,12851196,13573486,14396661,15535589,16728645
 "09000","Connecticut",1,SAINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",250103,271451,284277,304175,324875,351721,385524,426518,481164,522671,585438,676469,738389,790053,912338,966494,1075522,1281852,1385788,1630303,1849763,2143854,2489891,2810457,3153797,3457066,3735513,4178159,4648528,5132086,5565502,6188615,6500623,6764626,7339108,7749664,7735508,7890744,8001510,8381226,8901247,9551210,10374237,11422894
 "09000","Connecticut",1,SAINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",101710,133225,160527,166105,186895,209906,213805,222294,300545,316269,355844,390706,404107,432228,508224,648337,727977,735892,838974,961207,1127121,1309492,1419029,1652469,1783440,1962780,2309987,2468947,2670321,2882345,3227141,3333611,3384097,3457258,3586448,3729272,3893527,4060245,4240757,4469970,4672239,4845451,5161352,5305751
 "09000","Connecticut",1,SAINC6S,9,"...","Average compensation per job (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),7921,8440,8916,9550,10178,10860,11686,12403,13294,14323,15661,17276,18899,20507,21874,23351,24829,26396,28435,30747,32431,34297,36307,38637,39624,40415,41770,43271,45794,48020,50143,53351,55593
 "09000","Connecticut",1,SAINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",26441,28175,29618,30264,31968,31973,33693,36697,35611,32759,34007,33509,34017,35127,39413,44196,48298,51956,54627,64399,47559,51420,52719,50349,52272,52593,55250,58351,57045,59916,67253,72797,85754,84593,81924,92847,93119,106457,112060,119021,121084,112950,132316,140594
 "09000","Connecticut",1,SAINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",4529822,4903273,5148790,5380797,5768499,6093336,6500687,6988547,7869113,8507687,9166717,10090611,10688986,11023396,12033555,13373439,14574476,15150741,16339182,18107671,20425460,23164612,26003542,28680111,30917793,33316404,37244007,40645101,44335693,49009690,53841093,56619546,58470172,59072324,61419926,63280393,64968880,67893755,71225129,76819469,81962786,86780667,93599260,97332882
 "09000","Connecticut",1,SAINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",4005504,4348139,4557755,4741761,5092348,5378411,5716189,6135684,6903611,7455295,7943007,8726474,9162622,9322310,10137874,11319747,12354356,12722156,13829167,15434390,17490751,20001192,22531738,24913158,26788050,28838171,32270912,35131801,38399174,42478224,46616506,48697299,49981703,50140814,52051583,53432921,54600056,57278070,60229906,65476587,70168067,74201155,80134842,82843265
 "09000","Connecticut",1,SAINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",12293,11037,11534,12240,13023,13259,14678,17170,18146,20205,20638,22387,24277,26582,27813,31518,33989,32417,36125,39341,54256,61949,71944,66046,77616,88675,105055,119635,144731,178049,207801,218348,219388,205373,206452,223923,236913,247136,264808,281148,307897,346472,368292,405319
 "09000","Connecticut",1,SAINC6S,110,"07","    Agricultural services","Thousands of dollars",11142,9975,10746,11372,12100,12267,13796,16222,17338,19545,20135,21789,23741,26098,27407,31119,33541,30509,34291,37352,51949,59219,68533,61551,73392,84463,100778,117665,142644,175827,205402,215103,216118,201703,203309,220508,233460,243925,261474,277333,303522,342565,364160,(NA)
 "09000","Connecticut",1,SAINC6S,120,"...","    Forestry and fishing","Thousands of dollars",1151,1062,788,868,923,992,882,948,808,660,503,598,536,484,406,399,448,1908,1834,1989,2307,2730,3411,4495,4224,4212,4277,1970,2087,2222,2399,3245,3270,3670,3143,3415,3453,3211,3334,3815,4375,3907,4132,(NA)
 "09000","Connecticut",1,SAINC6S,121,"08","     Forestry","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),652,698,632,(D),(D),(D),540,475,870,(NA)
 "09000","Connecticut",1,SAINC6S,122,"...","     Fishing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2491,2717,2821,(D),(D),(D),3835,3432,3262,(NA)
 "09000","Connecticut",1,SAINC6S,200,"B","   Mining","Thousands of dollars",5130,5392,5695,5921,6140,5916,6005,6344,6614,6501,7618,8639,9611,9544,10406,12434,14771,16075,16080,44608,47136,54503,73109,105655,76389,65356,64715,75243,78553,81159,91495,74453,51704,44426,45461,53869,44206,44943,47713,47034,51814,59925,59923,62398
