GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "33000","New Hampshire",1,SAINC6S,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",784497,861329,912310,951421,1014711,1054807,1127027,1213834,1352222,1489024,1646326,1791964,1910733,2038716,2266009,2583284,2803488,2948959,3367389,3834171,4478131,5124448,5715254,6367909,6938185,7710779,8628602,9677297,10886646,12141791,13398727,13981169,14082456,13982538,14920372,15519232,16534205,17647246,18698759,20212016,22036093,23460175,25977462,27024400
 "33000","New Hampshire",1,SAINC6S,5,"..."," Wages and salaries","Thousands of dollars",719974,786685,830445,865635,922752,956406,1021526,1098639,1221769,1343628,1482600,1618555,1719171,1823045,2012664,2288524,2475207,2567886,2918453,3301815,3840805,4380309,4871520,5396736,5864493,6479476,7244315,8115064,9099130,10152041,11198672,11627541,11681999,11539595,12211564,12633017,13469426,14490959,15465188,16828867,18348810,19560012,21673479,22310997
 "33000","New Hampshire",1,SAINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",64523,74644,81865,85786,91959,98401,105501,115195,130453,145396,163726,173409,191562,215671,253345,294760,328281,381073,448936,532356,637326,744139,843734,971173,1073692,1231303,1384287,1562233,1787516,1989750,2200055,2353628,2400457,2442943,2708808,2886215,3064779,3156287,3233571,3383149,3687283,3900163,4303983,4713403
 "33000","New Hampshire",1,SAINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",43061,48975,51670,55146,57940,61369,67055,74768,77600,87803,98875,112228,127569,144109,167734,183087,204297,253125,295412,356725,424227,492495,567993,644909,714958,817187,894056,1014155,1167446,1311105,1434593,1562651,1593324,1635990,1854146,1996557,2104208,2130201,2146149,2210126,2415953,2556071,2822405,3177560
 "33000","New Hampshire",1,SAINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",21462,25669,30195,30640,34019,37032,38446,40427,52853,57593,64851,61181,63993,71562,85611,111673,123984,127948,153524,175631,213099,251644,275741,326264,358734,414116,490231,548078,620070,678645,765462,790977,807133,806953,854662,889658,960571,1026086,1087422,1173023,1271330,1344092,1481578,1535843
 "33000","New Hampshire",1,SAINC6S,9,"...","Average compensation per job (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6105,6521,6929,7459,7968,8527,9296,9977,10703,11688,12745,13946,15182,16517,17683,18530,19823,21267,22737,24386,25449,26731,27949,29550,30067,30846,31855,32887,34557,36479,37810,40751,42182
 "33000","New Hampshire",1,SAINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",10841,7479,7475,8394,8753,8402,7747,7077,7657,7749,7574,7128,7347,6448,5888,6900,7038,7475,7937,9359,14594,15503,15642,14711,16216,15865,16343,16832,16102,16456,18486,19943,23441,23099,22376,26106,26884,31436,33603,36461,35690,32063,36206,36851
 "33000","New Hampshire",1,SAINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",773656,853850,904835,943027,1005958,1046405,1119280,1206757,1344565,1481275,1638752,1784836,1903386,2032268,2260121,2576384,2796450,2941484,3359452,3824812,4463537,5108945,5699612,6353198,6921969,7694914,8612259,9660465,10870544,12125335,13380241,13961226,14059015,13959439,14897996,15493126,16507321,17615810,18665156,20175555,22000403,23428112,25941256,26987549
 "33000","New Hampshire",1,SAINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",638930,708043,750687,778107,836018,859243,916085,993552,1127733,1231525,1359099,1481103,1555386,1638518,1824299,2083802,2256002,2339988,2711360,3115742,3677928,4259787,4766331,5343780,5844804,6519953,7345544,8266725,9353916,10437577,11523330,11899293,11841894,11691813,12488534,13010712,13913609,14947313,15903174,17291709,19015354,20257759,22583488,23310711
 "33000","New Hampshire",1,SAINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1682,1608,1788,2045,2095,2271,2463,2074,2492,2926,3251,3728,4135,4599,5536,6926,7518,6680,7859,8230,10912,13258,14300,14563,15843,17897,20323,27721,36343,43584,51823,55229,52504,49789,51591,55043,58887,63374,69238,76396,89331,105653,113221,128175
