GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "11000","District of Columbia",2,SAINC70,1,"...","Current receipts, accrual basis","Thousands of dollars",508818,522910,613978,746012,813662,888980,917339,922349,927544,1032125,1128944,1052198,984682,945391,1071699,1070705,1076274,1155290,1116422,1194121,1198850
 "11000","District of Columbia",2,SAINC70,2,"..."," Output","Thousands of dollars",9735,12000,13777,15571,18252,20064,22580,28882,24859,20455,22620,23349,21613,20652,24797,28882,32212,35241,29136,28410,27991
 "11000","District of Columbia",2,SAINC70,3,"..."," Contributions","Thousands of dollars",388142,401299,454221,525368,571738,615408,633917,643390,663561,720907,765211,729206,682090,684725,752198,766011,783211,828037,803936,839099,856702
 "11000","District of Columbia",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers","Thousands of dollars",277201,291688,308241,320295,348066,361900,373075,393313,424437,430144,424098,429563,401111,444711,457494,490199,522360,536025,520586,512487,542545
 "11000","District of Columbia",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",105588,98799,107304,123605,129204,156163,171690,193052,195740,171866,179259,182522,173161,163860,193191,211325,236398,255901,233863,212022,228109
 "11000","District of Columbia",2,SAINC70,6,"...","   Imputed employer contributions","Thousands of dollars",140750,163132,169746,165485,190272,178335,174314,176153,196730,222651,207402,210870,190115,241888,225264,234225,238817,235240,231689,240996,250655
 "11000","District of Columbia",2,SAINC70,7,"...","   Actual household contributions","Thousands of dollars",40598,41757,44968,46776,46842,47466,49651,52990,56826,56082,60057,59520,59448,59615,63836,73531,79357,80125,84170,87879,91772
 "11000","District of Columbia",2,SAINC70,8,"...","   Less: Pension service charges","Thousands of dollars",9735,12000,13777,15571,18252,20064,22580,28882,24859,20455,22620,23349,21613,20652,24797,28882,32212,35241,29136,28410,27991
 "11000","District of Columbia",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",110941,109611,145980,205073,223672,253508,260842,250077,239124,290763,341113,299643,280979,240014,294704,275812,260851,292012,283350,326612,314157
 "11000","District of Columbia",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers)","Thousands of dollars",110941,109611,145980,205073,223672,253508,260842,250077,239124,290763,341113,299643,280979,240014,294704,275812,260851,292012,283350,326612,314157
 "11000","District of Columbia",2,SAINC70,11,"...","  Interest","Thousands of dollars",80389,80832,125215,185430,197057,221260,219595,192093,187637,253284,302152,256318,233616,209514,266928,254640,243204,273239,263978,306433,292134
 "11000","District of Columbia",2,SAINC70,12,"...","   Monetary interest","Thousands of dollars",98453,81198,90568,109387,128937,144188,128322,103511,111782,98151,158891,113581,57798,59430,135666,92939,49632,63463,73775,74334,79318
 "11000","District of Columbia",2,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",-18064,-366,34647,76043,68120,77072,91273,88582,75855,155133,143261,142737,175818,150084,131262,161701,193572,209776,190203,232099,212816
 "11000","District of Columbia",2,SAINC70,14,"...","  Dividends","Thousands of dollars",30552,28779,20765,19643,26615,32248,41247,57984,51487,37479,38961,43325,47363,30500,27776,21172,17647,18773,19372,20179,22023
 "11000","District of Columbia",2,SAINC70,15,"...","Current expenditures, accrual basis","Thousands of dollars",508818,522910,613978,746012,813662,888980,917339,922349,927544,1032125,1128944,1052198,984682,945391,1071699,1070705,1076274,1155290,1116422,1194121,1198850
 "11000","District of Columbia",2,SAINC70,16,"..."," Administrative expenses","Thousands of dollars",9735,12000,13777,15571,18252,20064,22580,28882,24859,20455,22620,23349,21613,20652,24797,28882,32212,35241,29136,28410,27991
 "11000","District of Columbia",2,SAINC70,17,"..."," Imputed income payments on assets to persons","Thousands of dollars",110941,109611,145980,205073,223672,253508,260842,250077,239124,290763,341113,299643,280979,240014,294704,275812,260851,292012,283350,326612,314157
 "11000","District of Columbia",2,SAINC70,18,"...","  Interest","Thousands of dollars",80389,80832,125215,185430,197057,221260,219595,192093,187637,253284,302152,256318,233616,209514,266928,254640,243204,273239,263978,306433,292134
 "11000","District of Columbia",2,SAINC70,19,"...","  Dividends","Thousands of dollars",30552,28779,20765,19643,26615,32248,41247,57984,51487,37479,38961,43325,47363,30500,27776,21172,17647,18773,19372,20179,22023
 "11000","District of Columbia",2,SAINC70,20,"..."," Benefit payments and withdrawals","Thousands of dollars",40839,42538,46132,53263,61636,77635,89680,100483,114286,120040,135146,146675,170018,199390,211977,234356,259625,285183,313895,332743,351854
