GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "10000","Delaware",2,SAINC70,1,"...","Current receipts, accrual basis","Thousands of dollars",753190,757217,893183,1159470,1073629,992304,1117209,1009020,894053,1147295,1222859,1211898,1289650,1395592,1320443,1287571,1365709,1475023,1463043,1518309,1474046
 "10000","Delaware",2,SAINC70,2,"..."," Output","Thousands of dollars",20944,26360,26774,27146,30160,28458,33632,38189,27396,21861,25759,25971,25747,25990,28026,28193,29052,31573,32153,34360,35152
 "10000","Delaware",2,SAINC70,3,"..."," Contributions","Thousands of dollars",486045,492706,568152,706743,674936,642854,708906,658521,615901,751416,802345,789795,826416,912839,873470,855123,887737,944894,944559,974103,959235
 "10000","Delaware",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers","Thousands of dollars",239844,254555,269895,281162,306403,321862,334235,346211,365145,377398,407590,393663,388929,456076,454523,450868,438817,446338,458228,464257,479576
 "10000","Delaware",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",107093,103762,110706,144105,152516,162976,169563,166524,182965,208811,207633,226340,258687,282363,291211,323488,329055,326570,363738,391450,419768
 "10000","Delaware",2,SAINC70,6,"...","   Imputed employer contributions","Thousands of dollars",114789,135748,142010,117483,136847,138871,149597,168637,154218,131655,166671,133111,93187,133492,120974,74060,52486,61594,32811,7830,-10231
 "10000","Delaware",2,SAINC70,7,"...","   Actual household contributions","Thousands of dollars",38906,41405,43953,46720,47200,48473,48707,49239,55358,58793,59045,60183,62802,66211,70364,81513,86328,89747,93832,99337,105191
 "10000","Delaware",2,SAINC70,8,"...","   Less: Pension service charges","Thousands of dollars",20944,26360,26774,27146,30160,28458,33632,38189,27396,21861,25759,25971,25747,25990,28026,28193,29052,31573,32153,34360,35152
 "10000","Delaware",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",246201,238151,298257,425581,368533,320992,374671,312310,250756,374018,394755,396132,437487,456763,418947,404255,448920,498556,486331,509846,479659
 "10000","Delaware",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers)","Thousands of dollars",246201,238151,298257,425581,368533,320992,374671,312310,250756,374018,394755,396132,437487,456763,418947,404255,448920,498556,486331,509846,479659
 "10000","Delaware",2,SAINC70,11,"...","  Interest","Thousands of dollars",181445,182674,259617,394249,327230,272971,319427,240591,186783,327673,342274,340563,387095,409263,368362,341537,375659,429657,423867,453055,425564
 "10000","Delaware",2,SAINC70,12,"...","   Monetary interest","Thousands of dollars",182300,142362,151303,211453,174088,128251,145836,86142,54059,67192,94417,118127,135918,156034,140776,113660,110532,143166,158137,136548,144261
 "10000","Delaware",2,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",-855,40312,108314,182796,153142,144720,173591,154449,132724,260481,247857,222436,251177,253229,227586,227877,265127,286491,265730,316507,281303
 "10000","Delaware",2,SAINC70,14,"...","  Dividends","Thousands of dollars",64756,55477,38640,31332,41303,48021,55244,71719,63973,46345,52481,55569,50392,47500,50585,62718,73261,68899,62464,56791,54095
 "10000","Delaware",2,SAINC70,15,"...","Current expenditures, accrual basis","Thousands of dollars",753190,757217,893183,1159470,1073629,992304,1117209,1009020,894053,1147295,1222859,1211898,1289650,1395592,1320443,1287571,1365709,1475023,1463043,1518309,1474046
 "10000","Delaware",2,SAINC70,16,"..."," Administrative expenses","Thousands of dollars",20944,26360,26774,27146,30160,28458,33632,38189,27396,21861,25759,25971,25747,25990,28026,28193,29052,31573,32153,34360,35152
 "10000","Delaware",2,SAINC70,17,"..."," Imputed income payments on assets to persons","Thousands of dollars",246201,238151,298257,425581,368533,320992,374671,312310,250756,374018,394755,396132,437487,456763,418947,404255,448920,498556,486331,509846,479659
 "10000","Delaware",2,SAINC70,18,"...","  Interest","Thousands of dollars",181445,182674,259617,394249,327230,272971,319427,240591,186783,327673,342274,340563,387095,409263,368362,341537,375659,429657,423867,453055,425564
 "10000","Delaware",2,SAINC70,19,"...","  Dividends","Thousands of dollars",64756,55477,38640,31332,41303,48021,55244,71719,63973,46345,52481,55569,50392,47500,50585,62718,73261,68899,62464,56791,54095
 "10000","Delaware",2,SAINC70,20,"..."," Benefit payments and withdrawals","Thousands of dollars",222498,247807,271362,297455,326556,355404,370321,384061,429523,480407,509266,529763,566436,602317,639190,703227,725961,753852,794327,812590,829222
 "10000","Delaware",2,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",263547,244899,296790,409288,348380,287450,338585,274460,186378,271009,293079,260032,259980,310522,234280,151896,161776,191042,150232,161513,130013
 "10000","Delaware",2,SAINC70,22,"...","Cash flow","Thousands of dollars",149613,68839,46466,109009,58391,3859,15397,-48626,-100564,-121127,-121449,-95515,-84384,-76199,-114280,-150041,-155837,-157043,-148309,-162824,-141059
 "10000","Delaware",2,SAINC70,23,"..."," Actual employer and household contributions","Thousands of dollars",145999,145167,154659,190825,199716,211449,218270,215763,238323,267604,266678,286523,321489,348574,361575,405001,415383,416317,457570,490787,524959
 "10000","Delaware",2,SAINC70,24,"..."," Monetary income receipts on assets","Thousands of dollars",247056,197839,189943,242785,215391,176272,201080,157861,118032,113537,146898,173696,186310,203534,191361,176378,183793,212065,220601,193339,198356
 "10000","Delaware",2,SAINC70,25,"..."," Less: Benefit payments and withdrawals","Thousands of dollars",222498,247807,271362,297455,326556,355404,370321,384061,429523,480407,509266,529763,566436,602317,639190,703227,725961,753852,794327,812590,829222
 "10000","Delaware",2,SAINC70,26,"..."," Less: Administrative expenses","Thousands of dollars",20944,26360,26774,27146,30160,28458,33632,38189,27396,21861,25759,25971,25747,25990,28026,28193,29052,31573,32153,34360,35152
 "10000","Delaware",2,SAINC70,27,"...","Employers' normal cost","Thousands of dollars",200938,213150,225942,234442,259203,273389,285528,296972,309787,318605,348545,333480,326127,389865,384159,369355,352489,356591,364396,364920,374385
 "10000","Delaware",2,SAINC70,28,"...","Interest accrued on benefit entitlements","Thousands of dollars",392728,421373,456770,481616,478167,495191,524654,552439,579917,606967,604024,614951,632041,589583,605477,623049,647689,672053,694406,717972,742535
