GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "15000","Hawaii",8,SAINC70,1,"...","Current receipts, accrual basis","Thousands of dollars",1404235,1450242,1554971,1887495,1877024,1926254,2040186,2286534,2627275,3149573,3196454,3195482,3392569,3378277,3490116,3831902,4011621,4328683,4277178,4533806,4573654
 "15000","Hawaii",8,SAINC70,2,"..."," Output","Thousands of dollars",30719,33973,37494,40027,41576,48139,60091,54469,40873,34616,41649,44615,41578,40559,44106,46553,45647,56548,58309,50797,60330
 "15000","Hawaii",8,SAINC70,3,"..."," Contributions","Thousands of dollars",852107,882250,945302,1119660,1129041,1155188,1241841,1422219,1639251,1966219,2026058,1987597,2087034,2154059,2228348,2429596,2540199,2696489,2688657,2843111,2861258
 "15000","Hawaii",8,SAINC70,4,"...","  Claims to benefits accrued through service to employers","Thousands of dollars",330698,348231,373127,391852,422634,432261,503587,612373,692100,817481,897311,824327,823077,970400,1010686,1073843,1114424,1120843,1158445,1203213,1209192
 "15000","Hawaii",8,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",41374,100300,179225,243260,272465,359510,424356,449416,474685,504577,515255,513121,528593,578509,651494,712162,728270,763005,827115,863711,957184
 "15000","Hawaii",8,SAINC70,6,"...","   Imputed employer contributions","Thousands of dollars",262915,225635,173564,130996,135527,65107,40224,65633,92906,82853,125591,149972,153337,235226,183392,168364,177009,149525,117748,110719,24783
 "15000","Hawaii",8,SAINC70,7,"...","   Actual household contributions","Thousands of dollars",57128,56269,57832,57623,56218,55783,99098,151793,165382,264667,298114,205849,182725,197224,219906,239870,254792,264861,271891,279580,287555
 "15000","Hawaii",8,SAINC70,8,"...","   Less: Pension service charges","Thousands of dollars",30719,33973,37494,40027,41576,48139,60091,54469,40873,34616,41649,44615,41578,40559,44106,46553,45647,56548,58309,50797,60330
 "15000","Hawaii",8,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",521409,534019,572175,727808,706407,722927,738254,809846,947151,1148738,1128747,1163270,1263957,1183659,1217662,1355753,1425775,1575646,1530212,1639898,1652066
 "15000","Hawaii",8,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers)","Thousands of dollars",521409,534019,572175,727808,706407,722927,738254,809846,947151,1148738,1128747,1163270,1263957,1183659,1217662,1355753,1425775,1575646,1530212,1639898,1652066
