GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "92000","Mideast",2,SAINC70,1,"...","Current receipts, accrual basis","Thousands of dollars",71967862,72689483,81172089,96975231,97257518,97469292,103016220,104311561,103351061,122537249,122892729,119429764,124643705,127230450,127301056,129747626,134518520,141411915,141997772,148386972,144356045
 "92000","Mideast",2,SAINC70,2,"..."," Output","Thousands of dollars",1038230,1361220,1487110,1476850,1590239,1624537,2071400,2563654,2199762,1914380,2171688,2290399,2383896,2411890,2576342,2727845,3058435,3485527,3714150,3890447,4127382
 "92000","Mideast",2,SAINC70,3,"..."," Contributions","Thousands of dollars",46836163,47627068,52436585,60707224,62046876,62595356,65779424,66939911,67397481,77812968,79265639,76855738,78901358,82943308,82689056,83597550,85339016,88342168,89224539,92987887,90756456
 "92000","Mideast",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers","Thousands of dollars",22742694,23925873,25188191,25916067,28426473,29345957,30614028,32131915,33643663,35003067,37810237,36572111,35542907,41068056,40653398,40175319,39217947,38757948,40165456,41479249,41284249
 "92000","Mideast",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",4319647,4202341,4614990,7119661,8926237,10791457,13347166,16144349,16928403,17104764,18930525,21692398,24320072,26426728,28628039,30529286,31636330,33073952,35028243,35969822,37252099
 "92000","Mideast",2,SAINC70,6,"...","   Imputed employer contributions","Thousands of dollars",15858423,17467801,18390031,16498501,17095079,15946114,14911177,13839025,13852023,14450950,15538826,11423847,7613449,10983673,8446760,5947441,3845374,2185074,1746186,2112374,681959
 "92000","Mideast",2,SAINC70,7,"...","   Actual household contributions","Thousands of dollars",3602854,3616951,3670280,3774755,3995396,4232923,4427085,4712195,5062999,5361733,5512574,5746265,5993282,6069545,6154941,6426437,6794678,6984449,7105177,7287500,7477573
 "92000","Mideast",2,SAINC70,8,"...","   Less: Pension service charges","Thousands of dollars",1038230,1361220,1487110,1476850,1590239,1624537,2071400,2563654,2199762,1914380,2171688,2290399,2383896,2411890,2576342,2727845,3058435,3485527,3714150,3890447,4127382
 "92000","Mideast",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",24093469,23701195,27248394,34791157,33620403,33249399,35165396,34807996,33753818,42809901,41455402,40283627,43358451,41875252,42035658,43422231,46121069,49584220,49059083,51508638,49472207
 "92000","Mideast",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers)","Thousands of dollars",24093469,23701195,27248394,34791157,33620403,33249399,35165396,34807996,33753818,42809901,41455402,40283627,43358451,41875252,42035658,43422231,46121069,49584220,49059083,51508638,49472207
 "92000","Mideast",2,SAINC70,11,"...","  Interest","Thousands of dollars",19691315,19703570,23612588,31137069,29201056,28229624,29170708,28498063,28201714,37955689,36573399,34950568,37254402,35345570,35117370,36468214,38704192,41217175,40035240,42648519,40346328
 "92000","Mideast",2,SAINC70,12,"...","   Monetary interest","Thousands of dollars",13717223,10955650,11064347,12389116,11969210,11305218,11613347,12470108,11483500,9238300,9150567,8833635,8672732,8691115,9579579,10357197,9980420,11759059,12565467,11715238,12308358
 "92000","Mideast",2,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",5974092,8747920,12548241,18747953,17231846,16924406,17557361,16027955,16718214,28717389,27422832,26116933,28581670,26654455,25537791,26111017,28723772,29458116,27469773,30933281,28037970
 "92000","Mideast",2,SAINC70,14,"...","  Dividends","Thousands of dollars",4402154,3997625,3635806,3654088,4419347,5019775,5994688,6309933,5552104,4854212,4882003,5333059,6104049,6529682,6918288,6954017,7416877,8367045,9023843,8860119,9125879
 "92000","Mideast",2,SAINC70,15,"...","Current expenditures, accrual basis","Thousands of dollars",71967862,72689483,81172089,96975231,97257518,97469292,103016220,104311561,103351061,122537249,122892729,119429764,124643705,127230450,127301056,129747626,134518520,141411915,141997772,148386972,144356045
 "92000","Mideast",2,SAINC70,16,"..."," Administrative expenses","Thousands of dollars",1038230,1361220,1487110,1476850,1590239,1624537,2071400,2563654,2199762,1914380,2171688,2290399,2383896,2411890,2576342,2727845,3058435,3485527,3714150,3890447,4127382
 "92000","Mideast",2,SAINC70,17,"..."," Imputed income payments on assets to persons","Thousands of dollars",24093469,23701195,27248394,34791157,33620403,33249399,35165396,34807996,33753818,42809901,41455402,40283627,43358451,41875252,42035658,43422231,46121069,49584220,49059083,51508638,49472207
 "92000","Mideast",2,SAINC70,18,"...","  Interest","Thousands of dollars",19691315,19703570,23612588,31137069,29201056,28229624,29170708,28498063,28201714,37955689,36573399,34950568,37254402,35345570,35117370,36468214,38704192,41217175,40035240,42648519,40346328
 "92000","Mideast",2,SAINC70,19,"...","  Dividends","Thousands of dollars",4402154,3997625,3635806,3654088,4419347,5019775,5994688,6309933,5552104,4854212,4882003,5333059,6104049,6529682,6918288,6954017,7416877,8367045,9023843,8860119,9125879
