GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "28000","Mississippi",5,SAINC70,1,"...","Current receipts, accrual basis","Thousands of dollars",2950540,2813633,3184633,3958167,3968312,3900526,3853571,3782303,3830210,4774640,4908453,5058798,5601831,5742260,5728141,5895078,6168995,6405298,6308569,6503284,6526707
 "28000","Mississippi",5,SAINC70,2,"..."," Output","Thousands of dollars",28914,34986,37734,39570,43578,45468,60937,67275,44936,35820,46300,52915,55592,68097,83008,90627,97076,106619,114959,117391,131436
 "28000","Mississippi",5,SAINC70,3,"..."," Contributions","Thousands of dollars",1881588,1825876,2037771,2455645,2506930,2485694,2490737,2479967,2537615,3042801,3153928,3221156,3503282,3683272,3678581,3767441,3922804,4015940,3924855,4022897,4030085
 "28000","Mississippi",5,SAINC70,4,"...","  Claims to benefits accrued through service to employers","Thousands of dollars",841550,873105,928643,992693,1089126,1116330,1188840,1244906,1289956,1346782,1445703,1436429,1460325,1692381,1712029,1730431,1773689,1733201,1656100,1659901,1664899
 "28000","Mississippi",5,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",400448,405241,419005,500585,457878,502514,563945,626048,673732,700413,709996,726352,795048,904255,985968,1033812,1038119,1028132,1046318,1108168,1166030
 "28000","Mississippi",5,SAINC70,6,"...","   Imputed employer contributions","Thousands of dollars",155731,179869,211638,175029,310088,292504,305009,282364,233060,243041,290529,225912,176073,306031,243905,199857,237113,220987,138463,78881,35933
 "28000","Mississippi",5,SAINC70,7,"...","   Actual household contributions","Thousands of dollars",314285,322981,335734,356649,364738,366780,380823,403769,428100,439148,491478,537080,544796,550192,565164,587389,595533,590701,586278,590243,594372
 "28000","Mississippi",5,SAINC70,8,"...","   Less: Pension service charges","Thousands of dollars",28914,34986,37734,39570,43578,45468,60937,67275,44936,35820,46300,52915,55592,68097,83008,90627,97076,106619,114959,117391,131436
 "28000","Mississippi",5,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",1040038,952771,1109128,1462952,1417804,1369364,1301897,1235061,1247659,1696019,1708225,1784727,2042957,1990891,1966552,2037010,2149115,2282739,2268755,2362996,2365186
 "28000","Mississippi",5,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers)","Thousands of dollars",1040038,952771,1109128,1462952,1417804,1369364,1301897,1235061,1247659,1696019,1708225,1784727,2042957,1990891,1966552,2037010,2149115,2282739,2268755,2362996,2365186
 "28000","Mississippi",5,SAINC70,11,"...","  Interest","Thousands of dollars",875969,796189,964333,1310931,1211541,1122136,1031784,934061,962210,1445398,1448328,1500937,1749164,1658312,1622190,1718267,1828949,1945893,1922712,2019368,2007685
