GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "32000","Nevada",8,SAINC70,1,"...","Current receipts, accrual basis","Thousands of dollars",2706404,2836264,3368741,3960821,4023465,4202010,4572651,5022013,5421648,6307414,6575029,6624961,6915815,7327632,7435354,7553040,7828918,7992459,7948381,8480384,8404828
 "32000","Nevada",8,SAINC70,2,"..."," Output","Thousands of dollars",27124,35674,39660,39522,36889,32573,39047,43173,33946,28092,30935,32929,32736,37673,42924,43283,46534,53662,59714,64816,67457
 "32000","Nevada",8,SAINC70,3,"..."," Contributions","Thousands of dollars",1841742,1944821,2255666,2590118,2705398,2860401,3117820,3434329,3737401,4240908,4458622,4454808,4576051,4956512,5023830,5101856,5266870,5286872,5209150,5512144,5468165
 "32000","Nevada",8,SAINC70,4,"...","  Claims to benefits accrued through service to employers","Thousands of dollars",1004204,1089052,1182251,1258937,1424220,1551365,1702036,1889818,2087100,2202494,2373150,2317584,2269023,2623065,2655230,2693955,2751356,2634947,2529633,2608720,2598959
 "32000","Nevada",8,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",573234,597278,629367,788222,748392,812151,890683,984055,1070601,1129230,1144576,1157075,1171217,1216913,1297197,1397995,1484428,1520744,1579033,1665848,1747671
 "32000","Nevada",8,SAINC70,6,"...","   Imputed employer contributions","Thousands of dollars",408074,474506,536370,450429,648544,680640,728518,819845,923865,977170,1147045,1096646,1032556,1339491,1287094,1212904,1176853,1027312,866171,859633,766636
 "32000","Nevada",8,SAINC70,7,"...","   Actual household contributions","Thousands of dollars",50020,52942,56174,59808,64173,91147,121882,129091,126580,124186,112464,96792,97986,104334,113863,126339,136609,140553,144143,148055,152109
 "32000","Nevada",8,SAINC70,8,"...","   Less: Pension service charges","Thousands of dollars",27124,35674,39660,39522,36889,32573,39047,43173,33946,28092,30935,32929,32736,37673,42924,43283,46534,53662,59714,64816,67457
 "32000","Nevada",8,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",837538,855769,1073415,1331181,1281178,1309036,1415784,1544511,1650301,2038414,2085472,2137224,2307028,2333447,2368600,2407901,2515514,2651925,2679517,2903424,2869206
 "32000","Nevada",8,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers)","Thousands of dollars",837538,855769,1073415,1331181,1281178,1309036,1415784,1544511,1650301,2038414,2085472,2137224,2307028,2333447,2368600,2407901,2515514,2651925,2679517,2903424,2869206
 "32000","Nevada",8,SAINC70,11,"...","  Interest","Thousands of dollars",768295,775942,977257,1222002,1127066,1113459,1201574,1298679,1386109,1782552,1819574,1836833,1955415,1897289,1893587,1926425,1999329,2105633,2100411,2306812,2225249
 "32000","Nevada",8,SAINC70,12,"...","   Monetary interest","Thousands of dollars",436995,358898,386905,446559,432359,397426,410040,449728,405333,348635,383098,391813,386141,374145,389937,341404,288138,366560,428864,415859,450862
 "32000","Nevada",8,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",331300,417044,590352,775443,694707,716033,791534,848951,980776,1433917,1436476,1445020,1569274,1523144,1503650,1585021,1711191,1739073,1671547,1890953,1774387
 "32000","Nevada",8,SAINC70,14,"...","  Dividends","Thousands of dollars",69243,79827,96158,109179,154112,195577,214210,245832,264192,255862,265898,300391,351613,436158,475013,481476,516185,546292,579106,596612,643957
 "32000","Nevada",8,SAINC70,15,"...","Current expenditures, accrual basis","Thousands of dollars",2706404,2836264,3368741,3960821,4023465,4202010,4572651,5022013,5421648,6307414,6575029,6624961,6915815,7327632,7435354,7553040,7828918,7992459,7948381,8480384,8404828
 "32000","Nevada",8,SAINC70,16,"..."," Administrative expenses","Thousands of dollars",27124,35674,39660,39522,36889,32573,39047,43173,33946,28092,30935,32929,32736,37673,42924,43283,46534,53662,59714,64816,67457
 "32000","Nevada",8,SAINC70,17,"..."," Imputed income payments on assets to persons","Thousands of dollars",837538,855769,1073415,1331181,1281178,1309036,1415784,1544511,1650301,2038414,2085472,2137224,2307028,2333447,2368600,2407901,2515514,2651925,2679517,2903424,2869206
 "32000","Nevada",8,SAINC70,18,"...","  Interest","Thousands of dollars",768295,775942,977257,1222002,1127066,1113459,1201574,1298679,1386109,1782552,1819574,1836833,1955415,1897289,1893587,1926425,1999329,2105633,2100411,2306812,2225249
 "32000","Nevada",8,SAINC70,19,"...","  Dividends","Thousands of dollars",69243,79827,96158,109179,154112,195577,214210,245832,264192,255862,265898,300391,351613,436158,475013,481476,516185,546292,579106,596612,643957
 "32000","Nevada",8,SAINC70,20,"..."," Benefit payments and withdrawals","Thousands of dollars",457384,511025,570771,632202,704588,786305,873555,979194,1121299,1260890,1384274,1490977,1614440,1750373,1906231,2068761,2207958,2367329,2545562,2704660,2866618
 "32000","Nevada",8,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",1384358,1433796,1684895,1957916,2000810,2074096,2244265,2455135,2616102,2980018,3074348,2963831,2961611,3206139,3117599,3033095,3058912,2919543,2663588,2807484,2601547
 "32000","Nevada",8,SAINC70,22,"...","Cash flow","Thousands of dollars",644984,542246,558173,732044,657559,677423,724213,786339,711461,568931,490827,422165,359781,343504,326855,235170,170868,153158,125870,56898,60524
 "32000","Nevada",8,SAINC70,23,"..."," Actual employer and household contributions","Thousands of dollars",623254,650220,685541,848030,812565,903298,1012565,1113146,1197181,1253416,1257040,1253867,1269203,1321247,1411060,1524334,1621037,1661297,1723176,1813903,1899780
 "32000","Nevada",8,SAINC70,24,"..."," Monetary income receipts on assets","Thousands of dollars",506238,438725,483063,555738,586471,593003,624250,695560,669525,604497,648996,692204,737754,810303,864950,822880,804323,912852,1007970,1012471,1094819
 "32000","Nevada",8,SAINC70,25,"..."," Less: Benefit payments and withdrawals","Thousands of dollars",457384,511025,570771,632202,704588,786305,873555,979194,1121299,1260890,1384274,1490977,1614440,1750373,1906231,2068761,2207958,2367329,2545562,2704660,2866618
 "32000","Nevada",8,SAINC70,26,"..."," Less: Administrative expenses","Thousands of dollars",27124,35674,39660,39522,36889,32573,39047,43173,33946,28092,30935,32929,32736,37673,42924,43283,46534,53662,59714,64816,67457
 "32000","Nevada",8,SAINC70,27,"...","Employers' normal cost","Thousands of dollars",954184,1036110,1126077,1199129,1360047,1460218,1580154,1760727,1960520,2078308,2260686,2220792,2171037,2518731,2541367,2567616,2614747,2494394,2385490,2460665,2446850
 "32000","Nevada",8,SAINC70,28,"...","Interest accrued on benefit entitlements","Thousands of dollars",1203502,1321166,1452563,1564631,1630099,1785981,1950789,2105047,2285017,2481836,2533164,2662992,2780767,2631269,2792647,2964244,3094353,3188172,3304727,3475307,3635270
 "32000","Nevada",8,SAINC70,29,"...","Benefit entitlements","Thousands of dollars",21735013,23908518,25768922,27840371,32095029,35060214,37824367,41069281,44659775,47684099,52851503,55292125,58825475,69445266,73796689,77089723,79571814,82626112,86930206,91014355,95873392
 "32000","Nevada",8,SAINC70,30,"...","Pension plan assets","Thousands of dollars",14784321,14069282,12844925,16652160,19076188,20668609,22388888,23236929,18588581,21445308,23951085,23906545,27271143,31854025,34171180,34309989,36095077,40837521,39656359,46654606,52448620
 "32000","Nevada",8,SAINC70,31,"...","Plans' claims on employers","Thousands of dollars",6950692,9839236,12923997,11188211,13018841,14391605,15435479,17832352,26071194,26238791,28900418,31385580,31554332,37591241,39625509,42779734,43476737,41788591,47273847,44359749,43424772
 "32000","Nevada",8,SAINC70,32,"...","Funded ratio 5/","Ratio",68.0,58.8,49.8,59.8,59.4,59.0,59.2,56.6,41.6,45.0,45.3,43.2,46.4,45.9,46.3,44.5,45.4,49.4,45.6,51.3,54.7
"Note: See the included footnote file."
"SAINC70: Transactions of State and Local Government Defined Benefit Pension Plans "
"Last updated: September 23, 2021-- new statistics for 2000-2020."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
