GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "94000","Plains",4,SAINC70,1,"...","Current receipts, accrual basis","Thousands of dollars",17147100,17947524,20697866,24918332,25084052,25640330,27320038,27760104,27749027,33904203,34471203,32662204,33635798,34690429,34974170,36254432,38273815,40775620,40320653,41985436,41252433
 "94000","Plains",4,SAINC70,2,"..."," Output","Thousands of dollars",280441,353717,396952,422441,472207,513064,654258,717954,528386,508349,729811,781745,798602,954289,998906,936801,1029722,1194334,1219279,1175488,1165342
 "94000","Plains",4,SAINC70,3,"..."," Contributions","Thousands of dollars",11559647,12048646,13557082,15822555,16185683,16497774,17480091,17923599,18250110,21582619,22202416,21110337,21480732,22768559,23115551,24018319,24962803,25983629,25640644,26515297,26174518
 "94000","Plains",4,SAINC70,4,"...","  Claims to benefits accrued through service to employers","Thousands of dollars",6252635,6503485,6813250,7149219,7759521,7868282,8294402,8805048,9279579,9769384,10663440,10340215,10124268,11800978,12255838,12719007,12681513,12385972,12179914,12220646,12261945
 "94000","Plains",4,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",2199491,2277373,2376427,2826575,2633735,2915978,3246738,3623685,3803255,4059352,4400494,4666157,4913396,5505154,5947660,6166360,6439411,6769772,7189491,7379461,7678122
 "94000","Plains",4,SAINC70,6,"...","   Imputed employer contributions","Thousands of dollars",2775605,2932181,3081380,2889203,3712205,3515300,3615264,3670694,3605744,3669552,4326689,3713848,3103796,4145108,3963351,3912427,3523801,2970128,2312798,2026298,1661877
 "94000","Plains",4,SAINC70,7,"...","   Actual household contributions","Thousands of dollars",1557980,1647648,1752395,1855882,1885788,1950068,2086658,2228623,2398966,2548829,2666068,2741955,2905678,3105005,3343733,3577021,3748023,3840406,3896904,3990375,4087288
 "94000","Plains",4,SAINC70,8,"...","   Less: Pension service charges","Thousands of dollars",280441,353717,396952,422441,472207,513064,654258,717954,528386,508349,729811,781745,798602,954289,998906,936801,1029722,1194334,1219279,1175488,1165342
 "94000","Plains",4,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",5307012,5545161,6743832,8673336,8426162,8629492,9185689,9118551,8970531,11813235,11538976,10770122,11356464,10967581,10859713,11299312,12281290,13597657,13460730,14294651,13912573
 "94000","Plains",4,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers)","Thousands of dollars",5307012,5545161,6743832,8673336,8426162,8629492,9185689,9118551,8970531,11813235,11538976,10770122,11356464,10967581,10859713,11299312,12281290,13597657,13460730,14294651,13912573
 "94000","Plains",4,SAINC70,11,"...","  Interest","Thousands of dollars",4136586,4530593,5949861,7925664,7521729,7485682,7928578,7823340,7754506,10651169,10382708,9666097,10176597,9643330,9431072,9943233,10832243,11858522,11699522,12370813,11821207
 "94000","Plains",4,SAINC70,12,"...","   Monetary interest","Thousands of dollars",2624489,2111679,2276255,2722858,2841759,2736203,2951707,3048291,2459706,1986426,2055193,1975822,1971664,1975830,2171306,2343734,2357377,2908034,3418565,3242016,3368496
 "94000","Plains",4,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",1512097,2418914,3673606,5202806,4679970,4749479,4976871,4775049,5294800,8664743,8327515,7690275,8204933,7667500,7259766,7599499,8474866,8950488,8280957,9128797,8452711
