GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "53000","Washington",8,SAINC70,1,"...","Current receipts, accrual basis","Thousands of dollars",5558801,5922964,6862694,8248558,8280523,8834086,10073717,10550282,9351272,11056433,11781407,11326166,12217922,13552421,14179873,15488201,16215514,17015328,16992490,17794331,17658580
 "53000","Washington",8,SAINC70,2,"..."," Output","Thousands of dollars",168045,192536,159480,123033,145351,217072,190516,118287,198799,215269,194532,195508,206867,237293,264306,293160,339242,431897,605364,676939,642208
 "53000","Washington",8,SAINC70,3,"..."," Contributions","Thousands of dollars",3671287,3829243,4313030,5048008,5155424,5467927,6245548,6697029,6196223,7038964,7459627,7195940,7703438,8716757,8996423,9652616,10102039,10525841,10509543,11038361,11030772
 "53000","Washington",8,SAINC70,4,"...","  Claims to benefits accrued through service to employers","Thousands of dollars",1951818,1928058,1922846,1970491,2175676,2318840,2607895,2962063,3239973,3236764,3332379,3261222,3395821,4118386,4077279,4110191,4327806,4468251,4631960,4959330,5045172
 "53000","Washington",8,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",724823,557250,342475,340053,337233,470162,619499,816049,1226243,1298552,1101569,1200631,1308563,1550945,1835903,2147232,2452036,2795205,3295642,3561032,3811684
 "53000","Washington",8,SAINC70,6,"...","   Imputed employer contributions","Thousands of dollars",1029143,1236991,1472630,1480298,1699550,1744222,1758542,1741587,1584634,1523279,1851078,1671448,1661083,2111921,1738259,1366681,1207351,971747,691938,725533,417697
 "53000","Washington",8,SAINC70,7,"...","   Actual household contributions","Thousands of dollars",365897,326353,267221,273173,284244,321528,420370,522714,627895,630202,574264,584651,633042,692813,767423,889438,1007661,1133196,1249744,1349704,1457999
 "53000","Washington",8,SAINC70,8,"...","   Less: Pension service charges","Thousands of dollars",168045,192536,159480,123033,145351,217072,190516,118287,198799,215269,194532,195508,206867,237293,264306,293160,339242,431897,605364,676939,642208
 "53000","Washington",8,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",1719469,1901185,2390184,3077517,2979748,3149087,3637653,3734966,2956250,3802200,4127248,3934718,4307617,4598371,4919144,5542425,5774233,6057590,5877583,6079031,5985600
 "53000","Washington",8,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers)","Thousands of dollars",1719469,1901185,2390184,3077517,2979748,3149087,3637653,3734966,2956250,3802200,4127248,3934718,4307617,4598371,4919144,5542425,5774233,6057590,5877583,6079031,5985600
 "53000","Washington",8,SAINC70,11,"...","  Interest","Thousands of dollars",1414054,1532756,2054470,2737746,2550909,2570771,2771067,2732542,2201464,3175174,3407720,3194940,3455995,3857935,4438255,5079433,5280191,5528702,5323028,5535782,5428050
 "53000","Washington",8,SAINC70,12,"...","   Monetary interest","Thousands of dollars",1212714,921140,914997,896653,851637,873792,1060216,1225668,786159,581320,764650,746285,787349,1179175,1709008,1838007,1897820,2439231,2739469,2665140,2939741
 "53000","Washington",8,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",201340,611616,1139473,1841093,1699272,1696979,1710851,1506874,1415305,2593854,2643070,2448655,2668646,2678760,2729247,3241426,3382371,3089471,2583559,2870642,2488309
 "53000","Washington",8,SAINC70,14,"...","  Dividends","Thousands of dollars",305415,368429,335714,339771,428839,578316,866586,1002424,754786,627026,719528,739778,851622,740436,480889,462992,494042,528888,554555,543249,557550
 "53000","Washington",8,SAINC70,15,"...","Current expenditures, accrual basis","Thousands of dollars",5558801,5922964,6862694,8248558,8280523,8834086,10073717,10550282,9351272,11056433,11781407,11326166,12217922,13552421,14179873,15488201,16215514,17015328,16992490,17794331,17658580
 "53000","Washington",8,SAINC70,16,"..."," Administrative expenses","Thousands of dollars",168045,192536,159480,123033,145351,217072,190516,118287,198799,215269,194532,195508,206867,237293,264306,293160,339242,431897,605364,676939,642208
 "53000","Washington",8,SAINC70,17,"..."," Imputed income payments on assets to persons","Thousands of dollars",1719469,1901185,2390184,3077517,2979748,3149087,3637653,3734966,2956250,3802200,4127248,3934718,4307617,4598371,4919144,5542425,5774233,6057590,5877583,6079031,5985600
 "53000","Washington",8,SAINC70,18,"...","  Interest","Thousands of dollars",1414054,1532756,2054470,2737746,2550909,2570771,2771067,2732542,2201464,3175174,3407720,3194940,3455995,3857935,4438255,5079433,5280191,5528702,5323028,5535782,5428050
 "53000","Washington",8,SAINC70,19,"...","  Dividends","Thousands of dollars",305415,368429,335714,339771,428839,578316,866586,1002424,754786,627026,719528,739778,851622,740436,480889,462992,494042,528888,554555,543249,557550
