GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "08000","Colorado",7,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",370956,344050,294367,236591,222375,253043,278012,327999,347484,327571,340265,350746,407336,594184,727264,731854,792213,805718,897175,995149,1020912,1130719,1376607,1529088,1583890,1631831,1799038,2005749,2153379
 "08000","Colorado",7,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",27273,24061,18179,10167,10182,11164,13017,16055,17000,16066,15968,14971,19952,28771,35753,38754,41818,44630,44378,54217,50823,44939,45652,46543,40236,40265,43014,38374,47123
 "08000","Colorado",7,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",343683,319989,276188,226424,212193,241879,264995,311944,330484,311505,324297,335775,387384,565413,691511,693100,750395,761088,852797,940932,970089,1085780,1330955,1482545,1543654,1591566,1756024,1967375,2106256
 "08000","Colorado",7,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",294300,268900,225300,177900,163900,181700,198400,229900,257100,233700,246700,255600,301700,422200,430960,432874,476483,567807,672296,762526,767024,845431,1004379,1108037,1173891,1178397,1318725,1481392,1607222
 "08000","Colorado",7,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",200,200,100,100,100,100,100,100,100,100,100,100,100,300,300,300,500,400,600,1775,1792,2275,2651,3070,3102,2734,2579,2821,3495
 "08000","Colorado",7,SAINC7H,200,"B","   Mining","Thousands of dollars",26400,22300,17900,13800,13200,14700,17500,20700,24800,19600,19300,21300,24900,29300,31780,31927,31600,32286,37800,41892,36693,35828,44122,54562,58360,61044,72129,83974,91254
 "08000","Colorado",7,SAINC7H,300,"C","   Construction","Thousands of dollars",11300,8100,6600,6100,5600,7000,9700,13600,12200,10100,13800,11900,22300,69500,24268,16360,22308,34292,48908,60814,60650,77145,112877,128988,116981,112337,138529,161039,178775
 "08000","Colorado",7,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",58200,54100,44000,30700,30500,34700,37100,44200,51000,42200,47900,50500,66500,110600,136573,112834,123319,123456,151921,171380,168491,194215,234572,257288,281601,272685,299920,334887,374536
 "08000","Colorado",7,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",57500,51600,41100,31800,29400,32400,37000,44800,49900,45000,45200,46500,53500,65300,76704,99165,99320,107862,114919,133032,137454,140690,160519,178808,191474,188364,203214,219282,233275
 "08000","Colorado",7,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",81700,75100,64100,52600,46900,52400,55300,60700,69500,69300,72100,74900,82400,88600,97060,102654,119016,165241,199926,213367,215884,234544,269096,287854,307017,315236,347402,388385,408443
 "08000","Colorado",7,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",19200,17900,16500,14400,12800,13400,13600,15000,15600,14900,15000,15500,15800,16100,17148,18257,20706,27293,29807,33903,36158,42384,48374,53925,59814,65043,73495,84507,90716
 "08000","Colorado",7,SAINC7H,800,"I","   Services","Thousands of dollars",39800,39600,35000,28400,25400,27000,28100,30800,34000,32500,33300,34900,36200,42500,47127,51377,59714,76977,88415,106363,109902,118350,132168,143542,155542,160954,181457,206497,226728
 "08000","Colorado",7,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",49383,51089,50888,48524,48293,60179,66595,82044,73384,77805,77597,80175,85684,143213,260551,260226,273912,193281,180501,178406,203065,240349,326576,374508,369763,413169,437299,485983,499034
 "08000","Colorado",7,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",12200,12700,12700,12000,14500,20000,22300,44300,33900,39179,37579,37757,38353,45413,69951,70426,73112,72254,69360,64584,70943,79263,118380,143378,134631,137015,142491,158919,159493
 "08000","Colorado",7,SAINC7H,920,"...","   Military","Thousands of dollars",1583,1489,1388,1424,1293,1179,1295,1444,1484,1726,2218,3218,6531,56300,147900,145500,151700,63327,42341,34937,43486,66532,103951,113472,106116,137014,139091,149805,139699
 "08000","Colorado",7,SAINC7H,930,"...","   State and local","Thousands of dollars",35600,36900,36800,35100,32500,39000,43000,36300,38000,36900,37800,39200,40800,41500,42700,44300,49100,57700,68800,78885,88636,94554,104245,117658,129016,139140,155717,177259,199842
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
