GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "98000","Far West",8,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",4181461,3961817,3377669,2702945,2555784,2918105,3235458,3741628,4201467,4148619,4356457,4721338,6090849,9163894,12664814,13807558,13628822,13209329,14107223,15129174,15125994,17332903,20654875,23029056,24666000,24960926,27187522,29920604,31655078
 "98000","Far West",8,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",220198,214544,164619,112856,99777,115702,126160,140486,173000,166681,173640,169672,206507,287705,388319,440200,469961,506796,538456,553746,521880,594112,633667,646701,643737,624203,619227,640800,650357
 "98000","Far West",8,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",3961263,3747273,3213050,2590089,2456007,2802403,3109298,3601142,4028467,3981938,4182817,4551666,5884342,8876189,12276495,13367358,13158861,12702533,13568767,14575428,14604114,16738791,20021208,22382355,24022263,24336723,26568295,29279804,31004721
 "98000","Far West",8,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",3473100,3230800,2681500,2088700,1944600,2211900,2459000,2861900,3299300,3198900,3376400,3682100,4756100,6868000,9028634,9693885,9136058,9809362,11109865,12004816,11783245,13199176,15486213,17063846,18539245,18823063,20760960,23032814,24438032
 "98000","Far West",8,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",19400,20000,18000,14900,14300,15100,18500,17300,23200,20500,20400,20600,24200,32300,34100,43000,47100,52400,67800,71898,72743,86216,93869,98198,99978,110225,99692,108328,105808
 "98000","Far West",8,SAINC7H,200,"B","   Mining","Thousands of dollars",86100,78800,60200,40700,40900,57600,65700,78800,93800,89400,90000,100600,106900,103300,110978,118430,118600,131445,149900,171747,168305,174336,201533,226122,248042,242330,259051,269449,269748
 "98000","Far West",8,SAINC7H,300,"C","   Construction","Thousands of dollars",189000,142800,95300,66200,68200,70100,85300,129900,132900,154800,170700,196400,347200,615200,626554,563930,523779,690744,908856,1114326,991435,1234156,1526629,1598507,1760836,1759946,1878197,2104674,2126807
 "98000","Far West",8,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",944300,837600,631900,448600,459700,576700,640900,762800,911900,818300,903700,1008400,1568000,3002000,4530778,4667488,3622069,2842686,3209453,3583243,3495889,4062756,5124799,5902839,6493729,6586962,7395234,8321200,8929967
 "98000","Far West",8,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",555000,511300,432500,338700,305100,337400,369600,420000,486800,457300,489300,516800,594100,736100,943413,1158356,1253848,1378118,1477840,1556066,1555720,1669745,1916142,2078479,2227697,2217034,2394533,2611842,2751534
 "98000","Far West",8,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",880300,875500,753600,600500,523200,583800,659000,760000,881100,883900,903300,1007600,1194500,1329000,1540435,1707908,1963167,2651450,3049600,3112626,3073369,3323869,3700694,3987352,4290899,4321944,4699435,5150954,5440682
 "98000","Far West",8,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",249900,229600,206100,177800,173800,173000,177400,194900,209200,214000,216000,222200,240500,253500,272767,297601,337804,468885,516816,573148,588998,681557,749670,802735,880484,956030,1082206,1209150,1276911
 "98000","Far West",8,SAINC7H,800,"I","   Services","Thousands of dollars",549100,535200,483900,401300,359400,398200,442600,498200,560400,560700,583000,609500,680700,796600,969609,1137172,1269691,1593634,1729600,1821762,1836786,1966541,2172877,2369614,2537580,2628592,2952612,3257217,3536575
 "98000","Far West",8,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",488163,516473,531550,501389,511407,590503,650298,739242,729167,783038,806417,869566,1128242,2008189,3247861,3673473,4022803,2893171,2458902,2570612,2820869,3539615,4534995,5318509,5483018,5513660,5807335,6246990,6566689
 "98000","Far West",8,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",93700,97400,98000,91900,114200,161100,165700,302100,262100,285822,288516,299210,367449,630489,1049061,1181973,1243803,1027165,859866,821254,894941,1125349,1485714,1675999,1601368,1550807,1655597,1765143,1785723
 "98000","Far West",8,SAINC7H,920,"...","   Military","Thousands of dollars",42463,44673,45350,44089,41107,42903,48198,51442,53767,58516,67801,102656,256693,845700,1635700,1891000,2106900,1058106,600436,587021,611035,946112,1414320,1802180,1822660,1685412,1670643,1708797,1704112
 "98000","Far West",8,SAINC7H,930,"...","   State and local","Thousands of dollars",352000,374400,388200,365400,356100,386500,436400,385700,413300,438700,450100,467700,504100,532000,563100,600500,672100,807900,998600,1162337,1314893,1468154,1634961,1840330,2058990,2277441,2481095,2773050,3076854
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
