GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "93000","Great Lakes",3,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",12752588,11013194,9008568,6811729,6502446,7885670,8714666,10134865,11401109,10057631,11016263,12044615,14941854,18643946,23452541,25088196,24476561,25158524,28979342,32177004,31426052,34835346,40400574,43228974,47600079,46078242,50410710,53745118,55421265
 "93000","Great Lakes",3,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",191920,166424,130283,92521,86543,92360,111143,131455,147000,144590,144707,151704,179569,216277,263182,281212,288744,322326,335301,371723,347649,333573,349489,334179,307913,282305,276822,279689,288367
 "93000","Great Lakes",3,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",12560668,10846770,8878285,6719208,6415903,7793310,8603523,10003410,11254109,9913041,10871556,11892911,14762285,18427669,23189359,24806984,24187817,24836198,28644041,31805281,31078403,34501773,40051085,42894795,47292166,45795937,50133888,53465429,55132898
 "93000","Great Lakes",3,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",11528800,9763400,7813500,5764500,5414700,6594700,7378700,8449800,9813600,8168100,9205900,10303000,13178400,16482000,20162762,21224693,20278474,21987693,26031704,28842098,27866895,31074962,35896283,38279910,42530412,40838083,44893343,47822519,49133972
 "93000","Great Lakes",3,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",11900,11400,12300,10000,8400,7700,9400,9200,12200,11800,12600,12800,14800,18400,19400,22700,23600,27400,30800,37003,37559,41327,47768,55346,57615,62346,65649,69221,73795
 "93000","Great Lakes",3,SAINC7H,200,"B","   Mining","Thousands of dollars",196200,162200,120800,76100,83700,106400,113100,134000,144600,121500,135500,152800,189000,222600,258349,276170,279500,297774,357600,411143,357877,399390,430922,409214,422473,383782,409004,448849,459051
 "93000","Great Lakes",3,SAINC7H,300,"C","   Construction","Thousands of dollars",648400,473800,306000,160800,115200,178500,216400,315600,348600,270000,335500,354500,598700,820800,709786,538791,602604,960481,1240913,1558846,1524532,1688563,2186556,2423050,2618816,2741559,2958075,3299864,3276704
 "93000","Great Lakes",3,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",5204500,4133200,3125600,2173400,2250800,2982600,3473100,4073900,4931600,3644300,4328200,5078500,7060200,9597600,12828347,13458153,11830456,11348054,13713337,15146572,14217242,16374094,19282845,20630062,23496616,21410071,24019479,25140906,25569568
 "93000","Great Lakes",3,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",1435700,1306300,1098600,838200,768500,839100,906700,1014900,1107600,1016200,1088000,1156900,1341800,1547200,1732916,1983004,2058107,2420853,2682334,2874256,2854081,3038814,3420670,3606080,3829858,3714274,3977132,4262751,4428987
 "93000","Great Lakes",3,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",2266700,2033600,1727500,1336200,1170000,1364700,1487500,1615500,1849300,1746100,1893100,2064500,2378300,2520100,2703955,2871122,3199035,4227086,4962551,5315185,5304373,5687665,6299371,6582969,7098109,7237345,7735508,8334063,8671693
 "93000","Great Lakes",3,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",624100,568500,498500,425300,357300,399000,419900,454800,500800,468100,475300,488100,519400,539300,561380,582731,637496,782207,856790,971797,1010146,1109988,1225506,1330807,1459390,1588950,1704258,1853811,1965889
 "93000","Great Lakes",3,SAINC7H,800,"I","   Services","Thousands of dollars",1141300,1074400,924200,744500,660800,716700,752600,831900,918900,890100,937700,994900,1076200,1216000,1348629,1492022,1647676,1923838,2187379,2527296,2561085,2735121,3002645,3242382,3547535,3699756,4024238,4413054,4688285
 "93000","Great Lakes",3,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",1031868,1083370,1064785,954708,1001203,1198610,1224823,1553610,1440509,1744941,1665656,1589911,1583885,1945669,3026597,3582291,3909343,2848505,2612337,2963183,3211508,3426811,4154802,4614885,4761754,4957854,5240545,5642910,5998926
 "93000","Great Lakes",3,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",156700,161200,161400,152100,226200,340300,322500,713900,555400,800019,713022,605760,549099,627369,897597,892991,877043,813141,736839,771934,842305,895957,1126814,1256400,1251690,1221419,1280453,1311996,1365362
 "93000","Great Lakes",3,SAINC7H,920,"...","   Military","Thousands of dollars",16368,16670,17385,17308,16003,12110,14123,16110,17109,17722,20334,28051,74886,336200,1094100,1588900,1821700,643564,281298,297832,300507,355734,667257,750851,673600,613404,623357,659835,627618
 "93000","Great Lakes",3,SAINC7H,930,"...","   State and local","Thousands of dollars",858800,905500,886000,785300,759000,846200,888200,823600,868000,927200,932300,956100,959900,982100,1034900,1100400,1210600,1391800,1594200,1893417,2068696,2175120,2360731,2607634,2836464,3123031,3336735,3671079,4005946
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
