GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "25000","Massachusetts",1,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",2389180,2193561,1949928,1549708,1453997,1630401,1772651,1938190,2078723,1913334,2053428,2190398,2731324,3400743,3995745,4164610,4152829,4250397,4550017,4948876,4877301,5323010,6032326,6233808,6624330,6589555,6943621,7490756,7813096
 "25000","Massachusetts",1,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",21212,21054,18179,14234,12218,11164,12016,13045,15000,15062,15968,15969,17957,21826,24829,25836,25887,27770,30572,37377,34883,36454,39054,37728,33010,29467,29936,29349,29827
 "25000","Massachusetts",1,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",2367968,2172507,1931749,1535474,1441779,1619237,1760635,1925145,2063723,1898272,2037460,2174429,2713367,3378917,3970916,4138774,4126942,4222627,4519445,4911499,4842418,5286556,5993272,6196080,6591320,6560088,6913685,7461407,7783269
 "25000","Massachusetts",1,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2156700,1952800,1705700,1317100,1227800,1347900,1443300,1567200,1735100,1542600,1686500,1826900,2281200,2780500,3158063,3211612,3208360,3632476,4020797,4355486,4199218,4580880,5118276,5225967,5594328,5569824,5901345,6400862,6647799
 "25000","Massachusetts",1,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",5900,6200,5300,3700,3200,3400,4100,4500,5600,5400,6000,6600,7400,10400,10400,11800,16000,19600,20500,26312,25190,27871,31670,31574,28234,28471,28489,29827,29504
 "25000","Massachusetts",1,SAINC7H,200,"B","   Mining","Thousands of dollars",1800,1500,1000,600,500,500,600,600,700,500,700,600,1700,3000,2707,2993,3700,4998,5900,3033,3078,3553,4033,4413,4721,4728,5407,6165,6377
 "25000","Massachusetts",1,SAINC7H,300,"C","   Construction","Thousands of dollars",101300,93000,84500,54300,32900,46500,44400,64400,67000,47700,57200,78000,96700,127300,88548,77811,89730,146467,176130,215301,217466,257240,294407,294467,302147,310454,355908,398495,401664
 "25000","Massachusetts",1,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",967200,830000,705300,506000,513900,561500,629800,687000,784100,629600,728400,800400,1122700,1517700,1882242,1865798,1745274,1803457,1990981,2136962,1958949,2179533,2510795,2572157,2780542,2614948,2763750,3001801,3072499
 "25000","Massachusetts",1,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",205700,193700,173600,143500,129900,138200,144600,155900,167200,161300,167000,173700,193200,216700,247560,275747,291458,335782,345956,372803,360669,374892,405431,427780,455802,467538,494198,526303,543463
 "25000","Massachusetts",1,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",458700,436300,382900,311300,278100,313800,332500,348000,382200,383500,400300,420100,490500,511900,522803,545792,602782,771824,868114,916512,919402,978573,1054184,1038201,1104774,1159806,1202372,1285134,1333313
 "25000","Massachusetts",1,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",135600,129300,122500,107500,98200,103500,100700,108700,114400,108600,114300,123800,133400,125900,132573,138674,144344,180256,195744,216432,224736,245345,268146,280079,300190,327523,348277,374454,400846
 "25000","Massachusetts",1,SAINC7H,800,"I","   Services","Thousands of dollars",280500,262800,230600,190200,171100,180500,186600,198100,213900,206000,212600,223700,235600,267600,271230,292997,315072,370092,417472,468131,489728,513873,549610,577296,617918,656356,702944,778683,860133
 "25000","Massachusetts",1,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",211268,219707,226049,218374,213979,271337,317335,357945,328623,355672,350960,347529,432167,598417,812853,927162,918582,590151,498648,556013,643200,705676,874996,970113,996992,990264,1012340,1060545,1135470
 "25000","Massachusetts",1,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",35600,36400,36600,34400,42500,63500,67300,160400,133900,153433,147329,139352,167568,245717,351953,338562,278982,194367,158769,158352,172717,180461,249936,288945,290052,268607,276845,288771,296843
 "25000","Massachusetts",1,SAINC7H,920,"...","   Military","Thousands of dollars",7068,7107,6649,6474,5679,5237,6335,6645,7223,7539,7931,13677,72499,166200,275600,402300,437400,166784,68979,77997,92390,112726,188580,218084,213802,201870,191909,199266,217417
 "25000","Massachusetts",1,SAINC7H,930,"...","   State and local","Thousands of dollars",168600,176200,182800,177500,165800,202600,243700,190900,187500,194700,195700,194500,192100,186500,185300,186300,202200,229000,270900,319664,378093,412489,436480,463084,493138,519787,543586,572508,621210
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
