GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "31000","Nebraska",4,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",358429,346555,306826,243946,220182,252249,263640,287585,295728,290598,294586,299926,331952,458795,614402,689974,723143,656584,731460,822944,853832,925818,1056767,1133131,1190299,1225190,1298988,1354612,1379614
 "31000","Nebraska",4,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",36364,34087,26259,17284,13236,14209,17022,18062,16000,16066,14970,15969,19952,28771,35753,38754,38831,42646,47337,47988,44884,44213,44968,43570,41842,39221,35933,34093,37378
 "31000","Nebraska",4,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",322065,312468,280567,226662,206946,238040,246618,269523,279728,274532,279616,283957,312000,430024,578649,651220,684312,613938,684123,774956,808948,881605,1011799,1089561,1148457,1185969,1263055,1320519,1342236
 "31000","Nebraska",4,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",269800,258200,226000,174400,155300,177000,181100,196300,207600,197300,204200,208500,236900,333000,398781,427985,439582,479041,559585,633425,654229,708324,808217,861096,914086,934872,989033,1029692,1046370
 "31000","Nebraska",4,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",300,300,300,300,300,200,200,200,200,200,200,200,200,400,400,900,1200,1100,1100,1609,2029,2290,2745,3248,3273,3618,3704,3228,3924
 "31000","Nebraska",4,SAINC7H,200,"B","   Mining","Thousands of dollars",900,800,700,700,600,400,500,500,500,400,500,600,800,1200,1103,1197,1200,1299,1300,1897,2006,3242,4812,6368,6620,8092,11176,11289,10881
 "31000","Nebraska",4,SAINC7H,300,"C","   Construction","Thousands of dollars",10800,12200,11500,6300,6700,10000,9800,10000,8600,8500,10800,9600,12400,46600,39410,19752,19707,30093,39407,51741,55159,58200,66961,67774,75221,83874,87320,89038,81945
 "31000","Nebraska",4,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",51500,50800,43600,32000,29100,36500,32700,36200,38200,35700,37500,39400,46700,77800,126445,142364,130821,102364,126318,141268,142826,157273,192018,217705,235048,234149,246801,263014,266075
 "31000","Nebraska",4,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",63200,58500,48400,36900,33600,37100,42200,47200,51300,47800,48500,48000,55300,68600,82620,97669,98319,104164,110018,124254,126292,133425,153909,164398,173736,169158,175954,183424,186707
 "31000","Nebraska",4,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",82500,77200,70400,54800,48600,53800,55300,59300,63100,61100,61800,64400,72300,78000,85530,95072,110815,149646,178323,191774,196400,212544,234810,241513,246707,253700,266620,271881,276438
 "31000","Nebraska",4,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",23500,23600,20500,18400,14100,15600,16300,16700,17200,16800,17300,17400,18900,19600,21059,22647,24708,30393,33507,39407,43067,48415,53224,57203,64914,70076,72981,76848,81868
 "31000","Nebraska",4,SAINC7H,800,"I","   Services","Thousands of dollars",37100,34800,30600,25000,22300,23400,24100,26200,28500,26800,27600,28900,30300,40800,42214,48384,52812,59982,69612,81475,86450,92935,99738,102887,108567,112205,124477,130970,138532
 "31000","Nebraska",4,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",52265,54268,54567,52262,51646,61040,65518,73223,72128,77232,75416,75457,75100,97024,179868,223235,244730,134897,124538,141531,154719,173281,203582,228465,234371,251097,274022,290827,295866
 "31000","Nebraska",4,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",11500,11800,12000,11400,14400,20600,21800,35100,33600,38379,36979,36962,35262,41124,61968,66535,66230,50061,44654,46153,50424,60855,74259,83525,82866,83944,84459,85181,78876
 "31000","Nebraska",4,SAINC7H,920,"...","   Military","Thousands of dollars",2365,2368,2267,1262,1946,2040,2418,2623,2728,2853,2737,1895,2738,18400,77400,112800,130200,26636,12984,14120,15012,17480,25372,31728,31382,38199,52075,57536,59084
 "31000","Nebraska",4,SAINC7H,930,"...","   State and local","Thousands of dollars",38400,40100,40300,39600,35300,38400,41300,35500,35800,36000,35700,36600,37100,37500,40500,43900,48300,58200,66900,81258,89283,94946,103951,113212,120123,128954,137488,148110,157906
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
