GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "34000","New Jersey",2,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",2372856,2214235,1900915,1506468,1352140,1530706,1647793,1881234,2064352,1936311,2103672,2388077,2950140,3799503,4637581,4980684,4840477,4883030,5288201,5289162,5210594,5686139,6663772,7237564,7791895,7813521,8264435,8908727,9432326
 "34000","New Jersey",2,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",24242,24061,20199,18301,14254,12179,14018,16055,19000,20082,19960,20959,23942,31747,37739,38754,42814,46613,50295,47172,44316,46200,49200,46649,45759,46177,46655,45367,42821
 "34000","New Jersey",2,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",2348614,2190174,1880716,1488167,1337886,1518527,1633775,1865179,2045352,1916229,2083712,2367118,2926198,3767756,4599842,4941930,4797663,4836417,5237906,5241990,5166278,5639939,6614572,7190915,7746136,7767344,8217780,8863360,9389505
 "34000","New Jersey",2,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2150100,1985100,1661600,1280400,1149200,1309300,1420500,1589000,1776900,1627500,1792700,2071500,2604600,3331100,3970395,4202457,3980499,4207676,4722006,4679961,4577597,5021581,5849410,6302890,6802414,6784794,7230161,7840188,8273769
 "34000","New Jersey",2,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",4400,4500,4200,2600,2200,1900,2500,2500,3200,2900,3000,3200,3400,4200,4600,5200,5800,6700,7400,10365,10905,13117,14371,15249,17371,16987,17269,18896,18053
 "34000","New Jersey",2,SAINC7H,200,"B","   Mining","Thousands of dollars",9200,10000,6400,3300,2600,3300,3600,4800,7100,5100,5900,6900,8400,9900,10326,10077,10000,11395,12700,12662,12853,14372,17583,18588,20593,19427,20501,23902,25871
 "34000","New Jersey",2,SAINC7H,300,"C","   Construction","Thousands of dollars",179100,140600,105900,60400,40700,42000,51200,82000,77400,57100,70500,86800,122300,189800,135680,120407,118740,200255,246542,275681,273938,311546,411617,409869,432103,466302,495893,545072,543972
 "34000","New Jersey",2,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",955800,864000,685400,518800,474500,576900,642200,719900,832500,724400,845000,1028600,1413400,1977200,2569420,2681773,2365771,2223307,2481651,2475251,2325958,2593252,3074776,3357388,3633075,3466558,3681828,3999632,4147445
 "34000","New Jersey",2,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",253000,242900,210400,169300,152300,162400,170000,181700,194800,185000,198900,230300,263100,308300,369184,442652,454290,485830,492580,475311,469728,488512,559237,604762,644984,650400,693013,755906,806481
 "34000","New Jersey",2,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",344600,334400,301800,234200,215500,245500,261000,284800,323100,327900,333900,365100,419500,430900,448002,476957,527372,691852,813307,767916,793912,847136,936924,1009884,1092912,1151900,1214440,1289520,1397164
 "34000","New Jersey",2,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",140300,136300,126000,108900,99100,101800,105400,114500,122000,116600,120000,124600,131200,137000,138490,142066,150746,180556,202445,192026,200261,218380,235627,251424,272967,298854,318893,347492,381725
 "34000","New Jersey",2,SAINC7H,800,"I","   Services","Thousands of dollars",263700,252400,221500,182900,162300,175500,184600,198800,216800,208500,215500,226000,243300,273800,294693,323325,347780,407781,465381,470749,490042,535266,599275,635726,688409,714366,788324,859768,953058
 "34000","New Jersey",2,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",198514,205074,219116,207767,188686,209227,213275,276179,268452,288729,291012,295618,321598,436656,629447,739473,817164,628741,515900,562029,588681,618358,765162,888025,943722,982550,987619,1023172,1115736
 "34000","New Jersey",2,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",20200,21300,21200,19900,27200,46700,45600,114500,97900,113661,103260,95917,94788,129756,213747,212773,208164,163864,128899,131252,142954,159612,203935,237955,236869,229949,238840,244627,260497
 "34000","New Jersey",2,SAINC7H,920,"...","   Military","Thousands of dollars",12014,10874,10716,10167,6986,5427,6675,7179,6552,5868,6152,15201,41910,122800,227600,332800,408200,238577,133501,143505,129228,121120,190053,238250,250145,247590,205481,182611,191035
 "34000","New Jersey",2,SAINC7H,930,"...","   State and local","Thousands of dollars",166300,172900,187200,177700,154500,157100,161000,154500,164000,169200,181600,184500,184900,184100,188100,193900,200800,226300,253500,287272,316499,337626,371174,411820,456708,505011,543298,595934,664204
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
