GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "45000","South Carolina",5,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",263499,245116,209272,169386,186487,217697,231546,266362,296041,281092,314548,373913,528999,768144,914038,987433,972959,878772,972125,1120839,1096649,1218754,1540122,1746884,1817825,1735830,1809979,1924614,1992596
 "45000","South Carolina",5,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",12121,12031,9090,7117,7127,8120,10013,11038,12000,12049,13972,12975,11971,18850,24829,27823,28874,31737,32544,34843,32672,34356,37701,38102,37218,33184,37713,39255,39357
 "45000","South Carolina",5,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",251378,233085,200182,162269,179360,209577,221533,255324,284041,269043,300576,360938,517028,749294,889209,959610,944085,847035,939581,1085996,1063977,1184398,1502421,1708782,1780607,1702646,1772266,1885359,1953239
 "45000","South Carolina",5,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",219200,199900,165600,129500,138500,163400,171400,193900,223900,200700,224100,253400,336600,415900,450020,472184,508490,629088,754711,866777,847343,948266,1106019,1280929,1362691,1268027,1341545,1430434,1472250
 "45000","South Carolina",5,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1400,1100,1000,700,800,900,900,800,1000,800,800,800,800,1100,1100,1300,1200,1500,1500,2111,2255,2403,3149,3429,3703,3843,3991,4344,4255
 "45000","South Carolina",5,SAINC7H,200,"B","   Mining","Thousands of dollars",1500,1400,1000,500,600,600,800,900,1400,1000,1200,1100,1500,1600,1504,1397,1400,1899,2400,3874,3746,4401,5194,5590,5489,5103,5727,6387,5495
 "45000","South Carolina",5,SAINC7H,300,"C","   Construction","Thousands of dollars",10400,9600,7200,3600,1200,2200,3200,5800,8000,8300,10500,16400,33400,35400,23566,14964,14005,28394,41707,52757,46634,52373,102603,218270,224320,137782,93803,95542,94879
 "45000","South Carolina",5,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",89100,80500,63500,50700,67100,80000,81800,94400,112100,94000,107900,120000,163000,217700,242864,249412,261041,318786,397656,467555,444397,506231,566024,583235,631469,624486,695349,732890,744106
 "45000","South Carolina",5,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",28700,26700,23300,17800,16300,16800,17600,19300,21400,20200,21700,24100,29000,37300,44218,52376,55311,63478,62010,69841,69775,74979,85656,92534,97498,95103,100024,107352,114951
 "45000","South Carolina",5,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",39400,36500,32800,26400,25500,32000,33900,37200,41500,40900,43500,47800,57800,61300,66478,74322,87312,117658,139518,148759,154279,168967,189822,211210,220614,219166,238699,253417,258921
 "45000","South Carolina",5,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",9700,8800,7500,6400,6000,7000,7600,7700,7800,6800,7900,8800,9700,10200,10429,11174,12904,17296,20004,24231,27332,31888,36438,42456,49143,51615,57157,66026,71763
 "45000","South Carolina",5,SAINC7H,800,"I","   Services","Thousands of dollars",39000,35300,29300,23400,21000,23900,25600,27800,30700,28700,30600,34400,41400,51300,59861,67239,75317,80077,89916,97649,98925,107024,117133,124205,130455,130929,146795,164476,177880
 "45000","South Carolina",5,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",32178,33185,34582,32769,40860,46177,50133,61424,60141,68343,76476,107538,180428,333394,439189,487426,435595,217947,184870,219219,216634,236132,396402,427853,417916,434619,430721,454925,480989
 "45000","South Carolina",5,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",10000,10300,10300,9800,14700,19100,19500,33300,28900,35782,41780,49449,71605,104794,146589,151126,118495,71241,53868,50710,54975,64788,89300,98953,93252,94701,102488,112638,115293
 "45000","South Carolina",5,SAINC7H,920,"...","   Military","Thousands of dollars",3578,3985,4282,4769,4160,4177,6133,7824,8241,8161,8596,30689,76923,195500,257600,298900,275400,95106,67502,93325,79582,84167,209117,216369,199093,205651,187925,192540,202524
 "45000","South Carolina",5,SAINC7H,930,"...","   State and local","Thousands of dollars",18600,18900,20000,18200,22000,22900,24500,20300,23000,24400,26100,27400,31900,33100,35000,37400,41700,51600,63500,75184,82077,87177,97985,112531,125571,134267,140308,149747,163172
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
