GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "55000","Wisconsin",3,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",1163142,1026630,852904,664449,626260,736016,819540,942166,1036026,959615,1005808,1069094,1278140,1609815,2005292,2119341,2165459,2235035,2610242,2933474,2907515,3217198,3745468,3970962,4177959,4097138,4433256,4775005,4939381
 "55000","Wisconsin",3,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",46465,38097,30298,21351,20363,22329,25032,31108,32000,32131,30937,32936,40902,50597,61575,70551,70693,74383,76922,80500,75060,70724,72071,70993,64861,58071,54650,55602,55110
 "55000","Wisconsin",3,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1116677,988533,822606,643098,605897,713687,794508,911058,1004026,927484,974871,1036158,1237238,1559218,1943717,2048790,2094766,2160652,2533320,2852974,2832455,3146474,3673397,3899969,4113098,4039067,4378606,4719403,4884271
 "55000","Wisconsin",3,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",1004100,870200,697100,519500,473600,557300,635700,718400,824600,727000,783500,853700,1068600,1365700,1630931,1767920,1770206,1904550,2278336,2568449,2519095,2811270,3250257,3441370,3663728,3562382,3876442,4185903,4304055
 "55000","Wisconsin",3,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1400,1200,1400,1100,1000,900,1300,1200,1500,1300,1400,1400,1700,2300,2600,3000,3500,3400,3600,4154,4502,4922,5551,6225,6727,7350,7212,7759,8241
 "55000","Wisconsin",3,SAINC7H,200,"B","   Mining","Thousands of dollars",4800,4300,2900,1600,1200,1900,2000,2900,3800,3100,3000,3000,3800,4400,5414,5887,6400,7997,9100,9777,10260,11549,14015,15970,17333,16383,18144,19819,20083
 "55000","Wisconsin",3,SAINC7H,300,"C","   Construction","Thousands of dollars",65200,62900,41400,25400,14300,19500,25200,35900,32600,25800,36300,30900,37400,78500,51544,55266,68623,90979,114620,141170,150347,171194,207168,212837,228471,221218,262757,287857,282327
 "55000","Wisconsin",3,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",487100,382700,286500,192000,199300,249300,298500,342400,415700,340300,371000,428300,589600,808500,1060798,1135621,1066167,1018637,1241175,1389312,1296649,1489203,1777618,1896606,2011803,1882129,2058255,2241762,2271246
 "55000","Wisconsin",3,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",119300,111900,92200,71400,64500,69700,75100,82800,89500,84900,90800,93000,107600,117400,127941,147451,156131,190233,213435,250514,252056,262320,288735,306741,322247,314717,330251,352181,366877
 "55000","Wisconsin",3,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",187600,175200,157800,132000,110100,124300,135600,146400,165500,158900,163500,174800,198000,209700,223801,245512,279438,370167,438958,478386,491537,534285,589123,607515,641889,659469,708893,746588,786227
 "55000","Wisconsin",3,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",46400,45000,40600,34900,28900,31900,34100,36400,37600,35900,37100,37700,40500,43000,44826,48686,52616,63784,72716,83352,87901,98061,108442,117483,128126,138350,146944,159078,170737
 "55000","Wisconsin",3,SAINC7H,800,"I","   Services","Thousands of dollars",92300,87000,74300,61100,54300,59800,63900,70400,78400,76800,80400,84600,90000,101900,114007,126497,137331,159353,184732,211784,225843,239736,259605,277993,307132,322766,343986,370859,398317
 "55000","Wisconsin",3,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",112577,118333,125506,123598,132297,156387,158808,192658,179426,200484,191371,182458,168638,193518,312786,280870,324560,256102,254984,284525,313360,335204,423140,458599,449370,476685,502164,533500,580216
 "55000","Wisconsin",3,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",18800,19300,19700,18600,32800,43900,39400,83100,64900,82367,74669,66342,58143,48518,53886,52470,54560,57459,55286,54629,59871,60180,69270,78159,78300,79848,83063,84200,92738
 "55000","Wisconsin",3,SAINC7H,920,"...","   Military","Thousands of dollars",1277,1233,1306,898,597,787,1008,1258,1326,917,902,916,795,34000,142700,105600,136100,41643,17098,17546,18735,25597,80801,76625,46225,48115,46902,53500,55767
 "55000","Wisconsin",3,SAINC7H,930,"...","   State and local","Thousands of dollars",92500,97800,104500,104100,98900,111700,118400,108300,113200,117200,115800,115200,109700,111000,116200,122800,133900,157000,182600,212350,234754,249427,273069,303815,324845,348722,372199,395800,431711
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
