GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "56000","Wyoming",7,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",93782,87298,72843,58258,54562,64161,73081,81602,86571,84599,84207,83494,107162,139678,166952,185902,188113,186576,222113,265604,280553,285710,318553,351327,367263,360508,375753,410061,411621
 "56000","Wyoming",7,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",11111,10026,7070,5084,5091,6090,8010,9031,8000,8033,7984,5988,10974,12897,13904,14905,16926,18844,23668,22232,20772,20075,22384,22411,22924,21179,20829,20915,21518
 "56000","Wyoming",7,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",82671,77272,65773,53174,49471,58071,65071,72571,78571,76566,76223,77506,96188,126781,153048,170997,171187,167732,198445,243372,259781,265635,296169,328916,344339,339329,354924,389146,390103
 "56000","Wyoming",7,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",70400,64600,53400,41400,36500,40900,47600,53100,59600,56600,56500,57600,68600,84600,101971,115926,120118,135852,162821,195174,199479,201304,223835,245137,260038,251979,258278,275741,285621
 "56000","Wyoming",7,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,179,176,231,254,200,202,181,238,321
 "56000","Wyoming",7,SAINC7H,200,"B","   Mining","Thousands of dollars",21300,19800,15100,10300,8600,10900,12600,14300,16300,13800,11700,11700,13900,16700,21654,25841,28200,25689,30800,38601,37352,34946,42027,45446,50319,46400,46265,48345,48950
 "56000","Wyoming",7,SAINC7H,300,"C","   Construction","Thousands of dollars",2600,1700,1400,1100,900,1400,1800,2500,3000,4900,4100,3800,5700,9300,10429,8479,5902,9998,16303,23243,24820,24008,23521,27060,25040,24608,26401,31751,35211
 "56000","Wyoming",7,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",7400,7000,5700,4700,3900,4200,4900,5400,6300,5000,6000,6500,7200,8900,10128,12171,13302,15195,18903,21778,22081,22716,25578,27873,31077,31349,31769,33947,34828
 "56000","Wyoming",7,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",18500,16700,13700,10400,10000,10800,12900,14500,16400,15500,16200,16100,20500,27300,35896,42699,42108,41885,45207,47944,47692,48745,55645,60293,61959,56308,55403,57529,58870
 "56000","Wyoming",7,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",12600,11800,10600,9200,7800,8300,9600,10300,11500,11400,12000,12400,13900,13000,14138,16261,18803,26990,32104,42763,46208,48133,52133,56634,61349,61020,63746,66938,68847
 "56000","Wyoming",7,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",2000,1800,1800,1700,1600,1600,1500,1400,1400,1500,1700,2000,1800,2100,2206,2295,2401,3399,4201,4894,5372,6320,6951,7680,8477,9040,9886,10003,10965
 "56000","Wyoming",7,SAINC7H,800,"I","   Services","Thousands of dollars",6000,5800,5100,4000,3700,3700,4300,4700,4700,4500,4800,5100,5600,7300,7520,8180,9402,12696,15203,15936,15775,16260,17749,19897,21617,23052,24627,26990,27629
 "56000","Wyoming",7,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",12271,12672,12373,11774,12971,17171,17471,19471,18971,19966,19723,19906,27588,42181,51077,55071,51069,31880,35624,48198,60302,64331,72334,83779,84301,87350,96646,113405,104482
 "56000","Wyoming",7,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",4100,4200,3900,3700,5000,7000,6800,9600,8100,9093,8593,9286,9585,9381,10877,11871,11969,11553,12657,19283,21354,21069,23359,25613,25843,25766,28048,32164,31497
 "56000","Wyoming",7,SAINC7H,920,"...","   Military","Thousands of dollars",2371,2472,2473,2174,2171,2271,2471,2671,3271,3073,3330,2520,9103,23800,30600,32800,26600,6027,7467,10424,18193,20873,24120,30654,27924,27685,30655,38477,27066
 "56000","Wyoming",7,SAINC7H,930,"...","   State and local","Thousands of dollars",5800,6000,6000,5900,5800,7900,8200,7200,7600,7800,7800,8100,8900,9000,9600,10400,12500,14300,15500,18491,20755,22389,24855,27512,30534,33899,37943,42764,45919
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
