GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",68510384,72496956,78195987,80744831,79812306,81417763,85974140,89732106,94440674,100686169,101543163,96173489,97781547,101498661,104234886,105453736,108999698,112382932,113352883,114780171,116965777,120251442,120128559,128499204
 "09000","Connecticut",1,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",104763,97060,114580,119985,152944,135980,130777,104159,115245,132390,121605,117629,112296,97644,146085,148921,157786,128275,145739,120126,114832,92148,88555,93507
 "09000","Connecticut",1,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",68405621,72399896,78081407,80624846,79659362,81281783,85843363,89627947,94325429,100553779,101421558,96055860,97669251,101401017,104088801,105304815,108841912,112254657,113207144,114660045,116850945,120159294,120040004,128405697
 "09000","Connecticut",1,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",59359642,63036543,68085865,69894367,68451200,69817573,74022528,77404355,81699139,87134337,87335395,81802532,83666686,87236734,90015407,91025101,94178073,97091707,98052481,99476641,101568156,104701820,104314381,112441029
 "09000","Connecticut",1,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",17683,17504,19272,14616,14746,15318,15971,15933,17331,17785,17241,17064,16477,16397,16761,17511,18578,19621,20047,19199,19394,19793,(D),(D)
 "09000","Connecticut",1,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",(T),1811,1821,789,793,935,1013,682,609,296,178,107,114,192,71,(D),96,164,213,226,235,175,(D),(NA)
 "09000","Connecticut",1,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),3394,2430,2142,2175,2272,2218,2496,2594,2285,2679,2937,3313,3738,(D),3299,3336,3553,3299,2698,1867,(D),(NA)
 "09000","Connecticut",1,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",11412,12084,14057,11397,11811,12208,12686,13033,14226,14895,14778,14278,13426,12892,12952,13915,15183,16121,16281,15674,16461,17751,17614,(NA)
 "09000","Connecticut",1,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",34810,39464,38192,36665,37585,39405,39532,40577,45268,43652,47286,40573,38839,37323,35751,35186,38425,39446,39948,41252,39537,40264,(D),(D)
 "09000","Connecticut",1,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",413,379,521,0,0,0,(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,(NA)
 "09000","Connecticut",1,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",31971,36407,35466,(D),36270,38494,37966,39442,42890,41286,43990,38224,35056,32146,31607,30816,33439,35431,37844,37458,37553,38293,31180,(NA)
 "09000","Connecticut",1,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",2426,2678,2205,(D),1315,911,(D),(D),(D),(D),(D),(D),(D),5177,4144,4370,4986,4015,2104,3794,1984,1971,(D),(NA)
 "09000","Connecticut",1,SAINC7N,300,"22","   Utilities","Thousands of dollars",658247,684872,733372,722549,666355,706549,843161,752176,647836,702054,740491,708693,653252,688439,651229,670541,661439,656047,630413,662811,679520,697525,706088,646057
 "09000","Connecticut",1,SAINC7N,400,"23","   Construction","Thousands of dollars",2516047,2733093,3060635,3261903,3177180,3090783,3388778,3506780,3666294,3949530,3895425,3248991,3016292,3083978,3142839,3271081,3496634,3817862,4033907,4110828,4197262,4437746,4409924,4916393
 "09000","Connecticut",1,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",553800,628297,670984,718462,725665,725351,789675,815554,854462,915129,878216,705794,640409,661801,670001,683538,727474,796887,807986,821499,833079,872261,857402,(NA)
