GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11000","District of Columbia",2,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",30716053,33322139,35400343,37606349,39513974,41349450,44273694,46640747,49272216,52013827,54374562,55104578,57869208,59787184,61162084,62193842,64688078,67679818,70061013,72982450,76564208,78667174,80052875,84305239
 "11000","District of Columbia",2,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",30716053,33322139,35400343,37606349,39513974,41349450,44273694,46640747,49272216,52013827,54374562,55104578,57869208,59787184,61162084,62193842,64688078,67679818,70061013,72982450,76564208,78667174,80052875,84305239
 "11000","District of Columbia",2,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",17858096,19868665,21767362,23032426,23825363,24747303,26619662,28006468,30115270,32302311,33550440,32882160,33896306,35578350,37259782,38493231,40396045,42724988,44216494,46367954,48891686,50861314,51275706,54145386
 "11000","District of Columbia",2,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",(T),(T),(T),(D),(D),0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",(T),(T),(T),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",7855,9742,(T),(D),(D),6984,3757,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",6084,7642,(T),7534,7234,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",(T),(T),(T),1322,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",0,(T),(T),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAINC7N,300,"22","   Utilities","Thousands of dollars",102823,135973,160007,(D),(D),176612,182485,197629,205442,213127,224231,230627,156255,167050,169528,185945,188899,206670,214064,228491,265779,241228,(D),(D)
 "11000","District of Columbia",2,SAINC7N,400,"23","   Construction","Thousands of dollars",385015,415560,481270,524400,594195,634231,629982,(D),691073,714940,750424,682508,675768,791256,891756,909152,955867,954579,1008078,(D),1147745,1119040,1187771,1285368
 "11000","District of Columbia",2,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",146945,162523,187738,194464,227396,244595,240815,252602,262870,266740,265999,244609,265100,283125,312488,309684,308805,321642,313814,330992,348968,358305,365208,(NA)
 "11000","District of Columbia",2,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",97843,107212,119295,124583,141955,144264,129045,(D),146549,134884,133264,132743,148210,168042,181752,182448,202738,183308,206556,(D),219957,220339,230223,(NA)
 "11000","District of Columbia",2,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",140227,145825,174237,205353,224844,245372,260122,266870,281654,313316,351161,305156,262458,340089,397516,417020,444324,449629,487708,570874,578820,540396,592340,(NA)
 "11000","District of Columbia",2,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",189191,209292,214817,219471,(D),170998,183057,161860,139808,130011,125603,115534,107493,109171,104715,110823,98338,105793,113776,(D),124407,119224,(D),(D)
 "11000","District of Columbia",2,SAINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",68091,80598,84607,100019,(D),81078,90677,71300,59316,45308,45780,41299,37108,35328,35174,36946,34509,41513,52528,(D),61450,56535,(D),(D)
 "11000","District of Columbia",2,SAINC7N,511,"321","     Wood product manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",(T),(T),(T),4546,4641,5045,5484,6106,(D),4920,4801,4233,3341,3907,4454,4887,6009,7418,8288,7896,6869,6930,6982,(NA)
