GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",210272378,222634968,236918335,242225035,242962271,245880657,256636045,267015631,282717712,297875054,303356416,286703028,290793786,302711458,314743587,320099420,333327916,350186751,356090933,368009525,382924493,394608786,394160841,424748477
 "17000","Illinois",3,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",346574,328607,326409,357854,336369,430041,516201,432304,383463,480898,495257,436122,411619,527601,435681,389505,419187,469348,470210,411259,426833,409582,431411,455538
 "17000","Illinois",3,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",209925804,222306361,236591926,241867181,242625902,245450616,256119844,266583327,282334249,297394156,302861159,286266906,290382167,302183857,314307906,319709915,332908729,349717403,355620723,367598266,382497660,394199204,393729430,424292939
 "17000","Illinois",3,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",181353485,192416375,205083022,208858782,207682880,209820938,219133819,228527420,243196883,256948451,260702797,242772322,246291584,258033083,269482311,274332569,287258414,303319772,309030380,320030570,333787308,344111682,342556550,372609101
 "17000","Illinois",3,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",94260,85856,89631,99462,96270,96436,95628,103557,105756,119464,132898,131836,115641,120641,131068,131896,179208,181094,187506,202739,207817,212160,222896,267842
 "17000","Illinois",3,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",(T),(T),(T),2622,2952,2932,2532,3520,4708,5342,5311,3076,2749,2169,1854,2097,2421,2565,3088,2769,2660,3095,2925,(NA)
 "17000","Illinois",3,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),2418,2633,2473,2465,2534,2588,2686,2997,2957,3052,2956,3527,957,1007,1049,1020,987,1005,975,997,(NA)
 "17000","Illinois",3,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",88286,79470,83536,94422,90685,91031,90631,97503,98460,111436,124590,125803,109840,115516,125687,128842,175780,177480,183398,198983,204152,208090,218974,(NA)
 "17000","Illinois",3,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",517308,512068,481961,508065,504090,483548,496704,546064,586988,609735,596617,572709,616088,630639,685306,683938,731051,703275,616086,597936,616276,664913,537866,545641
 "17000","Illinois",3,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",24264,20219,25170,28661,27397,20675,21908,25554,29265,30829,39066,34791,37695,38086,46214,56775,60514,52368,40289,36887,37047,62640,51061,(NA)
 "17000","Illinois",3,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",456232,458675,415610,430026,433946,421203,428046,467241,492158,504153,460969,448432,489876,492752,524335,514799,548365,539355,495695,484596,506063,512522,420816,(NA)
 "17000","Illinois",3,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",36812,33174,41181,49378,42747,41670,46750,53269,65565,74753,96582,89486,88517,99801,114757,112364,122172,111552,80102,76453,73166,89751,65989,(NA)
 "17000","Illinois",3,SAINC7N,300,"22","   Utilities","Thousands of dollars",2138787,2283339,2342788,2342323,2275346,1995219,2032224,2124907,2191292,2274823,2405877,2336140,2278074,2459026,2573344,2545055,2712416,2793143,2898275,2980998,2999852,3155414,3127334,3046732
 "17000","Illinois",3,SAINC7N,400,"23","   Construction","Thousands of dollars",10671817,11787034,12949825,13729770,13936856,14113198,14153465,14693660,15940356,16134338,16304380,13684932,12280662,12227636,11929133,12376752,13600903,15076036,15749777,16259408,16898263,17507175,17258499,19008501
 "17000","Illinois",3,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",2192311,2385981,2644966,2800944,2915386,2968014,3034405,3223994,3401583,3389657,3393942,2934871,2821524,2620851,2259549,2327642,2589067,2802383,2989849,3150813,3379711,3479629,3525186,(NA)
 "17000","Illinois",3,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1310666,1456792,1580282,1683475,1741345,1880961,1783139,1874547,2096975,2222002,2467459,2135553,1769705,1835664,1910296,2008241,2239837,2699585,2561937,2478357,2570992,2719622,2863017,(NA)
 "17000","Illinois",3,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",7168840,7944261,8724577,9245351,9280125,9264223,9335921,9595119,10441798,10522679,10442979,8614508,7689433,7771121,7759288,8040869,8771999,9574068,10197991,10630238,10947560,11307924,10870296,(NA)
 "17000","Illinois",3,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",36808966,37089202,37859974,36255938,34580565,33888199,34717585,35550509,36844628,38127899,38020584,33327982,34219411,36196221,37810697,37925988,39380197,40952803,40600739,41684617,43502623,43974831,42852913,46010530
 "17000","Illinois",3,SAINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",23842310,23771339,24069232,22694708,21033511,20414384,21181891,21922017,23065581,23777561,23715248,19905733,20278357,22162833,23309878,23051998,23493449,23862950,23656886,24101648,25354488,25612255,24069716,25105450
 "17000","Illinois",3,SAINC7N,511,"321","     Wood product manufacturing","Thousands of dollars",302230,324907,331163,323397,329783,328767,316134,331609,338729,333471,309528,236184,226545,221901,220538,236114,250213,294048,269374,287528,307977,324184,327335,(NA)
 "17000","Illinois",3,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",841777,888345,892754,869442,781620,791248,817989,868407,910466,868013,828753,692416,679587,725721,748056,775481,833983,925078,941742,998658,989794,980303,1016400,(NA)
 "17000","Illinois",3,SAINC7N,513,"331","     Primary metal manufacturing","Thousands of dollars",1745766,1707641,1703147,1457797,1207653,1187599,1275707,1305580,1393883,1335741,1355636,1004562,1086650,1245397,1300140,1270088,1319603,1290382,1159988,1220987,1369305,1423477,1281209,(NA)
 "17000","Illinois",3,SAINC7N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",5042683,5113838,5284756,5105633,4894297,4778361,4977265,5032015,5286896,5490653,5387901,4402823,4605838,5041297,5215361,5071311,5302923,5385420,5299739,5512182,5713526,5759789,5430525,(NA)
 "17000","Illinois",3,SAINC7N,515,"333","     Machinery manufacturing","Thousands of dollars",6076471,5945273,5772701,5430144,4993270,4779689,5094841,5668946,6119701,6409180,6544084,5573766,5591858,6375667,6736259,6287015,6468336,6228073,5940689,5972514,6496718,6417446,5844450,(NA)
 "17000","Illinois",3,SAINC7N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",3692615,3381648,3455266,3205104,2773276,2636004,2586483,2608629,2627964,2671871,2704637,2471248,2441620,2516376,2538131,2584069,2526890,2560697,2528099,2560111,2592917,2709774,2664493,(NA)
 "17000","Illinois",3,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",1703712,1812532,1898130,1784499,1637791,1486063,1478106,1468607,1515468,1546851,1614261,1384951,1365717,1461821,1508698,1610652,1528304,1577036,1599281,1637912,1683095,1656630,1719994,(NA)
 "17000","Illinois",3,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",1944297,2047438,2109262,1912415,1902336,1859755,1956607,1942632,2013043,2023726,1800397,1321784,1455024,1729757,1936878,1988458,2087536,2305528,2252755,2276356,2601334,2633156,2300733,(NA)
 "17000","Illinois",3,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",307945,289079,268772,267927,251376,255295,283224,292150,303921,357217,359840,297810,295493,329933,363495,356498,383940,404999,379910,382934,416042,434013,472262,(NA)
 "17000","Illinois",3,SAINC7N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",643226,682741,720276,706466,684745,700042,685765,691479,709039,712951,694489,566862,554846,560602,558564,565206,580807,609564,641373,654880,671790,649005,623013,(NA)
 "17000","Illinois",3,SAINC7N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",1541588,1577897,1633005,1631884,1577364,1611561,1709770,1711963,1846471,2027887,2115722,1953327,1975179,1954361,2183758,2307106,2210914,2282125,2643936,2597586,2511990,2624478,2389302,(NA)
 "17000","Illinois",3,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",12966656,13317863,13790742,13561230,13547054,13473815,13535694,13628492,13779047,14350338,14305336,13422249,13941054,14033388,14500819,14873990,15886748,17089853,16943853,17582969,18148135,18362576,18783197,20905080
 "17000","Illinois",3,SAINC7N,531,"311","     Food manufacturing","Thousands of dollars",3051925,3135507,3304033,3270671,3399022,3482990,3417418,3486450,3482411,3698471,3769319,3799843,3870825,3940931,4086990,4133806,4429875,4611043,4864050,5111407,5171177,5294260,5624182,(NA)
 "17000","Illinois",3,SAINC7N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",299416,334019,373243,414969,398734,323335,374424,355495,351792,377554,362859,262099,271787,259197,270311,272616,282457,310441,351626,380970,364032,372432,365790,(NA)
 "17000","Illinois",3,SAINC7N,533,"313","     Textile mills","Thousands of dollars",72137,72414,72984,70758,61668,53428,50806,50112,49371,49547,50836,42770,39119,39373,38364,41307,42445,50496,49487,50614,52882,51319,48394,(NA)
 "17000","Illinois",3,SAINC7N,534,"314","     Textile product mills","Thousands of dollars",115381,121730,126421,123409,120702,122094,112450,114839,116471,119999,111523,99741,96861,99156,97628,98997,105554,114507,115680,120999,122980,124295,119478,(NA)
 "17000","Illinois",3,SAINC7N,535,"315","     Apparel manufacturing","Thousands of dollars",235277,216623,221196,209019,191298,160432,163064,155477,151728,146773,129061,110666,108857,129149,127058,122770,126445,135206,137991,148859,164150,165761,158961,(NA)
 "17000","Illinois",3,SAINC7N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",94530,93746,88346,81739,76695,58171,67331,66616,52749,48955,59073,55206,45829,49193,42474,40600,45516,47255,50414,48643,46663,47294,40691,(NA)
 "17000","Illinois",3,SAINC7N,537,"322","     Paper manufacturing","Thousands of dollars",1246282,1275632,1307932,1283375,1304245,1276691,1235872,1234724,1277953,1271482,1279831,1158354,1148105,1158560,1207901,1198607,1255182,1306140,1238417,1251564,1277704,1330358,1236136,(NA)
 "17000","Illinois",3,SAINC7N,538,"323","     Printing and related support activities","Thousands of dollars",2185216,2179135,2219266,2099448,1990645,1996264,2000332,1981927,2010560,2028706,1952293,1648948,1561992,1541020,1506298,1513446,1513042,1518219,1580318,1583428,1759983,1608364,1515356,(NA)
 "17000","Illinois",3,SAINC7N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",378998,435755,430217,453322,438100,414895,391157,409836,423449,434152,462891,477751,495954,497795,524433,541766,589183,608311,612383,623345,660394,704491,697392,(NA)
 "17000","Illinois",3,SAINC7N,541,"325","     Chemical manufacturing","Thousands of dollars",3173968,3266879,3369853,3369179,3391986,3452874,3513021,3626437,3674923,4019168,3989855,3779876,4136208,4188730,4470886,4681864,5208130,6015839,5383429,5512090,5690407,5766606,6031162,(NA)
 "17000","Illinois",3,SAINC7N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",2113526,2186423,2277251,2185341,2173959,2132641,2209819,2146579,2187640,2155531,2137795,1986995,2165517,2130284,2128476,2228211,2288919,2372396,2560058,2751050,2837763,2897396,2945655,(NA)
 "17000","Illinois",3,SAINC7N,600,"42","   Wholesale trade","Thousands of dollars",14937453,15840761,17075811,17022613,16673777,16722134,17487125,18290229,19600577,21011754,21198108,19693171,19930713,21269002,22342703,22700022,23497361,24350865,24542843,25359068,25558560,26345531,26012682,27965593
 "17000","Illinois",3,SAINC7N,700,"44-45","   Retail trade","Thousands of dollars",13123389,13915716,14827600,15255376,15421155,15523740,15895548,16143743,16719486,17529341,16995277,15982303,16130758,16670622,17145667,17414729,17803816,18838057,19111465,19557390,19884323,20330221,20926732,23669643
 "17000","Illinois",3,SAINC7N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",2455327,2678062,2762568,2917048,2928900,2923458,2942235,2988256,3000810,3050945,2940037,2643956,2685878,2866915,2958596,3067948,3273620,3562355,3511660,3515837,3557869,3720723,3680179,(NA)
 "17000","Illinois",3,SAINC7N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",591884,638030,693743,696922,713703,738359,741186,770597,773367,773557,709986,602505,572171,567922,569886,588010,617392,671340,707099,717490,705053,715281,684805,(NA)
 "17000","Illinois",3,SAINC7N,703,"443","    Electronics and appliance stores","Thousands of dollars",972527,1144768,1379443,1346174,1320722,1175623,1186063,1195002,1251238,1580785,1306588,1141371,1244235,1336062,1385424,1388956,1324758,1419826,1438487,1565789,1531582,1567422,1628355,(NA)
 "17000","Illinois",3,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",1122871,1115709,1216392,1264349,1263412,1338289,1423625,1428315,1471691,1465968,1384462,1285304,1243185,1229621,1218619,1228702,1265551,1400056,1425528,1466104,1485245,1507327,1709970,(NA)
 "17000","Illinois",3,SAINC7N,705,"445","    Food and beverage stores","Thousands of dollars",2095542,2174130,2251377,2364577,2449356,2481796,2499907,2449742,2533735,2577916,2609823,2583460,2582675,2633322,2653990,2679018,2734013,2868334,2908321,2959944,3015451,3145594,3440578,(NA)
