GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",48094952,51148699,53945947,55555240,56651182,58474169,61400386,64085242,67308349,70581912,72352553,70414312,71874890,74532399,77058334,78279762,81481523,85378945,87832164,90547513,93364270,96682236,97175368,105437361
 "21000","Kentucky",5,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",190323,202483,189002,231711,287702,311869,299492,238167,263092,301727,277145,268083,255931,222537,311209,317252,325204,273267,310471,304283,298573,232056,228770,241568
 "21000","Kentucky",5,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",47904629,50946216,53756945,55323529,56363480,58162300,61100894,63847075,67045257,70280185,72075408,70146229,71618959,74309862,76747125,77962510,81156319,85105678,87521693,90243230,93065697,96450180,96946598,105195793
 "21000","Kentucky",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",39361189,41881626,44188013,45126819,45642883,46974990,49374571,51390455,53853535,56445704,57381892,55082462,55990542,58297827,61104536,62431868,65578349,69285352,71609801,74059326,76558535,79775665,80050741,87675353
 "21000","Kentucky",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",138673,151226,165832,167268,158767,163268,164521,169688,185389,186982,199539,195011,198384,191856,195297,204614,211809,225874,239024,243213,253212,276656,294898,336687
 "21000","Kentucky",5,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",12872,12777,14409,(D),(D),(D),(D),(D),8221,8451,(D),(D),(D),(D),(D),5221,(D),5102,(D),5382,5742,6379,6962,(NA)
 "21000","Kentucky",5,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),335,421,(D),(D),(D),(D),(D),502,(D),729,(D),592,867,1123,1436,(NA)
 "21000","Kentucky",5,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",122996,135489,147730,153077,147333,153401,154073,160067,176833,178110,191804,188970,191833,185977,189485,198891,206357,220043,233163,237239,246603,269154,286500,(NA)
 "21000","Kentucky",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",909051,858912,807412,893153,897379,859069,930792,1091247,1251665,1233649,1453180,1470508,1468173,1574815,1355206,1175629,1114284,937313,679025,698595,715558,703561,499869,537851
 "21000","Kentucky",5,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",19375,23647,31611,34055,30472,28817,36108,44862,50332,51772,62522,59760,52571,53908,47300,45283,46154,45127,37096,32455,35100,33512,25217,(NA)
 "21000","Kentucky",5,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",850067,801658,743116,823164,821275,777636,831891,962814,1099964,1061219,1243405,1258713,1259382,1346707,1132110,957657,881563,739593,539176,559853,582528,561949,393396,(NA)
 "21000","Kentucky",5,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",39609,33607,32685,35934,45632,52616,62793,83571,101369,120658,147253,152035,156220,174200,175796,172689,186567,152593,102753,106287,97930,108100,81256,(NA)
 "21000","Kentucky",5,SAINC7N,300,"22","   Utilities","Thousands of dollars",434919,409320,477541,434572,380453,365934,371779,389032,410560,422825,433766,458475,453674,470516,486672,497658,528403,540730,549012,568736,599334,610784,631660,648747
 "21000","Kentucky",5,SAINC7N,400,"23","   Construction","Thousands of dollars",2443950,2654319,2796815,2977298,2878256,2960932,2989423,3119513,3209376,3473879,3665447,3319967,3050890,3053965,3178992,3311003,3723885,4013248,4075315,4226180,4307265,4590585,4667053,5030287
 "21000","Kentucky",5,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",601284,639630,658741,684110,658681,707120,712542,731549,764320,833302,814938,720018,659453,621892,646444,724517,828882,893608,880692,930619,946890,964226,993240,(NA)
 "21000","Kentucky",5,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",404520,447705,472904,528405,504100,534392,538949,569220,559695,660998,714548,760785,668467,644959,705803,740652,783007,803840,757635,721106,752466,825898,853637,(NA)
 "21000","Kentucky",5,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",1438146,1566984,1665170,1764783,1715475,1719420,1737932,1818744,1885361,1979579,2135961,1839164,1722970,1787114,1826745,1845834,2111996,2315800,2436988,2574455,2607909,2800461,2820176,(NA)
 "21000","Kentucky",5,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",10450302,11031856,11518814,11175046,10949951,10956800,11343863,11535477,11834217,12003256,11664747,10214169,10392475,10919391,11753865,12237015,12948646,13701288,14153273,14560627,14903630,15476902,14839149,16035752
 "21000","Kentucky",5,SAINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",6718982,7220027,7642049,7379696,7151500,7139511,7443625,7595380,7812896,7852211,7508479,6301579,6385810,6857538,7534977,7884353,8416061,9077855,9440825,9670412,9794887,10234023,9485403,10170411
 "21000","Kentucky",5,SAINC7N,511,"321","     Wood product manufacturing","Thousands of dollars",269135,301099,339724,327691,322633,333629,360846,388613,406416,402297,375208,304141,301212,312205,285150,299637,321532,350212,369133,382265,396108,421404,413048,(NA)
 "21000","Kentucky",5,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",357882,378257,395317,382064,382439,395085,408799,400810,405665,399301,382032,323488,332996,336986,338846,348657,359917,382437,400570,408189,419476,426695,390440,(NA)
 "21000","Kentucky",5,SAINC7N,513,"331","     Primary metal manufacturing","Thousands of dollars",655320,686419,739046,716933,688405,670255,692181,710501,757853,751664,741823,601234,641639,680562,710825,737413,796323,810646,807242,849684,905330,939510,886858,(NA)
 "21000","Kentucky",5,SAINC7N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",740589,772787,822125,797487,759687,753881,797338,824259,878635,912180,927693,762984,802201,870613,935515,952088,1043678,1091078,1105853,1149978,1223023,1294336,1232834,(NA)
 "21000","Kentucky",5,SAINC7N,515,"333","     Machinery manufacturing","Thousands of dollars",924277,941036,966761,895757,813492,784902,823792,901461,922962,942647,981143,804651,803748,886087,946941,954117,1004841,1112254,1086974,1246810,1199525,1227883,1154040,(NA)
 "21000","Kentucky",5,SAINC7N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",517498,554712,551047,501411,476117,526381,573682,523362,516189,504208,491554,473273,422833,484945,480277,442411,454704,479003,527285,398381,359847,374075,345132,(NA)
 "21000","Kentucky",5,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",559366,582782,572396,542090,504411,465886,470027,469303,477309,453925,609240,527881,526494,565274,641456,717927,710693,738911,758154,750101,717009,749603,779237,(NA)
 "21000","Kentucky",5,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",2152511,2425681,2642425,2618030,2632762,2690937,2756085,2783308,2819893,2816923,2354978,1923815,1981974,2143578,2603006,2829829,3103179,3482737,3752943,3840569,3916141,4086909,3573318,(NA)
 "21000","Kentucky",5,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",120307,128804,137650,137863,127290,125488,139807,154201,172870,219167,223803,230443,228806,234261,244010,252830,253676,258672,252707,242871,240425,269849,280209,(NA)
 "21000","Kentucky",5,SAINC7N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",194335,214885,228056,213834,207316,191953,199580,202612,212633,203976,186230,153723,145992,140125,139178,137234,149737,151503,158885,172142,179104,173919,168546,(NA)
 "21000","Kentucky",5,SAINC7N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",227762,233565,247502,246536,236948,201114,221488,236950,242471,245923,234775,195946,197915,202902,209773,212210,217781,220402,221079,229422,238899,269840,261741,(NA)
 "21000","Kentucky",5,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",3731320,3811829,3876765,3795350,3798451,3817289,3900238,3940097,4021321,4151045,4156268,3912590,4006665,4061853,4218888,4352662,4532585,4623433,4712448,4890215,5108743,5242879,5353746,5865341
 "21000","Kentucky",5,SAINC7N,531,"311","     Food manufacturing","Thousands of dollars",621021,664744,699665,716126,743071,757663,775226,803925,829052,899026,949361,986121,1033632,1059708,1080093,1121173,1177037,1235286,1301116,1356118,1397563,1464091,1591623,(NA)
 "21000","Kentucky",5,SAINC7N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",394293,385883,356020,330183,329578,274591,290697,316088,327364,345948,352597,330044,352557,359801,417458,436245,502791,509649,524469,557479,618019,663967,703691,(NA)
 "21000","Kentucky",5,SAINC7N,533,"313","     Textile mills","Thousands of dollars",54518,58016,58410,51140,48562,42153,42163,40650,29561,28041,22905,15789,16511,18161,31053,31423,33637,35767,35851,37575,22413,22436,24161,(NA)
 "21000","Kentucky",5,SAINC7N,534,"314","     Textile product mills","Thousands of dollars",52922,60702,65206,62946,62177,59524,57077,53764,64984,70667,66716,60180,59621,58126,45841,51689,51026,52957,48830,57446,64105,58749,51353,(NA)
 "21000","Kentucky",5,SAINC7N,535,"315","     Apparel manufacturing","Thousands of dollars",303094,255007,251090,224743,206930,183790,181801,149562,120772,102666,88369,73617,75408,63430,62563,59485,53378,45743,40092,44367,44654,46632,44747,(NA)
 "21000","Kentucky",5,SAINC7N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",24770,21116,18769,14760,15431,14047,13703,13522,10356,9044,9551,8255,7556,5779,6753,5395,5168,4830,4488,3614,3377,2188,2397,(NA)
 "21000","Kentucky",5,SAINC7N,537,"322","     Paper manufacturing","Thousands of dollars",421944,440035,454933,472743,482079,506853,494997,497020,498227,519949,498721,477522,500935,499596,521157,528810,537752,544682,535881,527293,550034,580794,593842,(NA)
 "21000","Kentucky",5,SAINC7N,538,"323","     Printing and related support activities","Thousands of dollars",511279,512372,517462,507325,478810,483041,485946,504251,514982,523657,521389,451155,437570,420023,420486,423898,423858,426411,425377,412635,396755,389903,324782,(NA)
 "21000","Kentucky",5,SAINC7N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",80035,81100,73713,83776,84951,93338,101669,101171,113547,113280,111038,111613,110115,120639,127221,134676,136081,136398,105954,127260,145247,150833,151068,(NA)
 "21000","Kentucky",5,SAINC7N,541,"325","     Chemical manufacturing","Thousands of dollars",764188,784417,796458,763804,746939,789970,795050,805278,820227,851906,865779,824324,836473,869170,879048,868517,877622,849896,874776,901306,960531,967262,983059,(NA)
 "21000","Kentucky",5,SAINC7N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",503256,548437,585039,567804,599923,612319,661909,654866,692249,686861,669842,573970,576287,587420,627215,691351,734235,781814,815614,865122,906045,896024,883023,(NA)
 "21000","Kentucky",5,SAINC7N,600,"42","   Wholesale trade","Thousands of dollars",2438118,2654864,2900855,3023425,2988379,3114727,3371777,3505528,3690738,3962382,3965909,3725945,3729926,3890283,4006797,4092242,4288309,4480223,4607537,4767120,4885843,5099943,5094498,5455475
 "21000","Kentucky",5,SAINC7N,700,"44-45","   Retail trade","Thousands of dollars",3715653,3958722,4171272,4170971,4243162,4348775,4474245,4563751,4707828,4850159,4828792,4754085,4790523,4884074,5043787,5078903,5186043,5488600,5746665,5899069,5998393,6127250,6364425,7032007
 "21000","Kentucky",5,SAINC7N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",713468,768638,806654,810038,834633,853557,870061,874937,889300,901733,856546,792742,845907,901654,962934,987416,1032218,1124978,1158199,1167844,1198473,1245594,1251379,(NA)
 "21000","Kentucky",5,SAINC7N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",150951,155732,162814,147761,153292,157898,166050,172763,175109,180147,157011,137249,134535,129943,134396,134661,134441,142553,150045,157480,186713,218106,185557,(NA)
 "21000","Kentucky",5,SAINC7N,703,"443","    Electronics and appliance stores","Thousands of dollars",149071,172719,204490,170775,171443,161409,161551,151770,161621,167668,148235,140725,141925,161946,182435,179575,183678,231159,233811,222027,206277,199966,204439,(NA)
 "21000","Kentucky",5,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",400912,417799,429584,423128,442952,457668,482046,509551,532425,552932,540709,522824,502839,502705,523152,541498,549908,563629,588984,596852,606048,638290,727650,(NA)
 "21000","Kentucky",5,SAINC7N,705,"445","    Food and beverage stores","Thousands of dollars",572122,578907,585593,576805,569762,567370,585808,578986,580492,593142,619203,639406,637990,644110,661078,658540,680602,721767,721213,742952,751479,763078,837256,(NA)
 "21000","Kentucky",5,SAINC7N,706,"446","    Health and personal care stores","Thousands of dollars",251963,267663,300003,328713,347058,365969,403006,420761,441881,484570,520580,546820,555978,560566,575405,578215,550134,571691,592188,654989,670741,665255,683759,(NA)
 "21000","Kentucky",5,SAINC7N,707,"447","    Gasoline stations","Thousands of dollars",267918,282015,288943,284573,285559,289301,288346,284983,307669,284445,289068,287626,284918,284484,284895,286309,290098,299274,307087,316261,331178,340603,357520,(NA)
 "21000","Kentucky",5,SAINC7N,708,"448","    Clothing and clothing accessories stores","Thousands of dollars",169866,179273,186871,185310,185808,183837,191020,192642,206347,212451,207008,189724,191745,199857,208155,208756,217598,230953,231190,228716,230129,232266,202558,(NA)
 "21000","Kentucky",5,SAINC7N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Thousands of dollars",84291,90129,94930,96556,101343,105044,96984,99949,98645,103939,106226,104313,106202,106946,112352,122638,129539,141108,144513,145542,141011,134982,132268,(NA)
 "21000","Kentucky",5,SAINC7N,711,"452","    General merchandise stores","Thousands of dollars",606794,663917,716636,762173,788912,839848,861381,904892,945531,995299,1024337,1047310,1035863,1032984,1036973,1010051,1032325,1059425,1177845,1202071,1207563,1181822,1251598,(NA)
 "21000","Kentucky",5,SAINC7N,712,"453","    Miscellaneous store retailers","Thousands of dollars",239034,264832,269925,262604,241879,244989,252300,256062,256581,255805,240690,235976,238726,237912,235320,231066,233234,239604,251039,258384,260762,283555,298463,(NA)
 "21000","Kentucky",5,SAINC7N,713,"454","    Nonstore retailers","Thousands of dollars",109263,117098,124829,122535,120521,121885,115692,116455,112227,118028,119179,109370,113895,120967,126692,140178,152268,162459,190551,205951,208019,223733,231978,(NA)
