GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "29000","Missouri",4,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",80026069,84349291,89504202,91859770,93523371,95759629,99434505,103893111,108836745,113862699,118981424,113694862,113886441,116481438,121318793,123769887,128563501,134635638,137919355,143185893,149122895,155050642,157350398,168850287
 "29000","Missouri",4,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",252068,235253,229982,248113,229463,247996,203530,229332,189511,293777,247218,266369,249826,254955,388907,264414,343505,286516,311406,323217,283078,308235,283981,299856
 "29000","Missouri",4,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",79774001,84114038,89274220,91611657,93293908,95511633,99230975,103663779,108647234,113568922,118734206,113428493,113636615,116226483,120929886,123505473,128219996,134349122,137607949,142862676,148839817,154742407,157066417,168550431
 "29000","Missouri",4,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",67802009,71442330,75801178,77548090,78567839,80168028,83406680,87288675,91580609,95574555,99662995,93691485,94034562,96811721,101547311,103907471,108369515,114080363,117128138,121870924,127382940,132706869,134464569,145610746
 "29000","Missouri",4,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",70439,76047,83342,97102,104839,135512,124048,117860,117038,115032,130609,131975,133985,130254,139123,144473,150336,157386,168094,179519,190038,208280,218496,255726
 "29000","Missouri",4,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",5867,7224,5583,(D),5465,5564,5553,6530,6325,6164,5222,4084,4488,5679,5060,4420,5085,5886,6792,7654,8789,10643,10889,(NA)
 "29000","Missouri",4,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),209,217,221,219,243,257,229,167,186,233,394,449,575,609,454,485,548,631,663,(NA)
 "29000","Missouri",4,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",64298,68497,77429,91424,99165,129731,118274,111111,110470,108611,125158,127724,129311,124342,133669,139604,144676,150891,160848,171380,180701,197006,206944,(NA)
 "29000","Missouri",4,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",208088,219359,226126,219465,211598,237372,274437,373633,257221,322208,345920,252842,244429,280154,279331,269202,271155,273166,258507,279975,284138,304626,301710,324336
 "29000","Missouri",4,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),560,532,532,652,600,671,733,1297,1314,1801,1843,1476,1650,1587,1320,899,806,835,703,1221,(NA)
 "29000","Missouri",4,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",201677,212158,219236,216675,207309,228935,260986,356560,233686,265711,270640,232255,228740,260502,257414,247729,249575,255744,245816,265285,266354,281114,280065,(NA)
 "29000","Missouri",4,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",(T),6675,(T),2230,3757,7905,12799,16473,22864,55764,73983,19273,13888,17809,20441,19823,19993,16102,11792,13884,16949,22809,20424,(NA)
