GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",38191567,39820646,42486440,44622573,45163471,46229981,48461585,51103311,56331289,59591186,63295061,61158965,62362798,66167722,70150020,72301874,75566564,76949862,75695069,78182518,82123671,85347043,84264530,88319121
 "40000","Oklahoma",6,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",167828,191816,184560,207706,146711,173629,243545,233013,223590,316365,344086,260158,258198,281011,347747,284093,315806,191161,210322,217164,192030,244887,220483,232803
 "40000","Oklahoma",6,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",38023739,39628830,42301880,44414867,45016760,46056352,48218040,50870298,56107699,59274821,62950975,60898807,62104600,65886711,69802273,72017781,75250758,76758701,75484747,77965354,81931641,85102156,84044047,88086318
 "40000","Oklahoma",6,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",29734267,30905772,32991115,34546214,34583363,35336766,37047254,39080593,43577999,45940726,48950672,46233767,47133229,50943008,54658373,56657714,59587427,60693935,59114937,61396550,64834545,67063178,65345272,69075734
 "40000","Oklahoma",6,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",54133,58702,63596,62558,66586,72760,79698,85538,88660,91166,93534,91387,96652,95551,99262,106894,116988,125654,138678,148903,158818,155059,166003,218729
 "40000","Oklahoma",6,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",7606,8676,9244,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "40000","Oklahoma",6,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "40000","Oklahoma",6,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",45834,49409,53902,54247,56000,62911,71188,76216,80445,83424,85220,83891,87558,86993,90213,98276,107483,115584,128336,138025,147831,144970,156110,(NA)
 "40000","Oklahoma",6,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1386439,1322229,1393055,1629777,1549864,1733735,1931894,2349880,3640407,3676788,4390564,3458071,3664388,4833273,5330353,5656189,5927391,5520331,4269685,4866920,5476884,4938429,3421973,3071426
 "40000","Oklahoma",6,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",891142,812560,818488,891223,869320,969608,1056884,1239260,2119400,1836030,2170171,1852349,1928161,2506722,2883507,3080908,3109059,3360005,2669931,2613364,2699264,2405613,2055936,(NA)
 "40000","Oklahoma",6,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",65007,68169,78977,73640,79017,76218,77979,89041,96814,111458,105452,90694,90478,95218,103187,107525,114193,119345,126754,134799,141921,157616,147678,(NA)
 "40000","Oklahoma",6,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",430290,441500,495590,664914,601527,687909,797031,1021579,1424193,1729300,2114941,1515028,1645749,2231333,2343659,2467756,2704139,2040981,1473000,2118757,2635699,2375200,1218359,(NA)
 "40000","Oklahoma",6,SAINC7N,300,"22","   Utilities","Thousands of dollars",443220,453630,492583,586949,598298,583682,605410,646840,684158,828960,847153,919022,896380,927694,1080117,1129767,1374452,1207930,1133400,1086073,1083491,1262518,988178,967809
 "40000","Oklahoma",6,SAINC7N,400,"23","   Construction","Thousands of dollars",1585111,1749125,1900322,2128377,2045306,2060903,2054856,2259142,2566536,2729891,3100564,2859118,2896242,2973179,3229421,3601437,3721135,3942739,4016683,4094924,4424631,4720566,4545340,4810965
 "40000","Oklahoma",6,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",332483,373464,408031,472797,525622,473139,453632,500821,571599,613413,695174,625070,634935,615686,611683,662760,662891,728401,813809,723210,733462,827263,868450,(NA)
 "40000","Oklahoma",6,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",312688,350183,383808,467723,404539,390406,379429,427166,473579,509472,565063,561388,603521,629920,744042,935025,923215,913540,915051,1060339,1199035,1271349,1081762,(NA)
 "40000","Oklahoma",6,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",939940,1025478,1108483,1187857,1115145,1197358,1221795,1331155,1521358,1607006,1840327,1672660,1657786,1727573,1873696,2003652,2135029,2300798,2287823,2311375,2492134,2621954,2595128,(NA)
 "40000","Oklahoma",6,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",5480077,5620229,5944730,5945262,5610181,5579680,5696703,5899532,6386854,6610312,6847385,6028302,5976499,6541373,7151731,7393897,7849670,7763101,7281727,7504588,8517569,8769265,8329157,8528575
 "40000","Oklahoma",6,SAINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",3719879,3838110,4081227,4077722,3790055,3743334,3846085,3995638,4438866,4664745,4904780,4153984,4057323,4533967,5115786,5319849,5675781,5531693,5008143,5175696,6083022,6233751,5751715,5788115
 "40000","Oklahoma",6,SAINC7N,511,"321","     Wood product manufacturing","Thousands of dollars",100929,109334,117448,129964,134945,138969,140048,145928,142863,139013,122533,93807,80269,78759,79762,81695,88932,98345,103277,104058,74046,89471,89850,(NA)
 "40000","Oklahoma",6,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",281281,292625,312746,304645,300661,314155,332073,342236,364359,370095,378863,333819,322224,313647,326034,340549,358936,392509,395873,403105,402236,410597,419490,(NA)
 "40000","Oklahoma",6,SAINC7N,513,"331","     Primary metal manufacturing","Thousands of dollars",141877,131904,158628,156759,126169,141593,165372,184106,210042,214136,236119,181407,178299,209173,226836,226243,207260,192064,183654,201379,208863,205957,187713,(NA)
 "40000","Oklahoma",6,SAINC7N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",786676,855355,901708,963537,901904,796686,812176,847601,972582,1028389,1141004,970041,930037,1056510,1238301,1283141,1401468,1353345,1170368,1252148,1386254,1449857,1257773,(NA)
 "40000","Oklahoma",6,SAINC7N,515,"333","     Machinery manufacturing","Thousands of dollars",923719,906128,1002884,1043038,907609,955548,1035442,1128731,1290455,1478794,1597579,1349948,1349328,1591503,1851857,1928452,2061300,1917306,1614245,1668099,1768866,1804361,1562600,(NA)
 "40000","Oklahoma",6,SAINC7N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",511982,539469,538417,461407,319771,312823,275999,274012,299428,320576,333971,308434,289503,301983,322486,312302,317111,317286,287367,293265,308977,292085,272741,(NA)
 "40000","Oklahoma",6,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",89718,83397,93515,100435,101831,102504,108443,110075,117191,126094,129912,123631,130136,133752,135373,133437,139685,144827,151433,154465,169670,178714,170101,(NA)
 "40000","Oklahoma",6,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",448015,489607,512754,473767,568140,558664,526164,476296,468537,386001,364269,266987,249738,251318,268824,274739,311305,(D),(D),(D),(D),(D),(D),(NA)
 "40000","Oklahoma",6,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",229923,211482,221694,225246,192924,201287,224243,241084,307884,345453,348731,317561,326219,385395,444628,511632,555926,(D),(D),(D),(D),1239910,(D),(NA)
 "40000","Oklahoma",6,SAINC7N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",90061,95514,88372,86727,82042,78520,83337,87593,91523,81994,85023,53428,47743,58559,66827,68493,74367,80415,82612,84934,83795,(D),90254,(NA)
 "40000","Oklahoma",6,SAINC7N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",115698,123295,133061,132197,154059,142585,142788,157976,174002,174200,166776,154921,153827,153368,154858,159166,159491,153482,153692,134776,166061,182062,185044,(NA)
 "40000","Oklahoma",6,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",1760198,1782119,1863503,1867540,1820126,1836346,1850618,1903894,1947988,1945567,1942605,1874318,1919176,2007406,2035945,2074048,2173889,2231408,2273584,2328892,2434547,2535514,2577442,2740460
 "40000","Oklahoma",6,SAINC7N,531,"311","     Food manufacturing","Thousands of dollars",468449,492061,536905,561159,572321,592428,603912,613917,625806,632111,649009,645873,658600,646415,660829,663663,683257,702473,733090,776338,804638,845665,905485,(NA)
 "40000","Oklahoma",6,SAINC7N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",70087,69816,75266,83446,73448,69075,76176,80842,86893,93879,109802,104805,104170,104593,102847,102245,107240,118022,122351,125956,128471,117084,126258,(NA)
 "40000","Oklahoma",6,SAINC7N,533,"313","     Textile mills","Thousands of dollars",(T),(T),(T),3100,2679,1948,2629,2600,3433,3422,3776,3859,4046,4214,5186,4782,3820,3973,4005,4129,3724,5879,6542,(NA)
 "40000","Oklahoma",6,SAINC7N,534,"314","     Textile product mills","Thousands of dollars",25874,25122,22976,18633,15372,13635,14828,17792,18899,19440,17998,15975,15572,14962,16298,16898,17309,18148,19853,19652,18564,18942,19313,(NA)
 "40000","Oklahoma",6,SAINC7N,535,"315","     Apparel manufacturing","Thousands of dollars",79392,77403,75185,61459,53928,43543,29991,29642,29968,31943,29347,28335,31240,33720,28282,27245,27016,27568,28739,22307,21315,22296,22156,(NA)
 "40000","Oklahoma",6,SAINC7N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",8907,8902,8118,7361,5985,5656,5537,6021,5740,10691,11272,10170,10033,12006,13221,13397,14907,15255,13027,6027,5159,5417,5427,(NA)
 "40000","Oklahoma",6,SAINC7N,537,"322","     Paper manufacturing","Thousands of dollars",147394,155394,162456,153612,154833,152453,155474,161986,156653,154025,154165,153369,152518,161388,169069,177100,184989,190885,187505,185625,226079,241446,258534,(NA)
 "40000","Oklahoma",6,SAINC7N,538,"323","     Printing and related support activities","Thousands of dollars",167819,168319,168452,166133,148987,142436,138383,134397,136602,135520,129448,115741,115072,108155,99504,95201,96056,91614,97533,93647,94734,102168,97688,(NA)
 "40000","Oklahoma",6,SAINC7N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",123223,117772,115597,125823,123539,137805,127825,132517,143675,157798,164351,167478,167996,179499,203389,200857,223796,223576,227087,260633,267728,278333,268209,(NA)
 "40000","Oklahoma",6,SAINC7N,541,"325","     Chemical manufacturing","Thousands of dollars",175211,158031,163945,155279,134942,131414,131569,139545,150030,153409,163409,156441,156632,214197,201134,233033,257778,269104,265668,257325,271334,294699,311853,(NA)
 "40000","Oklahoma",6,SAINC7N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",487957,505030,529319,531535,534092,545953,564294,584635,590289,553329,510028,472272,503297,528257,536186,539627,557721,570790,574726,577253,592801,603585,555977,(NA)
 "40000","Oklahoma",6,SAINC7N,600,"42","   Wholesale trade","Thousands of dollars",1819278,1886846,2027002,2189462,2264089,2204888,2353500,2518747,2799087,2962774,3126583,2879812,2808989,3065557,3332235,3465779,3693622,3579726,3442619,3566719,3699279,3801951,3682055,3808805
 "40000","Oklahoma",6,SAINC7N,700,"44-45","   Retail trade","Thousands of dollars",2966153,3136630,3344187,3500362,3535606,3569767,3621023,3761699,3962904,4098520,4238588,4180624,4285627,4452176,4707262,4818897,5013617,5234171,5290772,5266890,5408607,5539719,5856675,6532198
 "40000","Oklahoma",6,SAINC7N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",667184,713317,739673,788235,800210,815089,815292,837212,861613,913052,913372,856968,903248,970478,1068126,1127741,1174063,1213196,1213149,1202430,1242200,1290908,1334465,(NA)
 "40000","Oklahoma",6,SAINC7N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",96062,101381,109326,109990,112107,115782,117069,124267,137889,144646,148905,139626,137849,146835,153494,162998,172926,177469,176655,173572,180192,185856,188240,(NA)
 "40000","Oklahoma",6,SAINC7N,703,"443","    Electronics and appliance stores","Thousands of dollars",209301,223796,222279,202863,194950,134627,132457,137886,135826,135386,136550,134695,162462,174257,186125,179538,185182,218087,212768,210919,201345,195773,194649,(NA)
 "40000","Oklahoma",6,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",253187,277963,290734,297767,311253,337721,364099,386387,414851,420474,452369,438569,436510,455381,470759,505179,527628,549662,556540,562805,581310,605734,676290,(NA)
 "40000","Oklahoma",6,SAINC7N,705,"445","    Food and beverage stores","Thousands of dollars",371181,387072,405995,413995,400905,393590,380687,372435,379034,380057,394153,406302,407630,410297,415388,472370,508152,542271,547083,520298,528630,523515,597027,(NA)
 "40000","Oklahoma",6,SAINC7N,706,"446","    Health and personal care stores","Thousands of dollars",172102,181053,198945,221090,242359,268076,270862,293448,320980,335837,350212,360614,376677,384510,408859,399427,413970,424804,427145,436052,438653,434191,437221,(NA)
 "40000","Oklahoma",6,SAINC7N,707,"447","    Gasoline stations","Thousands of dollars",215398,213302,224733,254128,246539,230916,225979,229305,260636,256170,282218,287504,296876,313429,345588,368442,393534,423155,444000,437570,461224,473490,506482,(NA)
 "40000","Oklahoma",6,SAINC7N,708,"448","    Clothing and clothing accessories stores","Thousands of dollars",146059,144936,156406,160906,160727,160432,165489,171076,185057,190916,191638,180577,185842,193266,212506,214254,214672,223339,221496,215222,213316,217599,191693,(NA)
 "40000","Oklahoma",6,SAINC7N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Thousands of dollars",80627,85192,103280,97054,94526,96980,102848,108107,118210,116360,117935,115946,117025,112554,120020,128775,131045,141465,141901,136812,137347,138629,142620,(NA)
 "40000","Oklahoma",6,SAINC7N,711,"452","    General merchandise stores","Thousands of dollars",498949,535364,602685,659063,685210,737167,763006,815909,850694,905940,939364,950544,956868,971365,988065,927649,947283,966273,994018,998325,1043692,1055826,1126036,(NA)
 "40000","Oklahoma",6,SAINC7N,712,"453","    Miscellaneous store retailers","Thousands of dollars",190115,204143,217225,215253,210509,207383,220343,226711,236391,239024,250836,245751,241432,248542,237943,245388,253924,269130,263767,283027,285760,319313,353177,(NA)
 "40000","Oklahoma",6,SAINC7N,713,"454","    Nonstore retailers","Thousands of dollars",65988,69111,72906,80018,76311,72004,62892,58956,61723,60658,61036,63528,63208,71262,100389,87136,91238,85320,92250,89858,94938,98885,108775,(NA)
 "40000","Oklahoma",6,SAINC7N,800,"48-49","   Transportation and warehousing","Thousands of dollars",1693236,1700417,1792137,1756207,1666626,1692617,1792458,1857752,2023563,2187640,2204832,2103248,2114446,2288261,2462214,2593072,2752880,2965975,2872626,3169384,2918177,3107082,3355284,3605509
 "40000","Oklahoma",6,SAINC7N,801,"481","    Air transportation","Thousands of dollars",497135,503566,555477,580466,534133,509503,492906,479986,512944,514878,483990,466352,481608,548377,512746,507420,481141,488331,497443,570616,89349,107335,101942,(NA)
 "40000","Oklahoma",6,SAINC7N,802,"482","    Rail transportation","Thousands of dollars",103870,99005,96653,86969,(D),89039,101769,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),172092,154895,156248,172686,169102,165911,(NA)
 "40000","Oklahoma",6,SAINC7N,803,"483","    Water transportation","Thousands of dollars",(T),(T),(T),(D),0,0,0,0,(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "40000","Oklahoma",6,SAINC7N,804,"484","    Truck transportation","Thousands of dollars",597213,589998,609233,618113,584312,575948,611344,667267,756099,812999,819237,756893,707826,786961,886566,919797,979527,998962,946714,1055598,1181931,1192985,1080597,(NA)
 "40000","Oklahoma",6,SAINC7N,805,"485","    Transit and ground passenger transportation","Thousands of dollars",40264,45693,43967,11735,(D),15633,18193,19361,21892,23826,24122,19472,24886,32731,37004,36262,35076,36114,27958,31424,28990,29378,27334,(NA)
 "40000","Oklahoma",6,SAINC7N,806,"486","    Pipeline transportation","Thousands of dollars",110480,96372,99421,75889,75185,83467,117933,92476,94470,151142,168246,168356,179536,177016,226611,263691,344444,354129,290503,316839,343091,361671,467145,(NA)
 "40000","Oklahoma",6,SAINC7N,807,"487","    Scenic and sightseeing transportation","Thousands of dollars",(T),(T),(T),2715,1685,671,491,(D),(D),231,(D),(D),(D),(D),(D),(D),(D),1183,1314,1276,1391,1555,1229,(NA)
 "40000","Oklahoma",6,SAINC7N,808,"488","    Support activities for transportation","Thousands of dollars",143642,151056,160403,139405,139534,183500,198847,215384,230195,256040,281396,287653,304947,311912,321457,333470,338643,347088,352209,366815,386878,416163,416598,(NA)
 "40000","Oklahoma",6,SAINC7N,809,"492","    Couriers and messengers","Thousands of dollars",112855,124464,127827,(D),130001,133978,146146,150123,157211,160783,164370,162503,162509,165668,171283,178305,192819,200950,199635,210265,228154,255079,333329,(NA)
 "40000","Oklahoma",6,SAINC7N,811,"493","    Warehousing and storage","Thousands of dollars",82556,86245,92959,111678,103878,100878,104829,118569,127151,137328,132471,124973,135584,128727,152194,201374,211792,367126,401955,460303,485707,573814,761199,(NA)
 "40000","Oklahoma",6,SAINC7N,900,"51","   Information","Thousands of dollars",1067986,1136245,1288452,1381883,1353331,1237790,1261307,1284291,1283174,1295400,1346556,1247844,1199329,1249884,1204132,1202204,1228909,1204432,1227291,1230495,1218346,1236720,1215744,1250248
 "40000","Oklahoma",6,SAINC7N,901,"511","    Publishing industries (except Internet)","Thousands of dollars",183417,180348,211941,211318,239524,230551,248123,245997,259219,274968,284408,256232,242496,273573,251123,265858,253167,249040,254029,242927,244746,205596,186559,(NA)
 "40000","Oklahoma",6,SAINC7N,902,"512","    Motion picture and sound recording industries","Thousands of dollars",28963,30317,32648,34143,28477,24409,22939,20685,21484,22862,38121,39947,40207,32206,34593,34302,36465,44773,50668,42594,41807,44914,31359,(NA)
 "40000","Oklahoma",6,SAINC7N,903,"515","    Broadcasting (except Internet)","Thousands of dollars",199603,214379,227603,297536,287903,251720,236165,257526,219959,160252,166624,153749,152506,156283,151709,154598,159659,164985,160977,158681,160929,166774,161946,(NA)
 "40000","Oklahoma",6,SAINC7N,904,"516","    Internet publishing and broadcasting 2/","Thousands of dollars",(T),(T),(T),4564,4783,6948,6155,7495,8554,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "40000","Oklahoma",6,SAINC7N,905,"517","    Telecommunications","Thousands of dollars",564035,588175,670838,679135,639391,583087,621064,621512,633984,740764,760892,699730,652503,687444,653348,620992,651668,619845,625253,642210,628845,655633,668432,(NA)
 "40000","Oklahoma",6,SAINC7N,906,"518","    Data processing, hosting, and related services","Thousands of dollars",79504,111330,129781,140003,139738,133374,117768,119751,128371,69847,70676,75367,88873,73092,84644,91087,87175,76300,86731,86704,81654,103176,102882,(NA)
