GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",7750545,8247312,8892966,9346529,9560835,9874915,10383207,10724221,11224789,11667476,12070620,11805583,12021119,12366148,12791254,13198847,13639882,14108639,14453359,14917745,15425200,15971035,15889544,17091158
 "50000","Vermont",1,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",48107,45443,54644,58235,75482,67564,65431,52487,58506,67728,62209,60175,57448,49952,78967,80500,85291,69339,78780,75336,72015,57789,55536,58640
 "50000","Vermont",1,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",7702438,8201869,8838322,9288294,9485353,9807351,10317776,10671734,11166283,11599748,12008411,11745408,11963671,12316196,12712287,13118347,13554591,14039300,14374579,14842409,15353185,15913246,15834008,17032518
 "50000","Vermont",1,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",6386396,6816292,7357699,7703637,7797091,7991504,8407038,8676493,9082316,9423990,9696863,9377815,9563168,9895305,10258914,10588090,10944889,11363907,11638808,12023571,12443619,12921433,12771091,13967393
 "50000","Vermont",1,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",16180,16979,17552,18238,18814,19232,19593,19789,20803,21241,23084,24535,25743,26349,24953,26160,28698,29881,30102,30230,31069,32602,33185,39613
 "50000","Vermont",1,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",4712,4613,4652,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6143,7322,6999,5973,7304,7779,7643,(NA)
 "50000","Vermont",1,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,(NA)
 "50000","Vermont",1,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",11296,12042,12679,13985,14699,15035,15052,15787,16733,17346,18358,20119,20737,21478,19213,(D),22555,22559,23103,24257,23765,24823,25542,(NA)
 "50000","Vermont",1,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",26183,29477,29338,32762,32425,31993,30439,28948,42257,43885,39792,35987,33091,33125,34109,33828,33499,36979,37827,36738,37900,38928,37958,40529
 "50000","Vermont",1,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "50000","Vermont",1,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",25841,29119,29248,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "50000","Vermont",1,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "50000","Vermont",1,SAINC7N,300,"22","   Utilities","Thousands of dollars",100804,99920,101623,106775,119995,118738,134939,137781,138826,151805,151071,154367,166146,166927,174955,175530,180264,190664,141239,131104,137797,128399,132903,136531
 "50000","Vermont",1,SAINC7N,400,"23","   Construction","Thousands of dollars",388359,438659,479401,516142,506366,534586,602438,632793,681619,694099,663044,591679,596663,625539,637393,657077,700233,730298,761359,781293,797328,824298,805381,926242
 "50000","Vermont",1,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",108778,119400,133365,147932,(D),166346,185148,191538,204380,209390,194521,158635,152735,170423,176422,180085,192305,195965,208292,214002,214564,226269,222197,(NA)
 "50000","Vermont",1,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",64529,70110,75825,85229,(D),74564,83185,86592,90676,88143,82112,82924,95337,85824,86411,87863,95615,93104,89873,93983,93875,94030,93457,(NA)
 "50000","Vermont",1,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",215052,249149,270211,282981,271882,293676,334105,354663,386563,396566,386411,350120,348591,369292,374560,389129,412313,441229,463194,473308,488889,503999,489727,(NA)
 "50000","Vermont",1,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",1575117,1646229,1784196,1889390,1746591,1660818,1678756,1707407,1726601,1769813,1757446,1609157,1637068,1664106,1734299,1735060,1727056,1732588,1674345,1715171,1772712,1832097,1758587,1870828
 "50000","Vermont",1,SAINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",1180718,1226350,1335500,1488905,1362813,1278801,1294732,1319146,1344995,1388437,1367905,1237088,1249871,1261817,1279056,1254076,1207499,1179776,1116219,1135567,1186771,1235650,1142338,1192952
 "50000","Vermont",1,SAINC7N,511,"321","     Wood product manufacturing","Thousands of dollars",83363,84891,91094,84183,79703,85488,79250,79766,78127,80994,78390,60727,62880,66576,67280,73918,72905,71885,71706,67981,74034,71491,68119,(NA)
 "50000","Vermont",1,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",70212,68330,72485,75849,77666,78573,81808,82422,83591,80791,79049,71694,74057,68303,71142,71354,79023,76489,78678,77918,81055,84557,83723,(NA)
 "50000","Vermont",1,SAINC7N,513,"331","     Primary metal manufacturing","Thousands of dollars",9116,12743,13981,18890,18392,16843,17247,14509,12539,12259,10363,6931,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "50000","Vermont",1,SAINC7N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",117852,118924,133201,126928,122862,128496,132384,138194,133888,138438,133591,125385,126227,125627,126025,126412,129218,116061,93033,96089,101161,97593,95248,(NA)
 "50000","Vermont",1,SAINC7N,515,"333","     Machinery manufacturing","Thousands of dollars",168371,170960,185240,172784,140269,135480,141428,138625,140222,145517,151743,148195,149721,158690,154980,151835,159049,171160,164293,166669,177089,184609,170773,(NA)
 "50000","Vermont",1,SAINC7N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",422848,450109,504021,677189,612797,540758,522990,533043,551145,572204,564666,517919,517884,533243,529083,500063,427114,411669,390275,400794,419740,443037,390904,(NA)
 "50000","Vermont",1,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",38321,37021,39068,41586,39423,44450,49377,52814,54549,60694,63089,62822,64059,65297,77983,71674,70843,65162,63415,65006,65099,64345,63191,(NA)
 "50000","Vermont",1,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",30105,37642,40525,25885,(D),(D),(D),(D),(D),(D),38290,(D),(D),(D),(D),(D),28299,(D),(D),(D),(D),(D),(D),(NA)
 "50000","Vermont",1,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",115976,114449,114301,108045,(D),(D),(D),(D),(D),(D),96591,(D),95080,106044,106917,111263,(D),107884,96670,100216,104966,121423,106318,(NA)
 "50000","Vermont",1,SAINC7N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",69916,77141,81883,81658,75991,64149,64129,65183,64482,66487,64730,48799,49328,49125,55170,55468,54844,52840,51843,51819,51826,50483,46277,(NA)
 "50000","Vermont",1,SAINC7N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",54638,54140,59701,75908,78505,69053,75230,81944,91074,95542,87403,82975,79896,56817,57787,57875,63911,65867,67180,70563,73642,79098,85001,(NA)
 "50000","Vermont",1,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",394399,419879,448696,400485,383778,382017,384024,388261,381606,381376,389541,372069,387197,402289,455243,480984,519557,552812,558126,579604,585941,596447,616249,677876
 "50000","Vermont",1,SAINC7N,531,"311","     Food manufacturing","Thousands of dollars",100841,112997,139227,127828,127360,127746,129165,133138,130585,138519,147826,154316,164132,175424,212769,224685,241975,255923,260994,272448,272245,265233,285557,(NA)
 "50000","Vermont",1,SAINC7N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",(T),6302,6682,8294,9559,10070,10438,12766,13294,14404,13461,12051,13466,13461,17271,18826,22725,26988,31769,36602,38503,44123,41314,(NA)
 "50000","Vermont",1,SAINC7N,533,"313","     Textile mills","Thousands of dollars",10586,10792,10114,8006,6387,5132,5170,4820,3658,3410,2891,3194,2930,2750,2909,4610,5794,11915,4043,4725,6208,7119,6289,(NA)
 "50000","Vermont",1,SAINC7N,534,"314","     Textile product mills","Thousands of dollars",(T),(T),(T),6542,6545,6160,3935,3622,3922,3035,3193,(D),1604,1711,1987,2123,(D),(D),(D),(D),(D),(D),1918,(NA)
 "50000","Vermont",1,SAINC7N,535,"315","     Apparel manufacturing","Thousands of dollars",13511,14374,14258,13683,11796,11111,13140,9965,9000,7895,8220,7289,6849,7394,11315,9256,11939,11995,13182,14180,15819,19857,20476,(NA)
 "50000","Vermont",1,SAINC7N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "50000","Vermont",1,SAINC7N,537,"322","     Paper manufacturing","Thousands of dollars",73000,75124,75906,72848,67289,63393,61019,65266,65439,62110,63099,62337,63820,63208,38365,38813,41085,41741,41520,42172,42472,44696,43177,(NA)
 "50000","Vermont",1,SAINC7N,538,"323","     Printing and related support activities","Thousands of dollars",87861,88017,81855,74515,70254,70370,71903,68149,60954,58192,53202,50044,47925,46140,47161,47761,47039,48142,48277,48927,50747,49521,43434,(NA)
 "50000","Vermont",1,SAINC7N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3622,3435,3772,3990,4232,3961,(D),(NA)
 "50000","Vermont",1,SAINC7N,541,"325","     Chemical manufacturing","Thousands of dollars",33113,39118,42519,51744,46942,50890,52085,52786,39314,37154,39182,32304,34384,36421,63273,73808,83114,87024,87827,87117,85108,90057,95312,(NA)
 "50000","Vermont",1,SAINC7N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",60488,62057,65396,33192,33856,33384,33308,33808,51224,51285,53036,44514,47545,49859,54045,55320,57329,60532,61751,64069,65809,67121,72846,(NA)
 "50000","Vermont",1,SAINC7N,600,"42","   Wholesale trade","Thousands of dollars",330750,349210,380788,415479,430222,457188,458913,467510,496974,506554,520135,496630,503144,526456,520436,523530,524015,551360,599301,573963,589196,598192,617548,653706
 "50000","Vermont",1,SAINC7N,700,"44-45","   Retail trade","Thousands of dollars",698305,747280,800160,847771,879458,899924,949123,973361,992375,1004435,1022908,985110,993969,1023542,1008007,1043766,1084170,1123722,1138161,1165818,1202110,1218130,1238099,1358505
 "50000","Vermont",1,SAINC7N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",132846,142973,150192,158689,166962,176016,185706,184731,181701,184491,181985,169193,178231,191794,197326,205193,221114,233589,235632,246398,255256,265992,255450,(NA)
 "50000","Vermont",1,SAINC7N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",20065,23092,26045,29568,32678,33826,37412,35420,35083,34961,33675,28180,27681,29007,30583,30202,30104,31248,32353,32626,33843,33561,32242,(NA)
 "50000","Vermont",1,SAINC7N,703,"443","    Electronics and appliance stores","Thousands of dollars",23299,25942,26247,27274,27006,23382,22749,25499,26538,21039,25983,33619,29923,30837,30099,29523,29907,29031,29088,29545,28540,27267,24244,(NA)
 "50000","Vermont",1,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",71223,77063,83812,85238,90264,95570,107530,114226,117209,115861,120544,110080,106083,105924,110588,115881,120778,122620,127164,129613,130157,134822,151215,(NA)
 "50000","Vermont",1,SAINC7N,705,"445","    Food and beverage stores","Thousands of dollars",141548,146598,154708,162272,171559,167785,168062,174025,181759,186400,195422,200939,199953,202908,199715,205038,218292,224229,229691,235534,246879,251651,272795,(NA)
 "50000","Vermont",1,SAINC7N,706,"446","    Health and personal care stores","Thousands of dollars",39245,44644,46845,48969,53114,56341,63282,67811,73172,77902,81905,72193,68906,73409,71133,76471,75755,78216,78221,75308,75251,75440,75249,(NA)
 "50000","Vermont",1,SAINC7N,707,"447","    Gasoline stations","Thousands of dollars",43105,45914,50399,54398,57575,58587,62762,63792,66825,68842,70254,68792,68073,67067,68552,70608,71331,76172,80194,82390,86192,87121,93600,(NA)
 "50000","Vermont",1,SAINC7N,708,"448","    Clothing and clothing accessories stores","Thousands of dollars",36532,38630,42951,44721,46623,47573,49105,51395,52644,51916,51713,48811,48924,46975,47201,47616,47538,50012,49405,47566,45961,44696,35852,(NA)
 "50000","Vermont",1,SAINC7N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Thousands of dollars",29420,30222,31878,34328,35928,37452,37216,38385,40624,41013,39515,39005,38360,38723,39247,40435,39377,39065,38290,38272,39584,40605,39647,(NA)
 "50000","Vermont",1,SAINC7N,711,"452","    General merchandise stores","Thousands of dollars",46068,49924,54147,54408,54661,49489,52238,53241,53453,57190,57581,57075,59217,62742,65018,66626,70615,71846,74154,80398,80909,80014,82354,(NA)
 "50000","Vermont",1,SAINC7N,712,"453","    Miscellaneous store retailers","Thousands of dollars",42261,47138,52106,57511,56320,59835,62239,65370,60066,63116,57573,51818,50882,50072,49375,51385,49682,51278,53294,53211,56880,55266,47446,(NA)
 "50000","Vermont",1,SAINC7N,713,"454","    Nonstore retailers","Thousands of dollars",72693,75140,80830,90395,86768,94068,100822,99466,103301,101704,106758,105405,117736,124084,99170,104788,109677,116416,110675,114957,122658,121695,128005,(NA)
 "50000","Vermont",1,SAINC7N,800,"48-49","   Transportation and warehousing","Thousands of dollars",200640,210861,231218,219388,224053,223049,239004,245207,250929,257107,258621,245234,251804,267783,268521,265254,278443,275699,275254,284005,298910,317861,317451,351516
 "50000","Vermont",1,SAINC7N,801,"481","    Air transportation","Thousands of dollars",9049,9962,10486,8496,8846,9226,9949,10453,10010,8421,8239,6975,5110,4320,3816,4129,4332,4875,4447,4990,5479,5574,5261,(NA)
 "50000","Vermont",1,SAINC7N,802,"482","    Rail transportation","Thousands of dollars",9296,8949,9677,9219,8282,8396,9295,9538,10397,10493,11133,10298,11044,11997,13017,8095,8397,9002,9280,10214,10825,11114,10894,(NA)
 "50000","Vermont",1,SAINC7N,803,"483","    Water transportation","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "50000","Vermont",1,SAINC7N,804,"484","    Truck transportation","Thousands of dollars",88414,90021,92286,91061,91460,94225,100612,102522,104723,106018,105865,99884,103618,105026,106122,105165,108628,107816,104598,108157,113196,117582,117652,(NA)
 "50000","Vermont",1,SAINC7N,805,"485","    Transit and ground passenger transportation","Thousands of dollars",22626,23048,23139,25754,27048,25738,27213,27721,30066,32904,33826,33394,34610,36276,35243,36990,38091,38207,37511,39213,40800,42611,34022,(NA)
 "50000","Vermont",1,SAINC7N,806,"486","    Pipeline transportation","Thousands of dollars",(T),(T),(T),(D),0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "50000","Vermont",1,SAINC7N,807,"487","    Scenic and sightseeing transportation","Thousands of dollars",(T),(T),(T),(D),1864,1817,1888,1978,2154,2358,2611,2398,2273,2530,2603,2749,(D),1498,1387,1421,(D),(D),(D),(NA)
 "50000","Vermont",1,SAINC7N,808,"488","    Support activities for transportation","Thousands of dollars",10447,10310,10460,12310,19795,16949,20238,19132,18591,20129,24233,23605,22501,23990,23550,18144,18396,20338,21218,21455,24435,25673,26443,(NA)
 "50000","Vermont",1,SAINC7N,809,"492","    Couriers and messengers","Thousands of dollars",31404,34363,35920,36097,(D),(D),(D),(D),(D),(D),(D),40314,41880,41937,42159,43720,47379,49369,49991,51439,53659,57256,66791,(NA)
 "50000","Vermont",1,SAINC7N,811,"493","    Warehousing and storage","Thousands of dollars",27217,31529,46417,30720,26204,27573,27333,29584,29897,30609,26933,23115,24800,35951,36731,41033,42157,39412,41487,41747,44042,51066,50363,(NA)
 "50000","Vermont",1,SAINC7N,900,"51","   Information","Thousands of dollars",211319,215971,227654,239269,(D),242104,247672,246988,248935,255692,255404,248733,241735,244319,228376,240627,256352,260660,260498,261511,256073,271828,271545,292382
 "50000","Vermont",1,SAINC7N,901,"511","    Publishing industries (except Internet)","Thousands of dollars",70291,74841,78754,82002,83588,85225,81964,83790,84802,85589,81508,76570,74350,77360,76792,85287,101464,101484,107044,109099,103183,111411,106674,(NA)
 "50000","Vermont",1,SAINC7N,902,"512","    Motion picture and sound recording industries","Thousands of dollars",5695,5699,(T),8175,6900,7336,7370,6506,7299,8022,7744,7724,7369,7129,6807,5732,6214,7387,8376,8094,8443,8198,6625,(NA)
 "50000","Vermont",1,SAINC7N,903,"515","    Broadcasting (except Internet)","Thousands of dollars",34044,31073,24033,23707,24149,24294,25344,25647,25950,26056,26961,24557,25840,25993,26855,27627,28953,29420,29599,30208,29564,30070,31671,(NA)
 "50000","Vermont",1,SAINC7N,904,"516","    Internet publishing and broadcasting 2/","Thousands of dollars",(T),(T),(T),197,(D),198,(D),(D),9338,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "50000","Vermont",1,SAINC7N,905,"517","    Telecommunications","Thousands of dollars",83319,83289,93569,94678,93295,94450,92456,89121,87736,96507,99824,100707,97683,102660,92643,94632,90307,91776,79486,76876,74217,74112,75577,(NA)
 "50000","Vermont",1,SAINC7N,906,"518","    Data processing, hosting, and related services","Thousands of dollars",15464,18597,22631,26950,25707,26469,28656,28947,28641,24632,23714,25155,23329,17442,10825,12700,13581,13720,16206,17637,21616,27212,27516,(NA)
 "50000","Vermont",1,SAINC7N,907,"519","    Other information services 2/","Thousands of dollars",(T),(T),(T),3560,3851,4132,(D),(D),5169,14886,15653,14020,13164,13735,14454,14649,15833,16873,19787,19597,19050,20825,23482,(NA)
 "50000","Vermont",1,SAINC7N,1000,"52","   Finance and insurance","Thousands of dollars",358301,386024,402672,453602,467540,509493,522321,543672,560294,611094,621318,575500,579785,600150,613666,621512,645468,676462,684374,747764,760537,804120,843046,885483
 "50000","Vermont",1,SAINC7N,1001,"521","    Monetary Authorities-central bank","Thousands of dollars",0,0,0,0,0,0,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "50000","Vermont",1,SAINC7N,1002,"522","    Credit intermediation and related activities","Thousands of dollars",131946,137882,133148,175470,198660,220910,221457,228695,219317,240775,235661,215536,219535,224710,227915,229078,231528,240634,243162,257471,256109,267810,291147,(NA)
 "50000","Vermont",1,SAINC7N,1003,"523","    Securities, commodity contracts, and other financial investments and related activities","Thousands of dollars",63241,75119,87155,(D),68912,70324,83403,(D),103594,123329,126180,107813,100144,106275,108601,104084,111539,113404,112911,129554,142360,153005,146756,(NA)
 "50000","Vermont",1,SAINC7N,1004,"524","    Insurance carriers and related activities","Thousands of dollars",161459,170712,180188,198515,197137,215369,216744,224194,236702,246395,258850,251486,259548,268443,276467,287774,301899,321793,327641,360056,360785,381364,403185,(NA)
 "50000","Vermont",1,SAINC7N,1005,"525","    Funds, trusts, and other financial vehicles","Thousands of dollars",(T),2311,2181,(D),2831,2890,(D),(D),681,595,627,665,558,722,683,576,502,631,660,683,1283,1941,1958,(NA)
 "50000","Vermont",1,SAINC7N,1100,"53","   Real estate and rental and leasing","Thousands of dollars",64731,70388,74000,81046,85558,88425,98159,99081,100232,105707,107889,102248,100637,104073,110550,118577,120267,119540,124271,129007,140002,146674,146181,165024
 "50000","Vermont",1,SAINC7N,1101,"531","    Real estate","Thousands of dollars",40102,44427,47841,54523,58128,60829,70449,69307,70021,73789,77524,(D),73431,76405,81867,89387,90293,88422,92619,96677,104820,110916,116206,(NA)
 "50000","Vermont",1,SAINC7N,1102,"532","    Rental and leasing services","Thousands of dollars",22879,23916,24466,25037,26132,26179,27242,29313,29514,31011,29632,27536,26563,26926,28047,(D),28859,(D),30635,31399,34232,34018,28193,(NA)
 "50000","Vermont",1,SAINC7N,1103,"533","    Lessors of nonfinancial intangible assets (except copyrighted works)","Thousands of dollars",(T),(T),(T),1486,1298,1417,468,461,697,907,733,(D),643,742,636,(D),1115,(D),1017,931,950,1740,1782,(NA)
 "50000","Vermont",1,SAINC7N,1200,"54","   Professional, scientific, and technical services","Thousands of dollars",449305,506574,562032,547223,548822,588221,625800,676424,769129,776031,814104,805821,874354,889527,934899,975761,990409,1055298,1090268,1139801,1185283,1269385,1375575,1564848
 "50000","Vermont",1,SAINC7N,1300,"55","   Management of companies and enterprises","Thousands of dollars",93612,86433,86276,14798,15240,15756,17768,19426,11318,10676,58615,60332,70075,111043,152890,159620,181526,191163,193480,188021,186438,220182,217806,241877
