GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "05000","Arkansas",5,SAINC7S,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",1292241,1381301,1432872,1510385,1663038,1778123,1903744,2059761,2245910,2444504,2696662,2961161,3170301,3483957,3890991,4408280,4935979,5217812,5955348,6740241,7703047,8601359,9307195,10124926,10476370,11238246,12332083,13048087,13838570,14577970,15589778,16455665,17718316,18678622,20196848,21171099,22649341,24066197,25259311,26784551,28569246,30163014,31830512,32970649
 "05000","Arkansas",5,SAINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",75513,80165,78845,75055,78193,80286,71032,75243,55671,59893,69789,82808,82647,79522,77604,87130,88502,78858,82905,94975,159087,168272,169083,160000,181243,172866,170470,170573,157137,155655,180001,195124,233469,231425,212386,235961,209208,180362,202390,223404,237955,242217,240063,259281
 "05000","Arkansas",5,SAINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1216728,1301136,1354027,1435330,1584845,1697837,1832712,1984518,2190239,2384611,2626873,2878353,3087654,3404435,3813387,4321150,4847477,5138954,5872443,6645266,7543960,8433087,9138112,9964926,10295127,11065380,12161613,12877514,13681433,14422315,15409777,16260541,17484847,18447197,19984462,20935138,22440133,23885835,25056921,26561147,28331291,29920797,31590449,32711368
 "05000","Arkansas",5,SAINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",930117,1020315,1072367,1127913,1235879,1343900,1451627,1589849,1755991,1894744,2093620,2308449,2445733,2684908,3037643,3471046,3894368,4045072,4672796,5347180,6103044,6839766,7371908,8056697,8258796,8916514,9807947,10322816,10972952,11627885,12464799,13162409,14131426,14820356,16132227,16973898,18299616,19546292,20519957,21814122,23377146,24741655,26134393,26971519
 "05000","Arkansas",5,SAINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",4258,4557,5107,5163,5617,6511,7130,8022,9386,12251,15549,17038,18871,21442,22486,25338,28159,21151,22566,26402,41972,48124,50245,50082,51970,52934,62195,66215,73586,83096,92205,93949,98351,108161,117209,122458,133435,141271,150666,162723,175589,193019,213236,244591
 "05000","Arkansas",5,SAINC7S,110,"07","    Agricultural services","Thousands of dollars",3321,3815,4465,4548,4960,5762,6255,6976,8360,11052,13950,15518,17276,19590,20029,22645,24750,19311,20223,22810,37075,42246,44056,42393,44734,46575,55774,59531,66442,74627,80728,81410,87335,97902,106755,110730,120713,126874,135190,142557,152718,168944,180004,(NA)
 "05000","Arkansas",5,SAINC7S,120,"...","    Forestry and fishing","Thousands of dollars",937,742,642,615,657,749,875,1046,1026,1199,1599,1520,1595,1852,2457,2693,3409,1840,2343,3592,4897,5878,6189,7689,7236,6359,6421,6684,7144,8469,11477,12539,11016,10259,10454,11728,12722,14397,15476,20166,22871,24075,33232,(NA)
 "05000","Arkansas",5,SAINC7S,121,"08","     Forestry","Thousands of dollars",937,742,642,615,657,749,875,1046,1026,1199,1599,1520,1595,1852,2457,2693,3409,1754,2340,3558,4401,5332,6118,7612,7184,(D),6148,(D),6029,7171,10065,(D),10349,(D),(D),(D),(D),13914,14872,19486,22320,23519,32583,(NA)
 "05000","Arkansas",5,SAINC7S,122,"...","     Fishing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,3,34,496,546,71,77,52,(D),273,(D),1115,1298,1412,(D),667,(D),(D),(D),(D),483,604,680,551,556,649,(NA)
 "05000","Arkansas",5,SAINC7S,200,"B","   Mining","Thousands of dollars",27800,28167,25490,25842,24977,24786,25391,26004,28901,29991,31162,32169,32969,34819,36781,37243,42563,50068,57016,66099,70065,77753,94865,120708,128402,116070,124442,128509,101437,95533,103345,104888,109656,106836,100621,99581,101373,104978,105420,112922,113709,111869,126600,155169
