GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "15000","Hawaii",8,SAINC7S,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",846735,951104,1076199,1157992,1230951,1320406,1440726,1574843,1730399,1868210,2118668,2427859,2778630,2935296,3188460,3551052,3890840,4240611,4533106,4874342,5422253,6010042,6683532,7182294,7605755,8084545,8593972,9159852,9763673,10666456,11767357,12997873,14404760,15296012,16257213,16515923,16666378,16680133,16718142,17215868,17621036,18185436,19173030,19831092
 "15000","Hawaii",8,SAINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",51234,56852,58330,58949,60840,66152,70141,72646,75594,80691,80620,80486,91193,82890,82957,99876,114200,122125,127425,131227,123855,132449,134726,128055,146465,143116,145073,149990,142359,145737,173713,173329,171232,166422,168677,162393,162193,143927,148236,146321,156821,172808,172119,168468
 "15000","Hawaii",8,SAINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",795501,894252,1017869,1099043,1170111,1254254,1370585,1502197,1654805,1787519,2038048,2347373,2687437,2852406,3105503,3451176,3776640,4118486,4405681,4743115,5298398,5877593,6548806,7054239,7459290,7941429,8448899,9009862,9621314,10520719,11593644,12824544,14233528,15129590,16088536,16353530,16504185,16536206,16569906,17069547,17464215,18012628,19000911,19662624
 "15000","Hawaii",8,SAINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",439120,509589,592267,635971,660340,694028,762386,845838,941268,1007174,1160701,1392750,1602763,1683445,1833082,2081271,2290321,2497751,2673199,2907245,3322631,3821966,4254450,4579305,4731381,5059148,5379636,5782240,6283939,7037516,7874555,8868776,10002816,10621720,11242189,11444040,11502076,11528605,11676520,11925292,12195967,12494362,13340586,13774598
 "15000","Hawaii",8,SAINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1992,2050,2241,2965,3363,3381,3636,4521,4511,4628,5115,5768,7201,8253,9324,10567,11116,10794,13896,15672,20880,25743,29636,30620,28096,31944,37146,37794,43013,49413,57515,60974,70711,85842,89474,92529,89719,90588,88700,86915,89345,95782,105769,111152
 "15000","Hawaii",8,SAINC7S,110,"07","    Agricultural services","Thousands of dollars",881,1035,1342,1898,2364,2420,2637,3170,3436,3534,3916,4423,5695,6113,6701,7967,8939,8906,10648,12157,17017,21440,25364,25388,24892,28242,33204,33683,38906,43247,50115,55097,65718,81931,85341,86829,83589,83864,81190,76247,79715,84291,93275,(NA)
 "15000","Hawaii",8,SAINC7S,120,"...","    Forestry and fishing","Thousands of dollars",1111,1015,899,1067,999,961,999,1351,1075,1094,1199,1345,1506,2140,2623,2600,2177,1888,3248,3515,3863,4303,4272,5232,3204,3702,3942,4111,4107,6166,7400,5877,4993,3911,4133,5700,6130,6724,7510,10668,9630,11491,12494,(NA)
 "15000","Hawaii",8,SAINC7S,121,"08","     Forestry","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),863,(D),(D),(NA)
 "15000","Hawaii",8,SAINC7S,122,"...","     Fishing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3702,3942,4111,4107,6166,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8767,(D),(D),(NA)
 "15000","Hawaii",8,SAINC7S,200,"B","   Mining","Thousands of dollars",639,311,401,415,244,233,294,239,214,227,301,356,297,203,236,240,191,24,1,2,0,1032,1195,1354,1560,1731,1122,1153,1316,5097,4503,4358,5626,11197,14527,14551,13366,18352,15983,14071,14105,13928,15141,14694
 "15000","Hawaii",8,SAINC7S,210,"10","    Metal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "15000","Hawaii",8,SAINC7S,220,"12","    Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "15000","Hawaii",8,SAINC7S,230,"13","    Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15000","Hawaii",8,SAINC7S,240,"14","    Nonmetallic minerals, except fuels","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15000","Hawaii",8,SAINC7S,300,"C","   Construction","Thousands of dollars",58631,76612,101264,103706,94704,98435,115112,133079,154582,145409,178914,247588,293933,270212,288866,347097,376012,396027,347521,337319,381169,459375,500371,504024,437886,474553,425044,476668,551164,656039,758479,1015690,1212224,1314184,1303291,1349820,1227405,1126807,1029624,968180,962053,963447,1100609,1144685
 "15000","Hawaii",8,SAINC7S,310,"15","    General building contractors","Thousands of dollars",21384,27942,36908,36736,34939,33275,41495,55070,64532,59839,75453,109897,129426,112267,126929,163188,178748,169137,137968,139781,167421,180395,200930,195189,164056,185094,163528,186718,225533,257575,304695,423329,458612,486293,471528,495796,431956,378285,327740,299602,304902,310792,362938,(NA)
 "15000","Hawaii",8,SAINC7S,320,"16","    Heavy construction contractors","Thousands of dollars",16514,21578,28511,30171,23489,27136,29950,25328,25478,22555,26657,34750,37173,38877,36844,39514,41671,43672,38297,37648,37807,60021,64156,66534,59260,63925,57365,62397,64662,87685,93275,124012,165202,213243,220598,204763,192087,170877,160074,139617,127207,127660,158417,(NA)
 "15000","Hawaii",8,SAINC7S,330,"17","    Special trade contractors","Thousands of dollars",20733,27092,35845,36799,36276,38024,43667,52681,64572,63015,76804,102941,127334,119068,125093,144395,155593,183218,171256,159890,175941,218959,235285,242301,214570,225534,204151,227553,260969,310779,360509,468349,588410,614648,611165,649261,603362,577645,541810,528961,529944,524995,579254,(NA)
 "15000","Hawaii",8,SAINC7S,400,"D","   Manufacturing","Thousands of dollars",84769,99445,104254,109800,111799,116955,120101,126369,134580,141256,151303,168245,182413,193277,199976,200574,221956,239823,250416,261585,284130,315052,344713,366431,368611,383735,391015,414026,437930,450292,483938,513187,533194,548151,552181,526377,521512,503993,502820,512121,512232,527779,564885,604739
 "15000","Hawaii",8,SAINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",11406,14053,16790,17845,18299,20803,20978,21889,24992,25671,32184,40951,43345,41915,44511,50276,54377,57628,57798,63315,68976,77824,81212,80922,79030,80913,75377,86669,94292,99879,113623,125774,138463,144561,139308,137526,136472,120904,117921,110432,113271,118638,139052,163214
 "15000","Hawaii",8,SAINC7S,413,"24","     Lumber and wood products","Thousands of dollars",1925,2234,2669,2551,2545,2619,2662,2816,3128,3312,3827,4611,5657,6904,7502,8788,6971,5018,5209,5187,4745,5358,5828,5161,4686,4052,4127,6409,5582,6355,7202,8034,9983,10788,9710,11348,12442,11920,10811,10908,12326,(D),(D),(NA)
 "15000","Hawaii",8,SAINC7S,417,"25","     Furniture and fixtures","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6209,7237,(D),(D),(D),(D),(D),(D),(D),(D),9331,8140,8493,7079,5947,7028,8229,(NA)
 "15000","Hawaii",8,SAINC7S,420,"32","     Stone, clay, and glass products","Thousands of dollars",3983,4784,5938,6427,5938,6015,8388,9984,11272,10809,13604,18128,19235,17870,19206,22554,25288,25544,23608,26269,29209,34077,33783,33210,30151,30049,26603,30967,32726,34458,38744,46643,54716,56782,55676,53763,54742,46358,42062,35373,36415,38179,42478,(NA)
 "15000","Hawaii",8,SAINC7S,423,"33","     Primary metal industries","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1911,1506,(D),(D),656,(D),(D),(D),0,(D),(D),(D),(D),0,0,0,0,0,0,(NA)
 "15000","Hawaii",8,SAINC7S,426,"34","     Fabricated metal products","Thousands of dollars",1346,1891,2324,2565,2796,2863,2880,3097,3538,3882,4613,4665,4770,4626,4350,4216,4773,6332,5904,6727,6661,8369,9960,13002,14016,15889,15555,14268,16428,17077,16564,15277,15637,13824,13605,12672,12300,13331,13019,12490,11521,11845,12727,(NA)
 "15000","Hawaii",8,SAINC7S,429,"35","     Industrial machinery and equipment","Thousands of dollars",466,565,658,780,597,672,790,679,683,711,729,855,1027,1230,1268,1338,1527,1589,1678,1727,1642,1981,2477,2765,2926,2823,4482,3606,3694,2544,5790,6964,8006,9148,7820,8078,7911,7891,8288,7736,8747,6037,6578,(NA)
 "15000","Hawaii",8,SAINC7S,432,"36","     Electronic and other electric equipment","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),490,441,656,2240,(D),(D),(D),(D),(D),(D),1240,1603,2652,(D),(D),(D),(D),(D),(NA)
 "15000","Hawaii",8,SAINC7S,435,"371","     Motor vehicles and equipment","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),805,(D),(D),(D),(D),(D),(D),596,576,431,(NA)
 "15000","Hawaii",8,SAINC7S,438,"372-379","     Other transportation equipment","Thousands of dollars",340,364,614,887,410,521,621,783,1305,1553,3205,5624,4483,2404,2654,3727,4136,5741,6864,8847,9073,7750,8043,9061,10692,10859,8605,14093,15423,15022,17317,20114,18102,19598,16137,15826,18149,17536,16456,16650,14046,15127,19847,(NA)
 "15000","Hawaii",8,SAINC7S,441,"38","     Instruments and related products","Thousands of dollars",150,147,140,163,208,219,240,250,250,219,241,260,278,308,313,352,350,465,511,483,775,690,512,550,592,629,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1123,(NA)
 "15000","Hawaii",8,SAINC7S,444,"39","     Miscellaneous manufacturing industries","Thousands of dollars",282,366,378,408,460,461,666,766,919,1152,1423,1702,1907,2234,2513,2995,3803,5581,6341,6564,8239,9406,8651,7861,7584,6880,7478,7506,7876,8488,10291,7082,9091,13341,17293,16129,17663,11211,13394,14238,15766,16886,16798,(NA)
 "15000","Hawaii",8,SAINC7S,447,"...","     Ordnance 2/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "15000","Hawaii",8,SAINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",73363,85392,87464,91955,93500,96152,99123,104480,109588,115585,119119,127294,139068,151362,155465,150298,167579,182195,192618,198270,215154,237228,263501,285509,289581,302822,315638,327357,343638,350413,370315,387413,394731,403590,412873,388851,385040,383089,384899,401689,398961,409141,425833,441525
 "15000","Hawaii",8,SAINC7S,453,"20","     Food and kindred products","Thousands of dollars",57393,66293,65479,68932,68970,71406,73323,76156,79367,82746,82415,84867,91746,100919,99349,89145,101597,112890,117781,121839,133674,146756,161343,173805,174002,178308,177184,174777,181442,186168,199098,202469,204707,204300,206208,175071,167491,157604,158597,166358,166288,172076,177244,(NA)
 "15000","Hawaii",8,SAINC7S,456,"21","     Tobacco products","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,(NA)
 "15000","Hawaii",8,SAINC7S,459,"22","     Textile mill products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2799,3267,(D),(D),(D),4007,(D),(D),(D),2355,2039,1945,323,275,(D),(D),(D),(D),(NA)
