GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "19000","Iowa",4,SAINC7S,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",2619589,2880150,2979992,3054475,3194925,3376308,3592621,3849420,4305929,4617027,5012767,5426127,5810313,6190952,6665111,7506549,8492277,9205332,10317832,11500140,12744003,14225917,15152533,16054582,16032159,16454974,17519579,18023689,18534206,19860378,21474043,22884506,24392378,25416669,26992530,28214788,30046150,31725736,33381038,35497938,38197432,40182058,41958028,42987825
 "19000","Iowa",4,SAINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",66913,70860,69970,72506,86594,86711,84136,86205,96333,89517,88982,91998,102480,112523,109828,139405,157312,171173,226432,243034,233051,255954,267106,266944,284560,266059,256521,249630,225027,217587,235474,238898,267547,248107,254532,275754,263074,255400,244604,271670,324263,310316,311065,344102
 "19000","Iowa",4,SAINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",2552676,2809290,2910022,2981969,3108331,3289597,3508485,3763215,4209596,4527510,4923785,5334129,5707833,6078429,6555283,7367144,8334965,9034159,10091400,11257106,12510952,13969963,14885427,15787638,15747599,16188915,17263058,17774059,18309179,19642791,21238569,22645608,24124831,25168562,26737998,27939034,29783076,31470336,33136434,35226268,37873169,39871742,41646963,42643723
 "19000","Iowa",4,SAINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2134890,2367901,2442099,2473444,2558714,2708159,2884053,3087742,3471041,3736411,4046509,4363816,4618568,4879046,5270119,5994865,6859037,7337616,8202097,9197779,10309408,11615824,12298595,13008295,12792604,13076725,14016798,14341317,14737817,15852390,17169669,18348741,19550438,20338125,21684177,22686747,24324547,25773186,27177751,29054739,31424691,33141823,34528984,35229420
 "19000","Iowa",4,SAINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",8117,8153,9125,10116,10961,11373,12309,13751,15314,16020,17175,17345,18682,20794,19454,24061,29186,23755,26517,27606,36715,47270,52520,50067,52286,60575,67173,68264,73664,81078,88522,88543,101465,109694,112164,116039,124654,126045,139474,146857,163549,182651,189032,216340
 "19000","Iowa",4,SAINC7S,110,"07","    Agricultural services","Thousands of dollars",8117,8153,9125,10116,10961,11373,12309,13751,15314,16020,17175,17345,18682,20794,19449,24048,29183,23700,26440,27536,36697,47251,52406,49943,52191,60490,67037,(D),73664,(D),(D),(D),101409,109205,111687,115530,123980,125158,138416,145866,162283,181123,187240,(NA)
 "19000","Iowa",4,SAINC7S,120,"...","    Forestry and fishing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,55,77,70,18,19,114,124,95,85,136,(D),0,(D),(D),(D),56,489,477,509,674,887,1058,991,1266,1528,1792,(NA)
 "19000","Iowa",4,SAINC7S,121,"08","     Forestry","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),847,1183,1382,1688,(NA)
 "19000","Iowa",4,SAINC7S,122,"...","     Fishing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,(D),(D),(D),(D),(D),(D),(D),144,83,146,104,(NA)
 "19000","Iowa",4,SAINC7S,200,"B","   Mining","Thousands of dollars",16783,15882,15258,15270,17412,16788,17538,18851,21273,22834,24444,24268,24815,26249,24588,28532,33428,34765,33494,33382,37175,42085,39495,36289,33944,37567,44377,46672,44451,53844,52963,52718,54123,56496,59538,59636,61598,61653,63735,69629,75808,74839,76036,77201
 "19000","Iowa",4,SAINC7S,210,"10","    Metal mining","Thousands of dollars",0,0,0,6,10,7,1,0,0,0,0,0,0,0,21,29,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(NA)
