GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "91000","New England",1,SAINC7S,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",15559827,16751853,17506067,18213269,19287727,20020301,21211885,22684936,24971282,26969392,29218594,31935408,34064897,35556564,38560782,42340307,45241306,46645185,50740389,55573449,62212823,69711792,77416514,84756065,90916567,98567769,110593349,120813737,131634282,145001024,159268696,166261771,170036922,169099385,176005939,182077214,189690027,200509780,212088409,228514518,246152313,264366232,291619018,299152717
 "91000","New England",1,SAINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",124322,104208,105580,104014,105991,107960,108955,112121,110784,111533,109096,108329,112842,108371,108525,125911,133170,141401,145910,170544,168593,181567,185921,178544,194720,191130,194137,200381,190370,194722,218795,230751,269193,259943,250943,275984,272500,309107,326481,349450,354232,324845,379668,393711
 "91000","New England",1,SAINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",15435505,16647645,17400487,18109255,19181736,19912341,21102930,22572815,24860498,26857859,29109498,31827079,33952055,35448193,38452257,42214396,45108136,46503784,50594479,55402905,62044230,69530225,77230593,84577521,90721847,98376639,110399212,120613356,131443912,144806302,159049901,166031020,169767729,168839442,175754996,181801230,189417527,200200673,211761928,228165068,245798081,264041387,291239350,298759006
 "91000","New England",1,SAINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",13076972,14173080,14804128,15324694,16241620,16806888,17765468,19047398,21023664,22636673,24383481,26680844,28201202,29149959,31481103,34628908,37250563,38040871,41617147,45679380,51519377,58223709,64982977,71570688,76970543,83710502,94508191,103305889,112852609,124568389,136846150,142192155,144588529,143184757,149428116,154349029,160878398,170681783,181228261,196482619,212806832,229443474,254688165,259972508
 "91000","New England",1,SAINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",56626,52080,47479,52060,55773,57901,60998,66901,70217,73310,78269,84591,92499,100053,107452,122383,128729,142398,161415,172221,229374,267366,293316,291796,318551,360603,411305,460615,552092,647564,714541,733451,709541,687469,681338,698994,739780,790024,870742,943675,1056491,1210601,1333240,1505605
 "91000","New England",1,SAINC7S,110,"07","    Agricultural services","Thousands of dollars",29753,27300,29212,31897,34615,35679,39696,42449,47378,52220,57961,62356,69069,75730,78682,90988,95278,97021,107311,116336,154142,178181,200790,188939,226651,262297,314362,376799,451632,531370,599547,611102,577285,549856,547909,585437,633088,674625,753445,822515,933565,1061892,1170211,(NA)
 "91000","New England",1,SAINC7S,120,"...","    Forestry and fishing","Thousands of dollars",26873,24780,18267,20163,21158,22222,21302,24452,22839,21090,20308,22235,23430,24323,28770,31395,33451,45377,54104,55885,75232,89185,92526,102857,91900,98306,96943,83816,100460,116194,114994,122349,132256,137613,133429,113557,106692,115399,117297,121160,122926,148709,163029,(NA)
 "91000","New England",1,SAINC7S,121,"08","     Forestry","Thousands of dollars",827,579,538,602,807,998,1201,1322,1303,1638,1313,1604,1758,2052,2197,2333,2416,3979,4296,4804,5293,8828,13153,14726,14898,13103,12728,10255,11417,12774,14448,15459,15521,15625,15600,16046,16415,18900,19907,20964,(D),(D),28479,(NA)
 "91000","New England",1,SAINC7S,122,"...","     Fishing","Thousands of dollars",26046,24201,17729,19561,20351,21224,20101,23130,21536,19452,18995,20631,21672,22271,26573,29062,31035,41398,49808,51081,69939,80357,79373,88131,77002,85203,84215,73561,89043,103420,100546,106890,116735,121988,117829,97511,90277,96499,97390,100196,(D),(D),134550,(NA)
 "91000","New England",1,SAINC7S,200,"B","   Mining","Thousands of dollars",20071,20251,21045,21612,22329,22263,23824,25562,25804,25144,28224,30350,32072,32121,32957,35295,37773,41713,42873,69690,74542,85561,103103,133355,110760,103118,108243,125696,143962,162494,179777,150108,124389,106946,112789,123766,122758,121490,119603,127081,137437,158440,157030,172299
