GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "39000","Ohio",3,SAINC7S,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",14351705,15713330,16229291,16116253,17094874,17852096,19056031,20716152,22797625,23855579,26341358,29031267,30172237,31483854,34054922,38069738,41016499,41945865,46483556,51613983,57584415,63396021,66442215,71105900,71669072,74848911,82682374,88178416,92315772,97593779,104787156,109931257,115449741,117745736,124335191,129275541,137508931,144780999,151269842,160527062,170532031,178845011,187374685,190021284
 "39000","Ohio",3,SAINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",63565,63586,69348,75232,77500,84760,81047,78210,73984,74747,80128,78564,89843,88836,93159,112992,128343,164014,200656,178196,149279,162799,168768,165368,188231,180264,178786,180235,167780,168309,191599,204559,241198,235630,254817,275301,261917,253577,242192,268252,313291,293390,287817,311613
 "39000","Ohio",3,SAINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",14288140,15649744,16159943,16041021,17017374,17767336,18974984,20637942,22723641,23780832,26261230,28952703,30082394,31395018,33961763,37956746,40888156,41781851,46282900,51435787,57435136,63233222,66273447,70940532,71480841,74668647,82503588,87998181,92147992,97425470,104595557,109726698,115208543,117510106,124080374,129000240,137247014,144527422,151027650,160258810,170218740,178551621,187086868,189709671
 "39000","Ohio",3,SAINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",12594962,13878616,14268053,14007027,14862876,15501093,16557176,18058588,19893482,20721810,22865664,25209811,25902205,26843941,29063209,32552554,35139889,35558019,39591032,44257738,49615647,54887726,57119120,61137166,60975765,63624277,70709834,75451165,78895491,83320511,89339398,93681455,98063041,99442619,104980467,109178815,116596563,122968944,128652300,137056011,146106362,153538144,160375642,161699433
 "39000","Ohio",3,SAINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",22850,24429,25448,25968,27425,28430,29592,35971,33063,34744,38688,41996,45840,51837,52004,59394,66255,66638,80071,94412,127496,147238,172223,166177,176965,195503,224816,248894,275785,305020,324308,351903,380556,389645,415551,429474,465018,494249,528261,569516,628605,695775,759817,818195
 "39000","Ohio",3,SAINC7S,110,"07","    Agricultural services","Thousands of dollars",22059,23694,24909,25410,26973,27968,29149,35527,32666,34379,38361,41485,45360,51194,51428,58769,65531,65795,79063,93416,126084,145408,170152,163926,176108,194670,223875,248203,274947,303938,323094,350836,379302,388556,414557,428512,463949,491749,525704,566817,625550,692163,756593,(NA)
 "39000","Ohio",3,SAINC7S,120,"...","    Forestry and fishing","Thousands of dollars",791,735,539,558,452,462,443,444,397,365,327,511,480,643,576,625,724,843,1008,996,1412,1830,2071,2251,857,833,941,691,838,1082,1214,1067,1254,1089,994,962,1069,2500,2557,2699,3055,3612,3224,(NA)
 "39000","Ohio",3,SAINC7S,121,"08","     Forestry","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),789,565,667,650,582,631,620,2052,2148,2228,2574,3025,2521,(NA)
 "39000","Ohio",3,SAINC7S,122,"...","     Fishing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),425,502,587,439,412,331,449,448,409,471,481,587,703,(NA)
 "39000","Ohio",3,SAINC7S,200,"B","   Mining","Thousands of dollars",101855,109487,110784,107083,114146,117193,124018,127743,132799,147384,157034,178032,201334,213176,245011,269511,309200,385221,432983,486478,542792,636814,686061,731086,781483,714055,793567,752306,677595,669233,598996,580368,587473,528158,501050,486893,520051,501748,527641,547630,563931,572146,567322,619789
 "39000","Ohio",3,SAINC7S,210,"10","    Metal mining","Thousands of dollars",1798,1723,1441,1207,1529,1520,1689,1751,1870,6785,6580,7646,7157,7402,7457,7955,9211,10801,11669,12613,13791,14924,16993,8444,783,(D),(D),(D),(D),(D),(D),(D),(D),(D),4,4,6,5,4,4,4,4,(D),(NA)
 "39000","Ohio",3,SAINC7S,220,"12","    Coal mining","Thousands of dollars",51443,55150,53543,49074,49772,52032,51700,53117,58526,64231,66371,77344,93514,101004,126545,136874,163579,237017,266942,291831,305891,371629,368551,350534,382865,(D),(D),367165,350077,(D),(D),(D),(D),(D),212420,189639,204018,167025,173174,188608,193738,176876,(D),(NA)
 "39000","Ohio",3,SAINC7S,230,"13","    Oil and gas extraction","Thousands of dollars",18404,19131,21867,23554,27575,27867,33968,31673,29785,31675,35541,40772,45750,46762,50465,58484,67945,72966,87146,105995,135671,156422,206641,278990,307901,280405,302479,280893,213992,205647,172724,157255,163999,162488,148586,147253,153502,166800,173929,171018,176714,192883,191501,(NA)
 "39000","Ohio",3,SAINC7S,240,"14","    Nonmetallic minerals, except fuels","Thousands of dollars",30210,33483,33933,33248,35270,35774,36661,41202,42618,44693,48542,52270,54913,58008,60544,66198,68465,64437,67226,76039,87439,93839,93876,93118,89934,(D),(D),(D),(D),127697,132415,138990,146007,131771,140040,149997,162525,167918,180534,188000,193475,202383,209386,(NA)
 "39000","Ohio",3,SAINC7S,300,"C","   Construction","Thousands of dollars",857047,873899,856524,832867,869045,919162,991431,1138444,1357806,1418340,1712231,2013706,1914740,1865774,1865788,2082603,2197474,2187945,2316230,2540017,2971370,3347941,3484005,3272386,3070480,3001517,3384983,3572927,3728302,4217563,4662012,5004246,5326903,4978979,5062883,5484523,6061465,6375257,6882693,7489263,8096372,8810205,9296895,9281012
 "39000","Ohio",3,SAINC7S,310,"15","    General building contractors","Thousands of dollars",234287,239109,234639,229439,239833,245965,275639,315833,375113,393525,470853,536813,507771,455567,482059,526550,554022,543873,574180,590443,699506,810953,851444,725197,657926,681552,786447,840719,900406,1031448,1137212,1157461,1222709,1183264,1184019,1274446,1409074,1471960,1593639,1743866,1831549,2013118,2102618,(NA)
 "39000","Ohio",3,SAINC7S,320,"16","    Heavy construction contractors","Thousands of dollars",176853,178838,152760,146635,154456,162769,168657,201946,244306,249776,282830,305405,288866,316015,293714,349154,376011,369718,378742,456688,554278,635887,599619,624553,648362,522321,550267,568899,584188,686027,704510,752046,804049,733546,794214,853573,918242,904654,967838,1064663,1167379,1214586,1251903,(NA)
 "39000","Ohio",3,SAINC7S,330,"17","    Special trade contractors","Thousands of dollars",445907,455952,469125,456793,474756,510428,547135,620665,738387,775039,958548,1171488,1118103,1094192,1090015,1206899,1267441,1274354,1363308,1492886,1717586,1901101,2032942,1922636,1764192,1797644,2048269,2163309,2243708,2500088,2820290,3094739,3300145,3062169,3084650,3356504,3734149,3998643,4321216,4680734,5097444,5582501,5942374,(NA)
 "39000","Ohio",3,SAINC7S,400,"D","   Manufacturing","Thousands of dollars",6533108,7441816,7547544,7244565,7780336,8111204,8651476,9447582,10426924,10624687,11651282,12667067,12556892,12655866,13798985,15659285,16630301,16102849,18172391,20609307,22898623,24982400,25032112,26911309,25460931,26503146,29973760,31678794,32099905,32315435,34112193,35103522,35590369,35250701,36951162,37690866,40034042,41829212,42672559,44592868,46051151,47380405,48123466,45799744
 "39000","Ohio",3,SAINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",4630817,5355264,5426523,5145477,5570390,5835467,6256418,6894164,7649266,7728491,8496675,9284775,9086115,9067674,9976477,11508521,12224526,11644269,13194677,15061451,16818169,18393421,18113623,19458529,17923956,18568014,21236198,22478680,22468583,22393123,23658674,24309453,24371944,23794067,24855070,25334235,27258768,28807680,29373661,30648472,31398614,32371665,32890410,30849106
