GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "01000","Alabama",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1231154,1290634,1407718,1497366,1596037,1705558,1742059,1890456,2052583,2178961,2339937,2435833,2511370,2635099,2763119,2932035,3085388,3286723,3426404,3420032,3605930,3866120,4162731,4323346,4414064,4507680,4568722,4678733,4829806,4998992,5020207
 "01000","Alabama",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",698881,727825,794139,832420,838188,866232,896820,941939,988014,1047748,1083045,1120710,1137155,1180254,1274393,1377380,1474829,1560856,1592326,1616379,1718424,1832911,1868871,1945602,2046270,2155668,2133910,2289193,2292597,2379348,2549134
 "01000","Alabama",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",532273,562809,613579,664946,757849,839326,845239,948517,1064569,1131213,1256892,1315123,1374215,1454845,1488726,1554655,1610559,1725867,1834078,1803653,1887506,2033209,2293860,2377744,2367794,2352012,2434812,2389540,2537209,2619644,2471073
 "02000","Alaska",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",0,749,1579,2362,3248,4220,5346,6846,8628,10598,12448,11712,10616,9697,9039,8369,7952,7028,5587,12009,19102,29037,40771,49644,53193,53056,52658,56142,54146,56971,52979
 "02000","Alaska",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",624656,669544,706890,728534,744686,749983,774423,783747,830727,837391,890157,874674,802243,709708,616751,520980,427772,314940,178907,190724,198938,223382,246201,255883,272951,276398,247091,237387,245253,253725,244913
 "02000","Alaska",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-624656,-668795,-705311,-726172,-741438,-745763,-769077,-776901,-822099,-826793,-877709,-862962,-791627,-700011,-607712,-512611,-419820,-307912,-173320,-178715,-179836,-194345,-205430,-206239,-219758,-223342,-194433,-181245,-191107,-196754,-191934
 "04000","Arizona",6,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",616565,638373,693577,744603,807018,873548,956683,1052515,1174046,1301515,1448099,1558455,1629675,1755599,1959317,2140780,2257146,2385090,2404542,2322642,2332091,2368011,2482408,2530334,2667820,2820020,2976444,3122621,3345851,3505735,3484763
 "04000","Arizona",6,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",393146,418578,446760,480940,532335,581290,634259,694759,768161,835229,923100,920688,933903,959279,1012842,1082773,1165355,1210224,1190514,1098521,1083123,1119812,1133597,1184887,1213082,1306827,1381723,1447807,1619142,1633972,1941862
 "04000","Arizona",6,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",223419,219795,246817,263663,274683,292258,322424,357756,405885,466286,524999,637767,695772,796320,946475,1058007,1091791,1174866,1214028,1224121,1248968,1248199,1348811,1345447,1454738,1513193,1594721,1674814,1726709,1871763,1542901
 "05000","Arkansas",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",593070,615689,672234,692917,732067,788824,841430,909897,965995,1010793,1065947,1105662,1134176,1171368,1246748,1309991,1391077,1466646,1500157,1437725,1490996,1585856,1679779,1676098,1740703,1803415,1821021,1868039,1919613,1985136,2014314
 "05000","Arkansas",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",813090,863252,943585,1000522,1066416,1092965,1141916,1215036,1272362,1332522,1425439,1479961,1507002,1522664,1565832,1598109,1639529,1648151,1639236,1557793,1620272,1698143,1835551,1891348,1965534,2061535,2029818,2186036,2284885,2356924,2377193
 "05000","Arkansas",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-220020,-247563,-271351,-307605,-334349,-304141,-300486,-305139,-306367,-321729,-359492,-374299,-372826,-351296,-319084,-288118,-248452,-181505,-139079,-120068,-129276,-112287,-155772,-215250,-224831,-258120,-208797,-317997,-365272,-371788,-362879
 "06000","California",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1538121,1613158,1724127,1807355,1909205,2019797,2149926,2306933,2524836,2768053,3031352,3073264,3008131,3009119,3083330,3153809,3238446,3299943,3203760,3099076,3212056,3484846,3759623,3947460,4166016,4381644,4505627,4727055,5010605,5256228,5248006
 "06000","California",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1584889,1651040,1767001,1782482,1873222,1995179,2136260,2375182,2598796,2847386,3285414,3387306,3436508,3602660,3871071,4130842,4470254,4803773,4957620,4613433,4664592,4884422,5066016,5107656,5415705,5838636,6129384,6572259,6906041,7323547,7459724
 "06000","California",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-46768,-37882,-42874,24873,35983,24618,13666,-68249,-73960,-79333,-254062,-314042,-428377,-593541,-787741,-977033,-1231808,-1503830,-1753860,-1514357,-1452536,-1399576,-1306393,-1160196,-1249689,-1456992,-1623757,-1845204,-1895436,-2067319,-2211718
 "08000","Colorado",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",290345,313457,346459,375323,408592,443990,482626,533108,596201,659977,742690,762218,761341,775258,814686,854172,921629,972804,994830,1000409,1097531,1278601,1504453,1675885,1766328,1781967,1764684,1911708,1980697,2050849,2046869
 "08000","Colorado",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",204709,216653,234420,251281,266654,280908,300921,327964,365178,399292,454550,453442,422110,411814,416435,424921,445779,467799,471893,437188,434426,451687,477364,492834,534406,550205,560875,592176,635138,664749,668505
 "08000","Colorado",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",85636,96804,112039,124042,141938,163082,181705,205144,231023,260685,288140,308776,339231,363444,398251,429251,475850,505005,522937,563221,663105,826914,1027089,1183051,1231922,1231762,1203809,1319532,1345559,1386100,1378364
 "09000","Connecticut",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",5370559,5483238,6947512,6587012,6562261,7643944,8731622,8847223,10814836,11245543,12144273,12438570,12346603,12613300,14058040,15260486,16838519,18965515,20048519,16861169,19335042,20474031,22551417,21867210,22589881,23258596,22670018,25143632,26999521,29356822,28738450
 "09000","Connecticut",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",2625575,2773977,3008975,3241534,3460184,3817266,4195120,4775242,5333073,5883781,6618184,6875604,6618470,6782892,7215174,7608506,8024940,8629224,8581894,8002404,8482889,9109809,9357690,9359115,9638240,9983245,10013557,10044569,10150737,10256578,10223302
 "09000","Connecticut",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",2744984,2709261,3938537,3345478,3102077,3826678,4536502,4071981,5481763,5361762,5526089,5562966,5728133,5830408,6842866,7651980,8813579,10336291,11466625,8858765,10852153,11364222,13193727,12508095,12951641,13275351,12656461,15099063,16848784,19100244,18515148
 "10000","Delaware",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",983326,1098117,1176111,1340759,1454163,1530248,1584704,1585966,1815456,1899521,2161913,2331765,2442556,2618309,2833404,3041494,3279928,3569221,3721221,3726623,3842629,4132257,4341666,4436639,4579993,4767553,4992917,5186186,5396985,5551077,5677926
 "10000","Delaware",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1671352,1779551,1900689,2021307,2176102,2378121,2633298,2931441,3271316,3595509,3951900,4141061,4203256,4418725,4773577,5130177,5600700,5735394,5937489,5267711,5576898,6286424,6506944,6537228,7049376,7209768,7131167,7699321,7959497,8086550,7909838
 "10000","Delaware",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-688026,-681434,-724578,-680548,-721939,-847873,-1048594,-1345475,-1455860,-1695988,-1789987,-1809296,-1760700,-1800416,-1940173,-2088683,-2320772,-2166173,-2216268,-1541088,-1734269,-2154167,-2165278,-2100589,-2469383,-2442215,-2138250,-2513135,-2562512,-2535473,-2231912
 "11000","District of Columbia",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2083068,2204540,2351407,2470385,2618703,2765895,3009928,3194315,3467840,3853186,4638938,4896591,4968983,5152774,5487824,5745205,5939383,6183342,6282215,6486268,6772888,7170347,7460301,7389315,7590290,7918177,8124345,8964675,10019213,10522049,11036798
 "11000","District of Columbia",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",20066364,21122540,22443474,23119766,23639835,23828996,24066634,24876503,26258892,28727297,30124605,32121387,34455145,36761333,39591186,41921156,43253950,45368896,47154663,47581638,50083716,52737000,52804152,52315613,53863527,55250766,57457809,59644362,62742087,64456511,65679215
 "11000","District of Columbia",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-17983296,-18918000,-20092067,-20649381,-21021132,-21063101,-21056706,-21682188,-22791052,-24874111,-25485667,-27224796,-29486162,-31608559,-34103362,-36175951,-37314567,-39185554,-40872448,-41095370,-43310828,-45566653,-45343851,-44926298,-46273237,-47332589,-49333464,-50679687,-52722874,-53934462,-54642417
