naics97,naics02,mappings,wt_mappings
11----,11----,64,1
111///,111///,30,1
1111//,1111//,8,1
11111/,11111/,1,1
111110,111110,1,1
11112/,11112/,1,1
111120,111120,1,1
11113/,11113/,1,1
111130,111130,1,1
11114/,11114/,1,1
111140,111140,1,1
11115/,11115/,1,1
111150,111150,1,1
11116/,11116/,1,1
111160,111160,1,1
11119/,11119/,2,1
111191,111191,1,1
111199,111199,1,1
1112//,1112//,2,1
11121/,11121/,2,1
111211,111211,1,1
111219,111219,1,1
1113//,1113//,9,1
11131/,11131/,1,1
111310,111310,1,1
11132/,11132/,1,1
111320,111320,1,1
11133/,11133/,7,1
111331,111331,1,1
111332,111332,1,1
111333,111333,1,1
111334,111334,1,1
111335,111335,1,1
111336,111336,1,1
111339,111339,1,1
1114//,1114//,4,1
11141/,11141/,2,1
111411,111411,1,1
111419,111419,1,1
11142/,11142/,2,1
111421,111421,1,1
111422,111422,1,1
1119//,1119//,7,1
11191/,11191/,1,1
111910,111910,1,1
11192/,11192/,1,1
111920,111920,1,1
11193/,11193/,1,1
111930,111930,1,1
11194/,11194/,1,1
111940,111940,1,1
11199/,11199/,3,1
111991,111991,1,1
111992,111992,1,1
111998,111998,1,1
112///,112///,19,1
1121//,1121//,4,1
11211/,11211/,2,1
112111,112111,1,1
112112,112112,1,1
11212/,11212/,1,1
112120,112120,1,1
11213/,11213/,1,1
112130,112130,1,1
1122//,1122//,1,1
11221/,11221/,1,1
112210,112210,1,1
1123//,1123//,5,1
11231/,11231/,1,1
112310,112310,1,1
11232/,11232/,1,1
112320,112320,1,1
11233/,11233/,1,1
112330,112330,1,1
11234/,11234/,1,1
112340,112340,1,1
11239/,11239/,1,1
112390,112390,1,1
1124//,1124//,2,1
11241/,11241/,1,1
112410,112410,1,1
11242/,11242/,1,1
112420,112420,1,1
1125//,1125//,3,1
11251/,11251/,3,1
112511,112511,1,1
112512,112512,1,1
112519,112519,1,1
1129//,1129//,4,1
11291/,11291/,1,1
112910,112910,1,1
11292/,11292/,1,1
112920,112920,1,1
11293/,11293/,1,1
112930,112930,1,1
11299/,11299/,1,1
112990,112990,1,1
113///,113///,3,1
1131//,1131//,1,1
11311/,11311/,1,1
113110,113110,1,1
1132//,1132//,1,1
11321/,11321/,1,1
113210,113210,1,1
1133//,1133//,1,1
11331/,11331/,1,1
113310,113310,1,1
114///,114///,4,1
1141//,1141//,3,1
11411/,11411/,3,1
114111,114111,1,1
114112,114112,1,1
114119,114119,1,1
1142//,1142//,1,1
11421/,11421/,1,1
114210,114210,1,1
115///,115///,8,1
1151//,1151//,6,1
11511/,11511/,6,1
115111,115111,1,1
115112,115112,1,1
115113,115113,1,1
115114,115114,1,1
115115,115115,1,1
115116,115116,1,1
1152//,1152//,1,1
11521/,11521/,1,1
115210,115210,1,1
1153//,1153//,1,1
11531/,11531/,1,1
115310,115310,1,1
21----,21----,29,.85294116
21----,23----,5,.14705883
211///,211///,2,1
2111//,2111//,2,1
21111/,21111/,2,1
211111,211111,1,1
211112,211112,1,1
212///,212///,22,1
2121//,2121//,3,1
21211/,21211/,3,1
212111,212111,1,1
212112,212112,1,1
212113,212113,1,1
2122//,2122//,7,1
21221/,21221/,1,1
212210,212210,1,1
21222/,21222/,2,1
212221,212221,1,1
212222,212222,1,1
21223/,21223/,2,1
212231,212231,1,1
212234,212234,1,1
21229/,21229/,2,1
212291,212291,1,1
212299,212299,1,1
2123//,2123//,12,1
21231/,21231/,4,1
212311,212311,1,1
212312,212312,1,1
212313,212313,1,1
212319,212319,1,1
21232/,21232/,4,1
212321,212321,1,1
212322,212322,1,1
212324,212324,1,1
212325,212325,1,1
21239/,21239/,4,1
212391,212391,1,1
212392,212392,1,1
212393,212393,1,1
212399,212399,1,1
213///,213///,5,.5
213///,237///,1,.1
213///,238///,4,.40000001
2131//,2131//,5,.5
2131//,2371//,1,.1
2131//,2389//,4,.40000001
21311/,21311/,5,.5
21311/,23712/,1,.1
21311/,23891/,4,.40000001
213111,213111,1,1
213112,213112,1,.33333334
213112,237120,1,.33333334
213112,238910,1,.33333334
213113,213113,1,.5
213113,238910,1,.5
213114,213114,1,.5
213114,238910,1,.5
213115,213115,1,.5
213115,238910,1,.5
22----,22----,10,1
221///,221///,10,1
2211//,2211//,6,1
22111/,22111/,4,1
221111,221111,1,1
221112,221112,1,1
221113,221113,1,1
221119,221119,1,1
22112/,22112/,2,1
221121,221121,1,1
221122,221122,1,1
2212//,2212//,1,1
22121/,22121/,1,1
221210,221210,1,1
2213//,2213//,3,1
22131/,22131/,1,1
221310,221310,1,1
22132/,22132/,1,1
221320,221320,1,1
22133/,22133/,1,1
221330,221330,1,1
23----,23----,59,1
233///,236///,10,.90909094
233///,237///,1,.090909094
2331//,2372//,1,1
23311/,23721/,1,1
233110,237210,1,1
2332//,2361//,6,.85714287
2332//,2362//,1,.14285715
23321/,23611/,3,1
233210,236115,1,.33333334
233210,236117,1,.33333334
233210,236118,1,.33333334
23322/,23611/,3,.75
23322/,23622/,1,.25
233220,236116,1,.25
233220,236117,1,.25
233220,236118,1,.25
233220,236220,1,.25
2333//,2362//,3,1
23331/,23621/,1,.5
23331/,23622/,1,.5
233310,236210,1,.5
233310,236220,1,.5
23332/,23622/,1,1
233320,236220,1,1
234///,236///,2,.14285715
234///,237///,10,.71428573
234///,238///,2,.14285715
2341//,2373//,2,.66666669
2341//,2379//,1,.33333334
23411/,23731/,1,1
234110,237310,1,1
23412/,23731/,1,.5
23412/,23799/,1,.5
234120,237310,1,.5
234120,237990,1,.5
2349//,2362//,2,.18181819
2349//,2371//,6,.54545456
2349//,2379//,1,.090909094
2349//,2389//,2,.18181819
23491/,23711/,1,.5
23491/,23712/,1,.5
234910,237110,1,.5
234910,237120,1,.5
23492/,23713/,1,1
234920,237130,1,1
23493/,23621/,1,.33333334
23493/,23712/,1,.33333334
23493/,23713/,1,.33333334
234930,236210,1,.33333334
234930,237120,1,.33333334
234930,237130,1,.33333334
23499/,23621/,1,.2
23499/,23711/,1,.2
23499/,23799/,1,.2
23499/,23891/,1,.2
23499/,23899/,1,.2
234990,236210,1,.2
234990,237110,1,.2
234990,237990,1,.2
234990,238910,1,.2
234990,238990,1,.2
235///,236///,1,.029411765
235///,237///,3,.088235296
235///,238///,30,.88235295
2351//,2382//,2,.66666669
2351//,2389//,1,.33333334
23511/,23821/,1,.33333334
23511/,23822/,1,.33333334
23511/,23891/,1,.33333334
235110,238210,1,.33333334
235110,238220,1,.33333334
235110,238910,1,.33333334
2352//,2373//,1,.5
2352//,2383//,1,.5
23521/,23731/,1,.5
23521/,23832/,1,.5
235210,237310,1,.5
235210,238320,1,.5
2353//,2382//,1,1
23531/,23821/,1,1
235310,238210,1,1
2354//,2381//,2,.5
2354//,2383//,2,.5
23541/,23814/,1,1
235410,238140,1,1
23542/,23814/,1,.5
23542/,23831/,1,.5
235420,238140,1,.5
235420,238310,1,.5
23543/,23834/,1,1
235430,238340,1,1
2355//,2381//,1,.33333334
2355//,2383//,2,.66666669
23551/,23813/,1,.5
23551/,23835/,1,.5
235510,238130,1,.5
235510,238350,1,.5
23552/,23833/,1,1
235520,238330,1,1
2356//,2381//,2,.66666669
2356//,2383//,1,.33333334
23561/,23816/,1,.33333334
23561/,23817/,1,.33333334
23561/,23839/,1,.33333334
235610,238160,1,.33333334
235610,238170,1,.33333334
235610,238390,1,.33333334
2357//,2381//,1,.5
2357//,2389//,1,.5
23571/,23811/,1,.5
23571/,23899/,1,.5
235710,238110,1,.5
