sic72,sic77,mappings,weight_mappings
01--,01--,21,1
0100,0100,21,1
0110,0110,5,1
0111,0111,1,1
0112,0112,1,1
0115,0115,1,1
0116,0116,1,1
0119,0119,1,1
0130,0130,5,1
0131,0131,1,1
0132,0132,1,1
0133,0133,1,1
0134,0134,1,1
0139,0139,1,1
0160,0160,1,1
0161,0161,1,1
0170,0170,6,1
0171,0171,1,1
0172,0172,1,1
0173,0173,1,1
0174,0174,1,1
0175,0175,1,1
0179,0179,1,1
0180,0180,3,1
0181,0181,1,1
0182,0182,1,1
0189,0189,1,1
0190,0190,1,1
0191,0191,1,1
02--,02--,15,1
0200,0200,15,1
0210,0210,5,1
0211,0211,1,1
0212,0212,1,1
0213,0213,1,1
0214,0214,1,1
0219,0219,1,1
0240,0240,1,1
0241,0241,1,1
0250,0250,5,1
0251,0251,1,1
0252,0252,1,1
0253,0253,1,1
0254,0254,1,1
0259,0259,1,1
0270,0270,3,1
0271,0271,1,1
0272,0272,1,1
0279,0279,1,1
0290,0290,1,1
0291,0291,1,1
07--,07--,25,1
0700,0700,15,1
0710,0710,1,1
0711,0711,1,1
0720,0720,5,1
0721,0721,1,1
0722,0722,1,1
0723,0723,1,1
0724,0724,1,1
0729,0729,1,1
0740,0740,2,1
0741,0741,1,1
0742,0742,1,1
0750,0750,2,1
0751,0751,1,1
0752,0752,1,1
0760,0760,2,1
0761,0761,1,1
0762,0762,1,1
0780,0780,3,1
0781,0781,1,1
0782,0782,1,1
0783,0783,1,1
0800,0800,5,1
0810,0810,1,1
0811,0811,1,1
0820,0820,1,1
0821,0821,1,1
0840,0840,2,1
0843,0843,1,1
0849,0849,1,1
0850,0850,1,1
0851,0851,1,1
0900,0900,6,1
0910,0910,3,1
0912,0912,1,1
0913,0913,1,1
0919,0919,1,1
0920,0920,1,1
0921,0921,1,1
0970,0970,1,1
0971,0971,1,1
0980,0980,1,1
098\,098\,1,1
10--,10--,42,1
1000,1000,11,1
1010,1010,1,1
1011,1011,1,1
1020,1020,1,1
1021,1021,1,1
1030,1030,1,1
1031,1031,1,1
1040,1040,2,1
1041,1041,1,1
1044,1044,1,1
1050,1050,1,1
1051,1051,1,1
1060,1060,1,1
1061,1061,1,1
1080,1080,1,1
1081,1081,1,1
1090,1090,3,1
1092,1092,1,1
