gvkey,treatment_discrete,treatment_z,ismatched,state,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcdq,datacqtr,datafqtr,atq,ltq,ncoq,recdq,rectq,rectrq,revtq,wcapq,xintq,cik,costat,county,sic,rec_to_assets,rec_to_rev,rev_78,ni_78,year,sic2,net_income,ni_norm,nim,wcap,cl,profits_norm,revenue_norm,post,treated_post,profits_w,revenue_w,nim_w
1118,0,-0.095440269303785,1,RI,19721231,1972,4,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1972Q4,1972Q4,27.521,14.559,,,0.453,,22.903,17.453,0.172,,I,Providence,5912,0.0164601576977581,0.0197790682443348,38.58825,0.7235,1972.75,59,,,,0.762039907435707,1972.751118,,0.593522639663628,0,0,-1,0.593522639663628,0
1118,0,-0.095440269303785,1,RI,19731231,1973,4,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1973Q4,1973Q4,42.941,27.378,,,1.032,,29.691,26.544,0.408,,I,Providence,5912,0.0240329754779814,0.0347580074770132,38.58825,0.7235,1973.75,59,,,,0.894008285338992,1973.751118,,0.769431109210705,0,0,-1,0.769431109210705,0
1118,0,-0.095440269303785,1,RI,19741231,1974,4,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1974Q4,1974Q4,52.7,35.699,,,2.093,,36.94,27.913,0.69,,I,Providence,5912,0.0397153700189753,0.0566594477531132,38.58825,0.7235,1974.75,59,,,,0.755630752571738,1974.751118,,0.95728622054641,0,0,-1,0.95728622054641,0
1118,0,-0.095440269303785,1,RI,19750331,1975,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1975Q1,1975Q1,50.311,33.034,,,2.054,,31.117,27.955,0.556,,I,Providence,5912,0.040826061895013,0.0660089340232027,38.58825,0.7235,1975,59,0.50475,0.697650310988252,0.0162210367323328,0.898383520262236,19751118,0.697650310988252,0.806385363420212,0,0,0.697650310988252,0.806385363420212,0.0162210367323328
1118,0,-0.095440269303785,1,RI,19750630,1975,2,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1975Q2,1975Q2,47.406,29.829,,,1.088,,31.317,27.455,0.501,,I,Providence,5912,0.0229506813483525,0.034741514193569,38.58825,0.7235,1975.25,59,,,,0.876680397228342,1975.251118,,0.81156828827428,0,0,-1,0.81156828827428,0
1118,0,-0.095440269303785,1,RI,19750930,1975,3,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1975Q3,1975Q3,48.255,30.666,,,1.134,,32.151,27.195,0.513,,I,Providence,5912,0.0235001554243084,0.0352710646636185,38.58825,0.7235,1975.5,59,,,,0.845852384062704,1975.51118,,0.833181084915745,0,0,-1,0.833181084915745,0
1118,0,-0.095440269303785,1,RI,19751231,1975,4,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1975Q4,1975Q4,50.64,31.782,,,1.135,,37.499,27.542,0.495,,I,Providence,5912,0.022413112164297,0.0302674737993013,38.58825,0.7235,1975.75,59,,,,0.734472919277847,1975.751118,,0.971772495513531,0,0,-1,0.971772495513531,0
1118,0,-0.095440269303785,1,RI,19760331,1976,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1976Q1,1976Q1,48.777,29.857,,,1.359,,31.877,27.055,0.443,,I,Providence,5912,0.0278614920966849,0.0426326191297801,38.58825,0.7235,1976,59,0.597,0.825155494125777,0.0187282366596606,0.848731060011921,19761118,0.825155494125777,0.826080477865671,0,0,0.825155494125777,0.826080477865671,0.0187282366596606
1118,0,-0.095440269303785,1,RI,19760630,1976,2,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1976Q2,1976Q2,49.259,29.758,,,1.297,,32.846,26.796,0.426,,I,Providence,5912,0.0263302137680424,0.0394873043901845,38.58825,0.7235,1976.25,59,,,,0.815807099799062,1976.251118,,0.851191748783632,0,0,-1,0.851191748783632,0
1118,0,-0.095440269303785,1,RI,19760930,1976,3,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1976Q3,1976Q3,48.755,28.969,,,1.643,,33.167,26.198,0.41,,I,Providence,5912,0.033699107783817,0.0495371905809992,38.58825,0.7235,1976.5,59,,,,0.789881508728556,1976.51118,,0.859510343174412,0,0,-1,0.859510343174412,0
1118,0,-0.095440269303785,1,RI,19761231,1976,4,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1976Q4,1976Q4,54.696,33.613,,,1.34,,38.401,29.174,0.423,,I,Providence,5912,0.0244990492906245,0.0348949246113382,38.58825,0.7235,1976.75,59,,,,0.759719798963569,1976.751118,,0.995147486605379,0,0,-1,0.995147486605379,0
1118,0,-0.095440269303785,1,RI,19770331,1977,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1977Q1,1977Q1,51.76,30.609,,,1.762,,32.526,28.862,0.493,,I,Providence,5912,0.0340417310664606,0.0541720469778024,38.58825,0.7235,1977,59,0.78775,1.08880442294402,0.024219086269446,0.88735165713583,19771118,1.08880442294402,0.842899069017123,0,0,1.08880442294402,0.842899069017123,0.024219086269446
1118,0,-0.095440269303785,1,RI,19770630,1977,2,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1977Q2,1977Q2,50.612,28.381,,,1.953,,35.087,29.573,0.453,,I,Providence,5912,0.0385876867146131,0.0556616410636418,38.58825,0.7235,1977.25,59,,,,0.842847778379457,1977.251118,,0.909266421773467,1,0,-1,0.909266421773467,0
