gvkey,sic,home_state,treatment_discrete,treatment_z,ismatched,ni_77,ni_83,rev_77,rev_83,sic_2dig,profit_growth,rev_growth,markup_77,markup_83,markup_growth,profit_growth_w,rev_growth_w,markup_growth_w
1118,5912,RI,0,-0.095440269303785,1,0.78775,1.77925,36.34175,75.53325,59,-0.972717329242538,0.0784153212214598,0.0216761713456286,0.0235558512310804,0.0018796798854517,-0.109101281859661,0.0126615991951367,0.000313279980908617
1240,5411,ID,0,-0.095440269303785,1,6.208,17.57025,454.12375,1069.832,54,-0.974979837544282,0.355816008301702,0.0136702826046865,0.0164233730155763,0.00275309041088978,-0.109101281859661,0.0520429237600919,0.000458848401814964
1301,5311,OH,0,-2.12354599200921,0,18.5605,32.11775,477.0335,926.268,53,-0.971580088190871,-0.0582747333258565,0.0389081689231469,0.0346743599044769,-0.00423380901867001,-0.109101281859661,-0.00995704639830086,-0.000705634836445001
1302,5411,MI,0,-0.906682558385956,0,-3.272,3.7035,224.354,145.51075,54,-0.968908510657265,-1.35142342013069,-0.0145840947787871,0.0254517277933074,0.0400358225720945,-0.109101281859661,-0.109101281859661,0.00667263709534908
1322,5311,MA,0,-0.095440269303785,1,0.2465,0.0625,17.86475,22.99225,53,-1.01029961236513,-0.71298226955317,0.013798122000028,0.00271830725570572,-0.0110798147443223,-0.109101281859661,-0.109101281859661,-0.00184663579072038
1345,5411,GA,0,-0.095440269303785,0,0.83225,,93.83225,,54,-1,-1,0.0088695517799051,0,-0.0088695517799051,-0.109101281859661,-0.109101281859661,-0.00147825862998418
1572,5411,UT,0,-0.095440269303785,0,6.649,,934.4085,,54,-1,-1,0.00711573150287053,0,-0.00711573150287053,-0.109101281859661,-0.109101281859661,-0.00118595525047842
1573,5411,UT,0,-0.095440269303785,0,4.9185,29.4755,224.943,2161.684,54,-0.890830121408535,7.60991895724695,0.0218655392699484,0.0136354342262791,-0.00823010504366924,-0.109101281859661,0.069913193933663,-0.00137168417394487
1594,5331,CT,0.746427804626424,0.557671184398755,1,1.28825,4.9715,42.03275,154.314,53,-0.912371900482362,1.67128013275363,0.0306487203430658,0.032216778775743,0.00156805843267714,-0.109101281859661,0.069913193933663,0.000261343072112856
1803,5311,NY,0,-0.095440269303785,1,10.53725,28.88,366.93875,929.45675,53,-0.950011411986333,0.533002442505731,0.0287166454891995,0.0310719137818946,0.00235526829269515,-0.109101281859661,0.069913193933663,0.000392544715449192
2064,5961,NY,0,-0.095440269303785,1,0.17675,,5.33125,,59,-1,-1,0.0331535756154748,0,-0.0331535756154748,-0.109101281859661,-0.109101281859661,-0.00552559593591247
2090,5411,AZ,0,-0.095440269303785,1,0.5675,0.86175,54.956,94.522,54,-0.994645716573259,-0.280042215590654,0.0103264429725599,0.00911692516028015,-0.00120951781227972,-0.109101281859661,-0.0532880946002117,-0.00020158630204662
2151,5651,NJ,0.388457266503885,-0.432182358980288,1,0.07775,,13.43375,,56,-1,-1,0.00578766167302503,0,-0.00578766167302503,-0.109101281859661,-0.109101281859661,-0.000964610278837505
2198,5812,MA,0,-0.095440269303785,1,0.2665,,4.721,,58,-1,-1,0.0564499046812116,0,-0.0564499046812116,-0.109101281859661,-0.109101281859661,-0.0094083174468686
2208,5411,NY,0,-0.095440269303785,1,0.66025,1.378,58.46275,131.441,54,-0.987722951794091,0.248286301961505,0.0112935159567417,0.0104837912067011,-0.000809724750040579,-0.109101281859661,0.0376535291136464,-0.000134954125006763
2323,5411,MI,0,-0.906682558385956,0,0.1555,-2.72875,171.80725,249.05875,54,-1.01678770831848,-0.550359487157847,0.000905084040399925,-0.0109562502823129,-0.0118613343227128,-0.109101281859661,-0.109101281859661,-0.00197688905378547
2436,5661,MO,0,-0.095440269303785,0,6.76525,16.79975,222.7615,375.126,56,-0.954954065222222,-0.316019599437066,0.0303699247850279,0.0447842858133001,0.0144143610282721,-0.109101281859661,-0.0613422371207789,0.00240239350471202
2611,5331,CT,0.967289721046729,0.885442640080719,1,2.92925,,98.6045,,53,-1,-1,0.0297070620509206,0,-0.0297070620509206,-0.109101281859661,-0.109101281859661,-0.00495117700848677
2791,5812,NY,0,-0.095440269303785,1,0.268,1.138,13.54125,30.7765,58,-0.935751869288286,0.272796086033416,0.0197913781962522,0.0369762643575455,0.0171848861612933,-0.109101281859661,0.0410217545518701,0.00286414769354889
2792,5311,IL,0,-1.31230370292704,0,2.8,3.84575,97.01575,219.31575,53,-0.98922082239224,0.260620053960311,0.0288612931405468,0.0175352203387126,-0.0113260728018342,-0.109101281859661,0.0393553006431384,-0.0018876788003057
2796,5311,OH,0,-2.12354599200921,0,13.54175,16.87125,411.9105,775.4205,53,-0.991916933411506,-0.117502467162163,0.0328754668793342,0.0217575496134033,-0.0111179172659309,-0.109101281859661,-0.0206177020944864,-0.00185298621098849
3004,5945,MA,0,-0.095440269303785,1,0.22775,,30.655,,59,-1,-1,0.0074294568585875,0,-0.0074294568585875,-0.109101281859661,-0.109101281859661,-0.00123824280976458
3030,5812,GA,0,-0.095440269303785,1,5.14075,7.888,56.6,114.4835,58,-0.951462014134276,0.0226766784452295,0.0908259717314488,0.0689007586246053,-0.0219252131068435,-0.109101281859661,0.00374422293194554,-0.00365420218447391
3051,5412,AZ,0,-0.095440269303785,1,1.969,5.4155,90.8583333333333,257.213,54,-0.962067320920847,0.830923599009447,0.021671099697331,0.021054534568626,-0.000616565128705008,-0.109101281859661,0.069913193933663,-0.000102760854784168
3054,5731,VA,0,-0.095440269303785,0,0.513,3.00225,22.69975,89.177,57,-0.890340201984603,1.92854546856243,0.0225993678344475,0.0336661919553248,0.0110668241208773,-0.109101281859661,0.069913193933663,0.00184447068681288
3164,5990,OH,0,-2.01563426393825,1,1.13375,4.41625,29.23575,154.314,59,-0.887723078764868,3.27826376952874,0.0387795763748151,0.0286185958500201,-0.010160980524795,-0.109101281859661,0.069913193933663,-0.0016934967541325
3177,5812,CA,0,-0.095440269303785,0,1.529,4.66025,42.01525,98.9325,58,-0.92547348879276,0.354680740921451,0.0363915483068648,0.0471053496070553,0.0107138013001905,-0.109101281859661,0.0518960544068126,0.00178563355003176
3495,5331,OH,0,-2.07405633236151,1,0.82225,-15.31625,99.21175,138.86625,53,-1.1626672243963,-0.600304399428495,0.00828782881059955,-0.110294978081427,-0.118582806892027,-0.109101281859661,-0.109101281859661,-0.0197638011486711
3615,5311,MI,0,-0.906682558385956,1,-0.00950000000000001,0.4505,13.92375,21.125,53,-0.966962923063112,-0.482808151539636,-0.000682287458479218,0.0213254437869823,0.0220077312454615,-0.109101281859661,-0.104067525551119,0.00366795520757691
3646,5411,ID,1,1.93266545340164,1,1.2105,3.4635,139.8895,281.6595,54,-0.98389443096158,0.01344275303007,0.00865325846471679,0.0122967625803497,0.00364350411563288,-0.109101281859661,0.00222801181858534,0.000607250685938814
3654,5912,NY,0,-1.14313469401787,1,0.22925,,38.877,,59,-1,-1,0.00589680273683669,0,-0.00589680273683669,-0.109101281859661,-0.109101281859661,-0.000982800456139448
3708,5812,OH,0,-2.12354599200921,1,1.1845,0.81775,43.363,143.726,58,-1.00845767128658,1.31448469893688,0.0273159144893112,0.00568964557560915,-0.021626268913702,-0.109101281859661,0.069913193933663,-0.00360437815228367
3782,5961,TX,0,-0.095440269303785,0,2.09475,2.01925,25.75575,135.048,59,-1.002931384254,3.24341166535628,0.0813313531929763,0.0149520911083467,-0.0663792620846297,-0.109101281859661,0.069913193933663,-0.0110632103474383
3813,5331,MN,1,1.93266545340164,0,24.484,61.36425,623.681,1740.81375,53,-0.940866805305918,0.791192532721054,0.0392572484972286,0.0352503247403693,-0.00400692375685928,-0.109101281859661,0.069913193933663,-0.000667820626143213
3869,5812,SC,0,-0.095440269303785,1,5.14825,10.059,108.244,263.65675,58,-0.954632589335206,0.435763183178744,0.0475615276597317,0.0381518773936188,-0.00940965026611293,-0.109101281859661,0.0621368308560246,-0.00156827504435216
3886,5411,NY,0,-0.095440269303785,0,-0.3595,0.3145,3.6335,5.6385,54,-0.814503921838448,-0.448190449979359,-0.0989404155772671,0.0557772457213798,0.154717661298647,-0.109101281859661,-0.0943406633127055,0.0257862768831078
3964,5311,AR,1,2.60870069430345,1,1.17975,8.53475,67.35775,219.177,53,-0.890806922737176,1.25392401022896,0.0175146883617698,0.0389399891411964,0.0214253007794266,-0.109101281859661,0.069913193933663,0.00357088346323776
4084,5912,NJ,0,-0.095440269303785,1,0.72625,,57.3565,,59,-1,-1,0.0126620348173267,0,-0.0126620348173267,-0.109101281859661,-0.109101281859661,-0.00211033913622112
4207,5912,FL,0,-0.095440269303785,0,11.50775,17.93275,245.0255,581.261,59,-0.973778239407735,0.372246970213304,0.0469655199152741,0.0308514591551816,-0.0161140607600925,-0.109101281859661,0.0541572017393741,-0.00268567679334876
4218,5600,MO,0,-0.095440269303785,0,9.07075,12.225,156.08025,255.375,56,-0.979790844773762,-0.363822456716977,0.0581159371541242,0.047870778267254,-0.0102451588868702,-0.109101281859661,-0.0726086180323171,-0.00170752648114503
4470,5211,FL,0,-0.095440269303785,1,10.5475,-15.96875,229.78075,296.571,52,-1.11539804792177,-0.709330524859023,0.0459024526641157,-0.0538446105654295,-0.0997470632295452,-0.109101281859661,-0.109101281859661,-0.0166245105382575
4523,5940,OH,0,-2.12354599200921,1,0.6145,1.141,26.041,52.34975,59,-0.97978188241619,0.0102818632156982,0.0235974040935448,0.0217957105812349,-0.00180169351230992,-0.109101281859661,0.00170634822658244,-0.000300282252051654
4550,5411,TX,0,-0.095440269303785,1,0.87175,,128.14575,,54,-1,-1,0.00680280071715215,0,-0.00680280071715215,-0.109101281859661,-0.109101281859661,-0.00113380011952536
4592,5912,NY,0,-0.095440269303785,1,0.482,2.02575,29.90425,78.09225,59,-0.948376902948578,0.611409749450329,0.0161181103020474,0.0259404742468043,0.00982236394475689,-0.109101281859661,0.069913193933663,0.00163706065745948
4594,5311,CA,0,-0.095440269303785,1,1.4075,,132.23725,,53,-1,-1,0.0106437482630651,0,-0.0106437482630651,-0.109101281859661,-0.109101281859661,-0.00177395804384418
4611,5311,NY,0,-0.095440269303785,0,49.14125,84.5855,1230.84975,2172.394,53,-0.971203430800551,-0.23504534164304,0.0399246536792976,0.0389365372948001,-0.000988116384497466,-0.109101281859661,-0.0436740315239597,-0.000164686064082911
4750,5331,NY,0,-0.095440269303785,1,0.082,,11.94675,,53,-1,-1,0.00686379140770503,0,-0.00686379140770503,-0.109101281859661,-0.109101281859661,-0.0011439652346175
4759,5812,FL,0,-0.095440269303785,1,0.24275,-0.019,12.224,14.05725,58,-1.02141279450262,-0.850028632198953,0.0198584751308901,-0.00135161571431112,-0.0212100908452012,-0.109101281859661,-0.109101281859661,-0.00353501514086686
4830,5411,NJ,1,0.918612592048929,0,0.71675,0.03875,89.05025,110.484333333333,54,-1.00761367879371,-0.759303501861777,0.00804882636488949,0.000350728459238565,-0.00769809790565092,-0.109101281859661,-0.109101281859661,-0.00128301631760849
4887,5200,MI,0,-0.906682558385956,1,0.75575,,18.52225,,52,-1,-1,0.0408022783409143,0,-0.0408022783409143,-0.109101281859661,-0.109101281859661,-0.00680037972348572
4904,5200,NY,0,-0.095440269303785,0,-0.1195,-1.48675,11.46475,7.27425,52,-1.11925685252622,-1.36551167709719,-0.0104232538869142,-0.20438533182115,-0.193962077934236,-0.109101281859661,-0.109101281859661,-0.0323270129890393
